id,model,language,code,source,link,rating
1,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

int power(int a, int e)
{
    if (e == 0)
        return 1;
    return e == 1 ? a : a * power(a, e-1);
}

void answer(int a, int b)
{
    cout<< a << "" + "" << b << "" = "" << a+b << ""\n"";
}

void solve()
{
    int a, b, c, i, left, right, have;
    ll k;
    cin>> a >> b >> c >> k;

    bool good = false;
    for (i = power(10, a-1); i < power(10, a); ++i)
    {
        left = max(power(10, b-1), power(10, c-1) - i);
        right = min(power(10, b)-1, power(10, c)-1-i);
        if (left > right) continue;

        have = right-left+1;
        if (k <= have) {
            answer(i, left+k-1);
            good = true;
            break;
        }
        k -= have;
    }
    if (!good) cout<< -1 << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}
 ",author,https://codeforces.com/contest/1836/problem/C,1700
2,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

struct point2D {
    ll x, y;
};

const int N = 200001;
point2D points[N], rot_points[N];

bool cmp_x(point2D a, point2D b) {return a.x < b.x;}
bool cmp_y(point2D a, point2D b) {return a.y < b.y;}

ll calculate_count_x(point2D points[], int n) {
    int i, j, cnt;
    ll sum = 0, tmp;

    for (i = 0; i < n-1;) {
        cnt = 0;
        j = i+1;
        while (j < n && points[j].x == points[i].x) {
            cnt++;
            j++;
        }
        if (cnt > 0) {
            tmp = ll(cnt);
            sum += tmp*(tmp+1);
        }
        i = j;
    }
    return sum;
}

ll calculate_count_y(point2D points[], int n) {
    int i, j, cnt;
    ll sum = 0, tmp;

    for (i = 0; i < n-1;) {
        cnt = 0;
        j = i+1;
        while (j < n && points[j].y == points[i].y) {
            cnt++;
            j++;
        }
        if (cnt > 0) {
            tmp = ll(cnt);
            sum += tmp*(tmp+1);
        }
        i = j;
    }
    return sum;
}

void solve()
{
    int n, i, j, cnt;
    ll x, y, sum=0;
    vector<int> ans;
    cin>> n;

    for (i = 0; i < n; i++) {
        cin>> x >> y;
        points[i].x = x;
        points[i].y = y;
        rot_points[i].x = x - y;
        rot_points[i].y = x + y;
    }

    sort(points, points+n, cmp_x);
    sum += calculate_count_x(points, n);
    sort(points, points+n, cmp_y);
    sum += calculate_count_y(points, n);

    sort(rot_points, rot_points+n, cmp_x);
    sum += calculate_count_x(rot_points, n);
    sort(rot_points, rot_points+n, cmp_y);
    sum += calculate_count_y(rot_points, n);
    cout<< sum << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1850/problem/G,1500
3,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;
int a[200001];
int dp[200001];
int buc[200001];

void solve(int t)
{
    int n, i, j;
    cin>> n;

    for (i = 1; i <= n; i++)
        cin>> a[i];

    for (i = 1; i <= n; i++)
        buc[i] = INT_MAX;

    dp[0] = 0;
    for (i = 1; i <= n; i++)
    {
        dp[i] = min(dp[i-1]+1, buc[a[i]]);
        buc[a[i]] = min(buc[a[i]], dp[i-1]);
    }
    cout<< n - dp[n] << ""\n"";
}

int main()
{
    int test_case = 1, t;
    cin>> test_case;

    for (t = 1; t <= test_case; t++)
        solve(t);

    return 0;
}
 ",author,https://codeforces.com/contest/1842/problem/C,1500
4,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    const int N = 200005;
    int n, i, j, cnt1 = 0, cnt2 = 0, arr[N], cnt = 0;
    vector<int> ans;
    string s;
    cin>> n >> s;

    if (n%2 == 1) {
        cout<< ""-1"" << ""\n"";
        return;
    }

    ans.push_back(-1);
    for (i = 0; i < n; i++) {
        if (s[i] == '(')
            cnt1++;
        else
            cnt2++;
        if (cnt1-cnt2 == 0)
            ans.push_back(i);
        arr[i] = cnt1-cnt2;
    }

    if (arr[n-1] != 0) {
        cout<< ""-1"" << ""\n"";
        return;
    }

    int pos = 0, neg = 0;
    for (i = 0; i < n; i++) {
        if (arr[i] <= 0) {
            neg++;
        }
        if (arr[i] >= 0)
            pos++;
    }

    if (pos == n || neg == n) {
        cout<< 1 << ""\n"";
        for (i = 0; i < n; i++)
            cout<< 1 << "" "";
        cout<< ""\n"";
    } else {
        cout<< 2 << ""\n"";
        for (i = 1; i < n; i++) {
            if (arr[i] == 0) {
                if (arr[i-1] < 1)
                    arr[i] = -1;
                else
                    arr[i] = 1;
            }
        }
        for (i = 0; i < n; i++) {
            if (arr[i] > 0)
                cout<< 1 << "" "";
            else
                cout<< 2 << "" "";
        }
        cout<< ""\n"";
    }
}

int main()
{
    ios_base::sync_with_stdio(0);
    cin.tie(0);
    int t = 1, i;
    cin>> t;
    while (t--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1837/problem/D,1400
5,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    const int N = 200001;
    int n, i, j, arr[N], l, r, m;
    cin>> n;
    for (i = 0; i < n; i++)
        cin>> arr[i];
    sort(arr, arr+n);

    l = -1;
    r = 1e9;
    while (r-l > 1) {
        m = (l+r) >> 1;
        i = 0;
        while (i+1 < n && arr[i+1]-arr[0] <= 2*m)
            ++i;
        j = n-1;
        while (j-1 >= 0 && arr[n-1]-arr[j-1] <= 2*m)
            --j;
        ++i;
        --j;
        if (i > j || arr[j]-arr[i] <= 2*m)
            r = m;
        else
            l = m;
    }
    cout<< r << ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1840/problem/D,1400
6,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j;
    string s1 = ""ab"", s2 = """", s3 = """";
    cin>> n;
    if (n%2 == 1) {
        while(true) {
            s2 += s1;
            if (s2.size() > n) break;
        }
        for (i = 0; i < n; i++)
            cout<< s2[i];
        cout<< ""\n"";
        return;
    } else if (n == 2) {
        cout<< ""ab"" << ""\n"";
        return;
    }
    for (i = 3; ; i++) {
        if (n%i != 0) break;
    }
    for (j = 0; j < i; j++) {
        s2 += ('a' + j);
    }
    while(true) {
        s3 += s2;
        if (s3.size() > n) break;
    }
    for (i = 0; i < n; i++)
        cout<< s3[i];
    cout<< ""\n"";
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1844/problem/D,1400
7,human,c++,"/***
* @author: Jakir Hasan
*/

#include<bits/stdc++.h>
using namespace std;

int arr[1001][1001];

bool isPrime(int n) {
    int i;
    for (i = 2; i < n; i++) {
        if (n%i == 0) return false;
    }
    return true;
}

typedef long long ll;

int test = 1;

void solve()
{
    int n, m, i, j, cnt;
    cin>> n >> m;
    bool prime_n, prime_m;
    prime_n = isPrime(n);
    prime_m = isPrime(m);
    cnt = 0;

    for (i = 1; i <= n; i++) {
        for (j = 1; j <= m; j++) {
            cnt++;
            arr[i][j] = cnt;
        }
    }

    if (!prime_m) {
        for (i = 1; i <= n; i++) {
            for (j = 1; j <= m; j++) {
                    cout<< arr[i][j] << "" "";
            }
            cout<< ""\n"";
        }
        return;
    } else if (prime_n && prime_m) {
        for (i = 1; i <= n; i += 2) {
            for (j = 1; j <= m; j++)
                cout<< arr[i][j] << "" "";
            cout<< ""\n"";
        }
        for (i = 2; i <= n; i += 2) {
            for (j = 1; j <= m; j++)
                cout<< arr[i][j] << "" "";
            cout<< ""\n"";
        }
        return;
    } else {
        for (i = 1; i <= n; i++) {
            cnt = 1;
            for (j = i; cnt <= m; j += n) {
                cout<< j << "" "";
                cnt++;
            }
            cout<< ""\n"";
        }
    }
}

int main()
{
    int i, T = 1;
    cin>> T;
    while (T--)
        solve();
    return 0;
}",author,https://codeforces.com/contest/1838/problem/C,1400
8,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve(int t)
{
    int n, m, i, j, mx, nmx, low, high, cur;
    string s, l, r;
    char ch;
    cin>> s >> m >> l >> r;

    n = s.size();
    mx = 0;
    for (i = 0; i < m; i++)
    {
        low = l[i] - '0';
        high = r[i] - '0';
        nmx = mx;
        for (j = low; j <= high; j++)
        {
            cur = mx;
            while (cur < n && s[cur]-'0' != j)
                cur += 1;

            nmx = max(nmx, cur);
        }
        mx = nmx + 1;
    }
    if (mx > n)
        printf(""YES\n"");
    else
        printf(""NO\n"");
}

int main()
{
    int test_case = 1, t;
    cin>> test_case;

    for (t = 1; t <= test_case; t++)
        solve(t);

    return 0;
}
 ",author,https://codeforces.com/contest/1845/problem/C,1400
9,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, k, arr[5002], i, j, num, tmp[5002], id, total = 0;
    cin>> n >> k;

    memset(arr, 0, sizeof(arr));
    for (i = 1; i <= n; i++) {
        cin>> num;
        tmp[i] = num;
        arr[num] += 1;
    }

    bool found = true;
    for (i = 1; i <= 5000; i++) {
        if (arr[i] > k) {
            found = false;
            break;
        }
    }

    if (!found) {
        cout<< ""NO"" << ""\n"";
        return;
    }

    cout<< ""YES"" << ""\n"";
    int color[5001];
    memset(color, 0, sizeof(color));

    id = 1;
    for (i = 1; i <= 5000; i++) {
        // id = 1;
        for (j = 1; j <= n; j++) {
            if (color[j] == 0 && tmp[j] == i) {
                color[j] = 1;
                tmp[j] = id;
                id++;
                total++;

                if (id > k)
                    id = 1;
            }
        }

        if (total == n)
            break;
    }

    for (i = 1; i <= n; i++)
        cout<< tmp[i] << "" "";
    cout<< ""\n"";
}

int main()
{
    int t = 1;
    // cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1102/problem/B,1400
10,human,c++,"#include<bits/stdc++.h>
using namespace std;

struct triple {
    int sum;
    int id;
    int index;
};

bool cmp(triple a, triple b) {
    return (a.sum < b.sum);
}

triple T[200001];

int main()
{
    int n, m, i, j, num, sum, cnt = 0;
    //triple T[20005];
    cin>> n;

    for (i = 1; i <= n; i++) {
        cin>> m;
        int arr[m+5];
        sum = 0;

        for (j = 1; j <= m; j++) {
            cin>> arr[j];
            sum += arr[j];
        }

        for (j = 1; j <= m; j++) {
            T[cnt].sum = sum-arr[j];
            T[cnt].id = i;
            T[cnt].index = j;
            cnt++;
        }
    }

    sort(T, T+cnt, cmp);
    bool found = false;
    for (i = 0; i < cnt-1; i++){
        if (T[i].sum == T[i+1].sum && T[i].id != T[i+1].id) {
            cout<< ""YES"" << ""\n"";
            printf(""%d %d\n%d %d\n"", T[i].id, T[i].index, T[i+1].id, T[i+1].index);
            found = true;
            break;
        }
    }

    if (!found)
        cout<< ""NO"" << ""\n"";

    return 0;
}",author,https://codeforces.com/contest/988/problem/C,1400
11,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j;
    ll arr[200], num;
    int pre[200];
    cin>> n;

    memset(pre, 0, sizeof(pre));
    for (i = 1; i <= n; i++) 
        cin>> arr[i];

    for (i = 1; i <= n; i++) {
        num = arr[i];
        if (num%3 == 0) {
            for (j = 1; j <= n; j++) {
                if (arr[j] == num/3) {
                    pre[j] = 1;
                    break;
                }
            }
        }
        
        for (j = 1; j <= n; j++) {
            if (arr[j] == num*2) {
                pre[j] = 1;
                break;
            }
        }
    }

    for (i = 1; i <= n; i++) {
        if (pre[i] == 0) {
            num = arr[i];
            break;
        }
    }

    cout<< num << "" "";
    int cnt = 1;

    while (cnt != n) {
        for (i = 1; i <= n; i++) {
            if ((num%3 == 0 && arr[i] == num/3) || (arr[i] == num*2)){
                num = arr[i];
                cout<< num << "" "";
                cnt++;
                break;
            }
        }
    }
    cout<< ""\n"";
}

int main()
{
    int t = 1;
    // cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/977/problem/D,1400
12,human,c++,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, ans = 0, distinct, mx, val;
    string s;
    cin>> n >> s;

    for (i = 0; i < n; i++) {
        distinct = mx = 0;
        vector<int> v(10, 0);

        for (j = i; j < min(n, i+100); j++) {
            val = s[j] - '0';
            if (v[val] == 0)
                distinct++;

            v[val]++;
            mx = max(mx, v[val]);
            if (distinct >= mx)
                ans++;
        }
    }
    cout<< ans << ""\n"";
}

int main()
{
    ios_base::sync_with_stdio(0);
    cin.tie(0);
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}",author,https://codeforces.com/contest/1748/problem/B,1400
