,id,language,original,polished,polish_type,model,sem_similarity
0,python_1,Python,"#dt = {} for i in x: dt[i] = dt.get(i,0)+1
import sys;input = sys.stdin.readline
inp,ip = lambda :int(input()),lambda :[int(w) for w in input().split()]

import sys
sys.setrecursionlimit(10**6)

def dfs(u):
    global grpah,vis,dp
    vis[u] = 1
    for i in graph[u]:
        if not vis[i]:
            dfs(i)
        dp[u] = max(dp[u],dp[i] + 1)

n,m = ip()
graph = {i:[] for i in range(1,n+1)}
for i in range(m):
    a,b = ip()
    graph[a].append(b)

dp = [0]*(n+1)
vis = [0]*(n+1)
for i in range(1,n+1):
    if not vis[i]:
        dfs(i)
#print(dp)
print(max(dp))","```
import sys
import heapq
input = sys.stdin.readline
inp, ip = lambda: int(input()), lambda: [int(w) for w in input().split()]

sys.setrecursionlimit(10**6)

graph = {}
vis = {}
dp = {}

n, m = ip()
for i in range(1, n + 1):
    graph[i] = []
    vis[i] = 0
    dp[i] = 0

for _ in range(m):
    a, b = ip()
    graph[a].append(b)

def dfs(u):
    global vis, dp
    vis[u] = 1
    for i in graph[u]:
        if not vis[i]:
            dfs(i)
    dp[u] = max(dp[u], max(dp[i] + 1 for i in graph[u]))

max_depth = 0
for i in range(1, n + 1):
    if not vis[i]:
        dfs(i)
    max_depth = max(max_depth, dp[i])

print(max_depth)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8744
1,python_2,Python,"n = int(input())
ans = 'ABC' if n < 1000 else 'ABD'
print(ans)
","```
n = int(input())
ans = 'ABC' if n < 1000 else 'ABD'
print(ans)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8819
2,python_3,Python,"N,M = list(map(int,input().split()))

X = []

for i in range(N):
    x,y,z = list(map(int,input().split()))
    X.append([x,y,z])

max_score = 0
for i in range(8):
    a = i%2
    j = i//2
    b = j%2
    k = j//2
    c = k%2
    a,b,c = 2*a-1,2*b-1,2*c-1
    Z = []
    for j in range(N):
        Z.append(a*X[j][0]+b*X[j][1]+c*X[j][2])
    Z.sort(reverse=True)
    max_score = max(sum(Z[:M]),max_score)

print(max_score)","```
N, M = list(map(int, input().split()))

X = []

for i in range(N):
    x, y, z = list(map(int, input().split()))
    X.append([x, y, z])

max_score = 0
for i in range(8):
    a = (i % 2) - 1
    j = i // 2
    b = (j % 2) - 1
    k = j // 2
    c = (k % 2) - 1
    Z = []
    for j in range(N):
        Z.append(a * X[j][0] + b * X[j][1] + c * X[j][2])
    Z.sort(reverse=True)
    max_score = max(sum(Z[:M]), max_score)

print(max_score)
```",extreme_minor,Meta-Llama-2-7b-chat,0.9031
3,python_4,Python,"import sys
from collections import Counter
readline = sys.stdin.readline

N = int(readline())
A = list(map(int, readline().split()))
MOD = 1000000007

def calc(A):
    CA = Counter(A)
    if max(CA.values()) > 3:
        return 0
    
    pop = [0]*(N+3)
    pop[-1] = 3
    
    res = 1
    for a in A:
        if pop[a-1] <= 0:
            return 0
        res = (res*pop[a-1]) %MOD
        pop[a-1] -= 1
        pop[a] += 1
        
    
    
        
    return res
        

print(calc(A))","```
import sys
from collections import Counter
readline = sys.stdin.readline

N = int(readline())
A = list(map(int, readline().split()))
MOD = 1000000007

def calc(A):
    CA = Counter(A)
    if max(CA.values()) > 3:
        return 0

    pop = [0] * (N + 3)
    pop[-1] = 3

    res = 1
    for a in A:
        if pop[a - 1] <= 0:
            return 0
        res = (res * pop[a - 1]) % MOD
        pop[a - 1] -= 1
        pop[a] += 1

    return res

print(calc(A))
```",extreme_minor,Meta-Llama-2-7b-chat,0.9059
4,python_5,Python,"N, K = map(int, input().split())
H = list(map(int, input().split()))

a = N-K
if a < 0:
    ans = 0
else:
    h = sorted(H)[:a]
    ans = sum(h)
print(ans)","```
N, K = map(int, input().split())
H = list(map(int, input().split()))

a = N - K
if a < 0:
    ans = 0
else:
    h = sorted(H)[:a]
    ans = sum(h)
print(ans)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8442
5,python_6,Python,"a,b,c = map(int, input().split())

if (a <= c and c <= b) or (b <= c and c <= a):
    print(""Yes"")
else:
    print(""No"")
","```
a, b, c = map(int, input().split())

if a <= c <= b or b <= c <= a:
    print(""Yes"")
else:
    print(""No"")
```",extreme_minor,Meta-Llama-2-7b-chat,0.8196
6,python_7,Python,"L = input()

N = len(L)
mod = int(1e9 + 7)

# 桁DP
# a+b <= N 確定
dp1 = [0] * N
# a+b <= N 未確定
dp2 = [0] * N

# L[0] == 1なので、初期値が決まる（はず）
dp1[0] = 1 # (A0,B0) = (0,0)
dp2[0] = 2 # (A0,B0) = (0,1), (1,0)

for i in range(1,N):
  dp1[i] += dp1[i-1] * 3 # (1,1)以外の3パターン
  dp1[i] %= mod
  if L[i] == '1':
    dp1[i] += dp2[i-1] # (0,0)
    dp2[i] += dp2[i-1] * 2 # (1,0),(0,1)
  else:
    # L[i] == '0'
    dp2[i] += dp2[i-1] # (0,0)
  dp1[i] %= mod
  dp2[i] %= mod
  
print((dp1[N-1] + dp2[N-1]) % mod)","```
L = input()

N = len(L)
mod = int(1e9 + 7)

dp1 = [0] * N
dp2 = [0] * N

dp1[0] = 1
dp2[0] = 2

for i in range(1, N):
    dp1[i] = (dp1[i-1] * 3) % mod
    if L[i] == '1':
        dp1[i] = (dp1[i] + dp2[i-1]) % mod
        dp2[i] = (dp2[i-1] * 2) % mod
    else:
        dp2[i] = (dp2[i-1]) % mod
    dp1[i] %= mod
    dp2[i] %= mod

print((dp1[N-1] + dp2[N-1]) % mod)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8748
7,python_8,Python,"n, a, b = [int(_) for _ in input().split()]
m = a + b - n
if m < 0:
    m = 0
print(min(a, b), m)","```
n, a, b = [int(i) for i in input().split()]
m = a + b - n
if m < 0:
    m = 0
print(min(a, b), m)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8548
8,python_9,Python,"from collections import defaultdict

N, K = map(int, input().split())
A = list(map(int, input().split()))

d = defaultdict(list)

p = 1
root = []

#s, e = 0, 0

for i in range(K):
    d[p].append(i)
    root.append(p)
    if len(d[p]) == 2:
        s = d[p][0]
        e = i
        n = (K - s) % (e - s)
        p = root[s + n]
        break
    p = A[p - 1]
#print(s, e)

#print(root)

#n = (K - s) % (e - s)
print(p)","```
from collections import defaultdict

N, K = map(int, input().split())
A = list(map(int, input().split()))

d = defaultdict(list)

p = 1
root = []

for i in range(K):
    d[p].append(i)
    root.append(p)
    if len(d[p]) == 2:
        s = d[p][0]
        e = i
        n = (K - s) % (e - s)
        p = root[s + n]
        break
    p = A[p - 1]

print(p)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8801
9,python_10,Python,"N = int(input())
S1 = input()
S2 = input()
i = 0
T = []
while i < N:
    if S1[i]==S2[i]:
        T.append(""C"")
    else:
        T.append(""R"")
        i += 1
    i += 1
Ans = 3 if T[0]==""C"" else 6
for i in range(1,len(T)):
    if T[i-1] == ""C"":
        if T[i] == ""C"":
            Ans *= 2
        else:
            Ans *= 2
    else:
        if T[i] == ""C"":
            Ans *= 1
        else:
            Ans *= 3
    Ans %= 10**9+7
print(Ans)","```
N = int(input())
S1 = input()
S2 = input()
T = []
for i in range(N):
    if S1[i] == S2[i]:
        T.append(""C"")
    else:
        T.append(""R"")
Ans = 3 if T[0] == ""C"" else 6
for i in range(1, len(T)):
    if T[i-1] == ""C"":
        Ans = Ans * 2 % (10**9 + 7) if T[i] == ""C"" else Ans * 2 % (10**9 + 7)
    else:
        Ans = Ans * 1 % (10**9 + 7) if T[i] == ""C"" else Ans * 3 % (10**9 + 7)
print(Ans)
```",extreme_minor,Meta-Llama-2-7b-chat,0.8949
