,id,language,original,polished,polish_type,model,sem_similarity
0,python_1,Python,"#dt = {} for i in x: dt[i] = dt.get(i,0)+1
import sys;input = sys.stdin.readline
inp,ip = lambda :int(input()),lambda :[int(w) for w in input().split()]

import sys
sys.setrecursionlimit(10**6)

def dfs(u):
    global grpah,vis,dp
    vis[u] = 1
    for i in graph[u]:
        if not vis[i]:
            dfs(i)
        dp[u] = max(dp[u],dp[i] + 1)

n,m = ip()
graph = {i:[] for i in range(1,n+1)}
for i in range(m):
    a,b = ip()
    graph[a].append(b)

dp = [0]*(n+1)
vis = [0]*(n+1)
for i in range(1,n+1):
    if not vis[i]:
        dfs(i)
#print(dp)
print(max(dp))","```
# Define a function to read input
def read_input():
    return int(input()), lambda: [int(w) for w in input().split()]

# Define a function to read integer and list of integers
n, ip = read_input()
graph = {i:[] for i in range(1, n+1)}
for _ in range(n-1):
    a, b = ip()
    graph[a].append(b)
    graph[b].append(a)

# Define a function for depth-first search
def dfs(u):
    global graph, vis, dp
    vis[u] = 1
    for i in graph[u]:
        if not vis[i]:
            dfs(i)
    dp[u] = max(dp[u], max(dp[i] + 1 for i in graph[u]))

# Initialize variables
dp = [0] * (n+1)
vis = [0] * (n+1)

# Perform depth-first search
for i in range(1, n+1):
    if not vis[i]:
        dfs(i)

# Print the maximum depth
print(max(dp))
```",slight_major,Meta-Llama-2-7b-chat,0.85
1,python_2,Python,"n = int(input())
ans = 'ABC' if n < 1000 else 'ABD'
print(ans)
","```
# Define a function to determine the answer based on the input number
def get_answer(n):
    # If the number is less than 1000, return 'ABC', otherwise return 'ABD'
    if n < 1000:
        return 'ABC'
    else:
        return 'ABD'

# Get the input number
n = int(input())

# Get the answer using the function
ans = get_answer(n)

# Print the answer
print(ans)
```",slight_major,Meta-Llama-2-7b-chat,0.7156
2,python_3,Python,"N,M = list(map(int,input().split()))

X = []

for i in range(N):
    x,y,z = list(map(int,input().split()))
    X.append([x,y,z])

max_score = 0
for i in range(8):
    a = i%2
    j = i//2
    b = j%2
    k = j//2
    c = k%2
    a,b,c = 2*a-1,2*b-1,2*c-1
    Z = []
    for j in range(N):
        Z.append(a*X[j][0]+b*X[j][1]+c*X[j][2])
    Z.sort(reverse=True)
    max_score = max(sum(Z[:M]),max_score)

print(max_score)","```
# Input the number of test cases and the number of cities
N, M = list(map(int, input().split()))

# Initialize a list to store the coordinates of each city
X = []

# Read the coordinates of each city
for i in range(N):
    x, y, z = list(map(int, input().split()))
    X.append([x, y, z])

# Initialize the maximum score
max_score = 0

# Loop through all possible combinations of a, b, and c
for i in range(8):
    a = (i % 2)
    j = i // 2
    b = (j % 2)
    k = j // 2
    c = (k % 2)
    a, b, c = 2 * a - 1, 2 * b - 1, 2 * c - 1

    # Calculate the score for the current combination
    Z = []
    for j in range(N):
        Z.append(a * X[j][0] + b * X[j][1] + c * X[j][2])
    Z.sort(reverse=True)

    # Update the maximum score
    max_score = max(sum(Z[:M]), max_score)

# Print the maximum score
print(max_score)",slight_major,Meta-Llama-2-7b-chat,0.8991
3,python_4,Python,"import sys
from collections import Counter
readline = sys.stdin.readline

N = int(readline())
A = list(map(int, readline().split()))
MOD = 1000000007

def calc(A):
    CA = Counter(A)
    if max(CA.values()) > 3:
        return 0
    
    pop = [0]*(N+3)
    pop[-1] = 3
    
    res = 1
    for a in A:
        if pop[a-1] <= 0:
            return 0
        res = (res*pop[a-1]) %MOD
        pop[a-1] -= 1
        pop[a] += 1
        
    
    
        
    return res
        

print(calc(A))","```
import sys
from collections import Counter
readline = sys.stdin.readline

# Read input
N = int(readline())
A = list(map(int, readline().split()))
MOD = 1000000007

def count_frequencies(A):
    """"""
    Count the frequency of each element in the array A.
    """"""
    CA = Counter(A)
    return CA

def is_valid_frequencies(CA):
    """"""
    Check if the frequency of each element is less than or equal to 3.
    """"""
    return max(CA.values()) <= 3

def calculate_result(A):
    """"""
    Calculate the result based on the frequencies of the elements in the array A.
    """"""
    CA = count_frequencies(A)
    if not is_valid_frequencies(CA):
        return 0
    
    pop = [0]*(N+3)
    pop[-1] = 3
    
    res = 1
    for a in A:
        if pop[a-1] <= 0:
            return 0
        res = (res*pop[a-1]) %MOD
        pop[a-1] -= 1
        pop[a] += 1
        
    return res

print(calculate_result(A))
```",slight_major,Meta-Llama-2-7b-chat,0.8382
4,python_5,Python,"N, K = map(int, input().split())
H = list(map(int, input().split()))

a = N-K
if a < 0:
    ans = 0
else:
    h = sorted(H)[:a]
    ans = sum(h)
print(ans)","```
# Get the number of houses and the number of apartments
N, K = map(int, input().split())

# Get the heights of the houses
H = list(map(int, input().split()))

# Calculate the number of apartments that can be built
a = N - K

# If the number of apartments that can be built is negative, set the answer to 0
if a < 0:
    ans = 0
else:
    # Sort the heights of the houses and sum the heights of the 'a' smallest houses
    h = sorted(H)[:a]
    ans = sum(h)

print(ans)
```",slight_major,Meta-Llama-2-7b-chat,0.7813
5,python_6,Python,"a,b,c = map(int, input().split())

if (a <= c and c <= b) or (b <= c and c <= a):
    print(""Yes"")
else:
    print(""No"")
","```
# Define a function to check if the conditions are met
def check_conditions(a, b, c):
    # Check if a is less than or equal to c and c is less than or equal to b
    if a <= c and c <= b:
        return True
    # Check if b is less than or equal to c and c is less than or equal to a
    elif b <= c and c <= a:
        return True
    # If neither condition is met, return False
    else:
        return False

# Read input from the user
a, b, c = map(int, input().split())

# Check if the conditions are met and print the result
if check_conditions(a, b, c):
    print(""Yes"")
else:
    print(""No"")
```",slight_major,Meta-Llama-2-7b-chat,0.7789
6,python_7,Python,"L = input()

N = len(L)
mod = int(1e9 + 7)

# 桁DP
# a+b <= N 確定
dp1 = [0] * N
# a+b <= N 未確定
dp2 = [0] * N

# L[0] == 1なので、初期値が決まる（はず）
dp1[0] = 1 # (A0,B0) = (0,0)
dp2[0] = 2 # (A0,B0) = (0,1), (1,0)

for i in range(1,N):
  dp1[i] += dp1[i-1] * 3 # (1,1)以外の3パターン
  dp1[i] %= mod
  if L[i] == '1':
    dp1[i] += dp2[i-1] # (0,0)
    dp2[i] += dp2[i-1] * 2 # (1,0),(0,1)
  else:
    # L[i] == '0'
    dp2[i] += dp2[i-1] # (0,0)
  dp1[i] %= mod
  dp2[i] %= mod
  
print((dp1[N-1] + dp2[N-1]) % mod)","```
# Define the input and the modulo
L = input()
mod = int(1e9 + 7)
N = len(L)

# Initialize the dynamic programming arrays
dp1 = [0] * N
dp2 = [0] * N

# Set the initial values
dp1[0] = 1
dp2[0] = 2

# Calculate the dynamic programming values
for i in range(1, N):
    dp1[i] = (dp1[i-1] * 3) % mod
    if L[i] == '1':
        dp1[i] = (dp1[i] + dp2[i-1]) % mod
        dp2[i] = (dp2[i-1] * 2) % mod
    else:
        dp2[i] = dp2[i-1]
    dp1[i] %= mod
    dp2[i] %= mod

# Print the result
print((dp1[N-1] + dp2[N-1]) % mod)
```",slight_major,Meta-Llama-2-7b-chat,0.8914
7,python_8,Python,"n, a, b = [int(_) for _ in input().split()]
m = a + b - n
if m < 0:
    m = 0
print(min(a, b), m)","```
# Get the input values
n, a, b = [int(x) for x in input().split()]

# Calculate the difference between the sum of a and b, and n
m = a + b - n

# Ensure m is not negative
if m < 0:
    m = 0

# Print the minimum of a and b, and m
print(min(a, b), m)
```",slight_major,Meta-Llama-2-7b-chat,0.7672
8,python_9,Python,"from collections import defaultdict

N, K = map(int, input().split())
A = list(map(int, input().split()))

d = defaultdict(list)

p = 1
root = []

#s, e = 0, 0

for i in range(K):
    d[p].append(i)
    root.append(p)
    if len(d[p]) == 2:
        s = d[p][0]
        e = i
        n = (K - s) % (e - s)
        p = root[s + n]
        break
    p = A[p - 1]
#print(s, e)

#print(root)

#n = (K - s) % (e - s)
print(p)","```
from collections import defaultdict

# Read the input
N, K = map(int, input().split())
A = list(map(int, input().split()))

# Initialize the dictionary and the root
d = defaultdict(list)
root = []

# Iterate K times
for i in range(K):
    # Add the current index to the dictionary and the root
    d[i + 1].append(i)
    root.append(i + 1)
    
    # Check if the dictionary has two elements
    if len(d[i + 1]) == 2:
        s = d[i + 1][0]
        e = i + 1
        n = (K - s) % (e - s)
        p = root[s + n]
        break

# Print the result
print(p)
```",slight_major,Meta-Llama-2-7b-chat,0.8419
9,python_10,Python,"N = int(input())
S1 = input()
S2 = input()
i = 0
T = []
while i < N:
    if S1[i]==S2[i]:
        T.append(""C"")
    else:
        T.append(""R"")
        i += 1
    i += 1
Ans = 3 if T[0]==""C"" else 6
for i in range(1,len(T)):
    if T[i-1] == ""C"":
        if T[i] == ""C"":
            Ans *= 2
        else:
            Ans *= 2
    else:
        if T[i] == ""C"":
            Ans *= 1
        else:
            Ans *= 3
    Ans %= 10**9+7
print(Ans)","```
# Define a function to calculate the answer
def calculate_answer(N, S1, S2):
    # Initialize the result list
    T = []
    # Iterate over the strings
    for i in range(N):
        if S1[i] == S2[i]:
            T.append(""C"")
        else:
            T.append(""R"")
            i += 1
    # Calculate the answer
    Ans = 3 if T[0] == ""C"" else 6
    for i in range(1, len(T)):
        if T[i-1] == ""C"":
            if T[i] == ""C"":
                Ans *= 2
            else:
                Ans *= 2
        else:
            if T[i] == ""C"":
                Ans *= 1
            else:
                Ans *= 3
        Ans %= 10**9+7
    return Ans

# Get the input
N = int(input())
S1 = input()
S2 = input()

# Calculate and print the answer
print(calculate_answer(N, S1, S2))
```",slight_major,Meta-Llama-2-7b-chat,0.8526
