,column1
0,জন্ম
1,গোপন
2,খারাপ
3,স্থায়ী
4,অস্থায়ী
5,সুযোগ
6,মা
7,বাবা
8,ভাই
9,ভাইয়া
10,বোন
11,আপা
12,চাচী
13,নানা
14,দাদা
15,নানী
16,দাদী
17,আসো
18,নাও
19,দাও
20,ঘুমানো
21,ঘুম
22,দাঁড়াও
23,খাওয়া
24,টা টা
25,বিদায়
26,ধন্যবাদ
27,দুধ
28,চাল
29,এখানে
30,ওখানে
31,আমি
32,আমার
33,না
34,বাসা
35,গাড়ি
36,রিক্সা
38,ভাল
39,খারাপ
40,মিষ্টি
41,মিষ্টান্ন
42,মানুষ
43,ব্যক্তি
44,ডাল
45,ডিম
46,শাক-সব্জি
47,রুটি
48,কলা
49,মোড়া
52,টিভি
53,দরজা
54,টিউব লাইট
56,বাল্ব
57,পরিষ্কার
58,প্লেট
59,বাংলাদেশ
61,ফ্যান
62,টেলিফোন
63,বাস
64,মুরগী
65,পুরুষ
66,লবণ
67,ময়লা
68,আপনারা/তোমরা
70,আপনাদের/তোমাদের
72,কেমন আছো
74,চোর
75,সাইকেল
76,ক্যাপ
77,পেয়ারা
78,ভয়
79,আনারস
80,লিচু
81,নৌকা
82,প্লেন
83,আম
84,তরমুজ
85,হাঁস
86,ছাগল
87,ছোট
88,সাবান
89,গরু
90,কুকুর
92,চুপ
93,ভিতরে
94,রান্না
95,সেলাই
96,পেন্সিল
97,কাগজ
98,পতাকা
99,রং করা
101,আঁকা
102,বানানো/তৈরি করা
105,কাঁটা চামচ
108,ঘুড়ি
109,কাঁচি
110,আঁকা ছবি
112,ছবি
113,সুতা
114,জানা
115,পড়া
116,লেখা
117,ফাটানো
118,সাঁটানো
119,পোলাও
120,মুড়ি
121,বিয়ে
122,বৃষ্টি
123,আদর
124,কান্না
125,গরম লাগা (তাপমাত্রা)
128,শীত লাগা
130,পুলিশ
131,ডাক্তার
132,ভিক্ষুক
133,বাজার/মার্কেট
135,বুয়া
136,মসজিদ
137,তাড়াতাড়ি
138,কথা বলা
140,ছাতা
141,ধরা
142,খুশী
143,নরম
144,চাঁদ
145,ঘড়ি
146,সময়
147,ছোঁড়া
150,সহজ
151,শক্তিশালী
152,ভারী
153,কিন্তু
154,মরিচ
155,বালিশ
156,টুথব্রাশ
158,টুথপেষ্ট
159,ব্যথা
160,গুলি/কার্তুজ
162,বাঁশী
164,জ্বর
165,সাদা (রং)
167,কমলা (রং)
169,গোলাপি (রং)
170,শুরু করা
172,নদী
173,পাহাড়ী এলাকা
175,সিনেমা
176,দেশ
177,নীল (রং)
179,সবুজ (রং)
181,হলুদ (রং)
183,জিজ্ঞাসা করা
185,অন্য
187,সাথে
188,কে
189,দালান
190,থুতু ফেলা
192,কুলি করা
194,সবাই
195,পয়সা
196,সাবধান
197,দামী
198,আগামীকাল
199,আকাশ
200,জলোচ্ছ্বাস
201,ঘাস
202,গোবর
203,সংখ্যা
204,দিন (সময়)
206,কখন
207,সব সময়
209,চাঁদ
210,স্বাদ
211,দেরী
212,মিছিল
213,আগে
214,পরে
215,কয়টা বাজে
217,বয়স কত
219,ঘন্টা
220,গত বছর
221,গেঞ্জি
222,সাপ
223,পানির কল
225,নাচা
226,মঙ্গলবার
227,বুধবার
228,বৃহস্পতিবার
229,অডিও ক্যাসেট
231,মনে রাখা
233,জন্মদিন
234,বেলুন
236,আয়না
237,ছবি তোলা
239,ক্যাসেট প্লেয়ার
241,প্রথম
242,শেষ
243,পাঁচ
244,ছয়
245,সাত
246,আট
248,তের
249,চৌদ্দ
250,পনের
251,ষোল
252,একশ
253,এক হাজার
254,এক লাখ
256,এক কোটি
258,অর্ধেক
259,হাততালি
260,চিপস
261,শিশুপার্ক
264,গুড়
265,চিড়িয়াখানা
266,গাজর
267,হাডুডু
268,পরিবার
269,আত্মীয়
270,স্বামী
271,বর
272,ননদ
273,দেবর
274,প্রতিবেশী
275,শত্রু
276,প্রেমিকা
277,সমবয়সী
278,সহকর্মী
279,সহপাঠী
280,আঙ্গুর
281,কালোজাম
282,তাল
283,বরই
284,ফলের রস
286,আলু
287,করলা
288,ফুলকপি
289,পান
290,সুপারি
291,লেবু
292,তেল
293,বাদাম
294,ঘি
295,নুডুলস
296,দই
297,পরোটা
298,পুরি
299,চিড়া
300,কফি
301,টক
302,তেতো
303,বরফ
304,সিগারেট
305,হাফপ্যান্ট
306,শাড়ী
307,পেটিকোট/সায়া
309,ব্লাউজ
310,দস্তানা/গ্লাভস
312,সোয়েটার
313,চশমা
314,স্যান্ডেল
315,রুপা
316,গলার হার
318,কানের দুল
320,ক্লিপ
321,ফ্রিজ
322,কলিং বেল
324,ইস্ত্রি
327,লিফট
328,গামছা/তোয়ালে
330,বিছানার চাদর
332,লেপ
333,কাঁথা
334,জগ
335,বদনা
336,মগ
337,বালতি
338,ঢেঁকি
339,বেসিন
340,সাজানো
341,এলোমেলো
342,ছাদ
343,সিঁড়ি
344,দেয়াল
345,মেঝে
347,পুকুর
348,উপকরণ
349,নলকূপ
350,কুয়া
351,ডেঙ্গু
352,ফোঁড়া
353,চোখ উঠা
355,মাথাব্যথা
356,গলগন্ড
357,ভাইরাস
358,সংক্রামক
359,অসুস্থ
360,সুস্থ
361,থার্মোমিটার
362,ইনজেকশন
363,অস্ত্রোপচার/অপারেশন
368,মাস্ক
369,খাবার স্যালাইন
372,ক্যাপসুল
373,ট্যাবলেট
374,উপাচার্য
375,অধ্যক্ষ
376,কিন্ডারগার্টেন
377,পরিদর্শক
378,সম্মান (অনার্স)
380,স্নাতকোত্তর (মাস্টার্স)
382,ডিপ্লোমা
383,সমাবর্তন
384,পরীক্ষা
385,কৃতকার্য/পাশ
386,অকৃতকার্য/ফেল
390,প্রশ্ন
391,রচনা
392,রোল নাম্বার
396,ফলাফল
397,টিফিন
398,কালি
399,রাবার (ইরেজার)
401,শার্পনার
404,চক
405,বেঞ্চ
406,শ্রেণীকক্ষ
407,ছাত্রাবাস
408,ব্ল্যাকবোর্ড
409,শিক্ষা
410,বিশেষ শিক্ষা
412,উপানুষ্ঠানিক শিক্ষা
414,স্বাক্ষরতা
415,ইসলাম ধর্ম
417,হিন্দু ধর্ম/সনাতন
420,বৌদ্ধ ধর্ম
421,খ্রিস্টান ধর্ম
423,নামাজ
424,রোজা
425,হজ্জ
426,সেহরী
427,প্রার্থনা
428,বেহেশত
429,দোজখ
430,ফেরেশতা
431,ক্রুশ
432,মূর্তি
433,ঈমান
434,কবর
435,ব্রেইল
436,স্ক্র্যাচ
437,ইশারা ভাষা
439,সাদা ছড়ি
440,রেফারী
441,পুরস্কার
442,প্রতিযোগিতা
443,স্টেডিয়াম
444,ফুটবল খেলা
446,ক্রিকেট খেলা
448,মার্বেল
449,পদক
450,সাঁতার
451,সাঁতার
452,সুটিং
453,হকি
454,ভলিবল
455,ফুটপাত
456,স্পিড ব্রেকার
458,হেলিকপ্টার
459,অ্যাম্বুলেন্স
460,গ্যারেজ
461,চালক (ড্রাইভার)
463,কন্ডাক্টর
464,ভাড়া
465,বন্ধ করা
467,ইঞ্জিন
