,character
0,!
1,""""
2,#
3,$
4,%
5,'
6,(
7,)
8,*
9,+
10,","
11,-
12,.
13,/
14,:
15,;
16,<
17,=
18,>
19,?
20,[
21,]
22,{
23,}
24,~
25,×
26,÷
27,।
28,ঀ
29,ঁ
30,ং
31,ঃ
32,অ
33,আ
34,ই
35,ঈ
36,উ
37,ঊ
38,ঋ
39,ঌ
40,এ
41,ঐ
42,ও
43,ঔ
44,ক
45,খ
46,গ
47,ঘ
48,ঙ
49,চ
50,ছ
51,জ
52,ঝ
53,ঞ
54,ট
55,ঠ
56,ড
57,ঢ
58,ণ
59,ত
60,থ
61,দ
62,ধ
63,ন
64,প
65,ফ
66,ব
67,ভ
68,ম
69,য
70,র
71,ল
72,শ
73,ষ
74,স
75,হ
76,ঽ
77,া
78,ি
79,ী
80,ু
81,ূ
82,ৃ
83,ৄ
84,ে
85,ৈ
86,ো
87,ৌ
88,্
89,ৎ
90,ড়
91,ঢ়
92,য়
93,০
94,১
95,২
96,৩
97,৪
98,৫
99,৬
100,৭
101,৮
102,৯
103,৳
104,৺
105,–
106,—
107,―
