,Inflected_Word,Lemma
0,),)
1,অংক,অংক
2,অংকন,অংক
3,অংকনকে,অংক
4,অংকনসামগ্রী,অংক
5,অংকনের,অংক
6,অংকিত,অংক
7,অংকিতা,অংক
8,অংকের,অংক
9,অংশ,অংশ
10,অংশই,অংশ
11,অংশকে,অংশ
12,অংশকেই,অংশ
13,অংশকেও,অংশ
14,অংশগুলো,অংশ
15,অংশগুলোকে,অংশ
16,অংশগুলোর,অংশ
17,অংশগুলোয়,অংশ
18,অংশগুুলোতে,অংশ
19,অংশগ্রহণ,অংশ
20,অংশগ্রহণই,অংশ
21,অংশগ্রহণও,অংশ
22,অংশগ্রহণকারি,অংশ
23,অংশগ্রহণকারী,অংশ
24,অংশগ্রহণকারীই,অংশ
25,অংশগ্রহণকারীও,অংশ
26,অংশগ্রহণকারীকে,অংশ
27,অংশগ্রহণকারীদের,অংশ
28,অংশগ্রহণকারীর,অংশ
29,অংশগ্রহণকারীরা,অংশ
30,অংশগ্রহণকারীরাও,অংশ
31,অংশগ্রহণকারীসহ,অংশ
32,অংশগ্রহণকালে,অংশ
33,অংশগ্রহণকে,অংশ
34,অংশগ্রহণছাড়া,অংশ
35,অংশগ্রহণতো,অংশ
36,অংশগ্রহণভিত্তিক,অংশ
37,অংশগ্রহণমূলক,অংশ
38,অংশগ্রহণরত,অংশ
39,অংশগ্রহণসহ,অংশ
40,অংশগ্রহণে,অংশ
41,অংশগ্রহণেই,অংশ
42,অংশগ্রহণেচ্ছু,অংশ
43,অংশগ্রহণের,অংশ
44,অংশগ্রহন,অংশ
45,অংশগ্রহনের,অংশ
46,অংশজুড়ে,অংশ
47,অংশজুড়েই,অংশ
48,অংশটা,অংশ
49,অংশটাই,অংশ
50,অংশটাও,অংশ
51,অংশটাকে,অংশ
52,অংশটাতে,অংশ
53,অংশটাতেই,অংশ
54,অংশটার,অংশ
55,অংশটায়,অংশ
56,অংশটি,অংশ
57,অংশটিই,অংশ
58,অংশটিও,অংশ
59,অংশটিকে,অংশ
60,অংশটিতে,অংশ
61,অংশটির,অংশ
62,অংশটুকু,অংশ
63,অংশটুকুই,অংশ
64,অংশটুকুও,অংশ
65,অংশটুকুতে,অংশ
66,অংশটুকুতেও,অংশ
67,অংশটুকুর,অংশ
68,অংশটুকুরই,অংশ
69,অংশবিশেষও,অংশ
70,অংশবিশেষকে,অংশ
71,অংশবিশেষজুড়ে,অংশ
72,অংশবিশেষে,অংশ
73,অংশবিশেষেই,অংশ
74,অংশবিশেষের,অংশ
75,অংশভাগ,অংশ
76,অংশভুক্ত,অংশ
77,অংশমতো,অংশ
78,অংশমাত্র,অংশ
79,অংশরূপে,অংশ
80,অংশসমূহকে,অংশ
81,অংশসহ,অংশ
82,অংশিক,অংশ
83,অংশীদার,অংশীদার
84,অংশীদারও,অংশীদার
85,অংশীদারকে,অংশীদার
86,অংশীদারত্ব,অংশীদার
87,অংশীদারত্বই,অংশীদার
88,অংশীদারত্বমূলক,অংশীদার
89,অংশীদারত্বের,অংশীদার
90,অংশীদারদের,অংশীদার
91,অংশীদারভিত্তিক,অংশীদার
92,অংশীদারমূলক,অংশীদার
93,অংশীদাররা,অংশীদার
