,sentence_main,sentence_lemma
0,পুরসভার সার্জেন্ট হিসেবে দীর্ঘ দিন নিরাপত্তার দায়িত্ব পালন করেছেন তৃণমূল নেতা শোভনদেব চট্টোপাধ্যায়,পুরসভা সার্জেন্ট হিসাব দীর্ঘ দিন নিরাপত্তা দায়িত্ব পালন করা তৃণমূল নেতা শোভনদেব চট্টোপাধ্যায়
1,বোধ করি এই সকল কারণেই পরেশ সুন্দরী যুবতী স্ত্রীকে সম্পূর্ণ নিজের আয়ত্তগম্য বলিয়া বোধ করিতেন না এবং বোধ করি সন্দিগ্ধ স্বভাব তাঁহার একটা ব্যাধির মধ্যে,বোধ করা এই সকল কারণ পরেশ সুন্দরী যুবক স্ত্রী সম্পূর্ণ নিজ আয়ত্ত বলা বোধ করা না এবং বোধ করা সন্দিগ্ধ স্বভাব তিনি এক ব্যাধি মধ্যে
2,পারলৌকিক পিণ্ডের ক্ষুধাটা সে ইহলৌকিক চিত্তক্ষুধাদাহে একেবারেই ভুলিয়া বসিয়াছিল মনুর পবিত্র বিধান এবং বৈদ্যনাথের আধ্যাত্মিক ব্যাখ্যায় তাহার বুভুক্ষিত হৃদয়ের তিলমাত্র তৃপ্তি হইল না,পারলৌকিক পিণ্ড ক্ষুধা তিনি ইহলোক চিত্তক্ষুধাদাহ একবার ভুল বসা মনু পবিত্র বিধান এবং বৈদ্যনাথ আধ্যাত্মিক ব্যাখ্যা তিনি বুভুক্ষা হৃদয় তিলমাত্র তৃপ্ত হয় না
3,একদিন প্রাতে বৈদ্যনাথের মার্বলমণ্ডিত দালানে একটি স্থূলোদর সন্ন্যাসী দুইসের মোহনভোগ এবং দেড়সের দুগ্ধ সেবায় নিযুক্ত আছে বৈদ্যনাথ গায়ে একখানি চাদর দিয়া জোড়করে একান্ত বিনীতভাবে ভূতলে বসিয়া ভক্তিভরে পবিত্র ভোজনব্যাপার নিরীক্ষণ করিতেছিলেন এমন সময় কোনোমতে দ্বারীদের দৃষ্টি এড়াইয়া জীর্ণদেহ বালক সহিত একটি অতি শীর্ণকায়া রমণী গৃহে প্রবেশ করিয়া ক্ষীণস্বরে কহিল বাবু দুটি খেতে দাও,একদিন প্রাতঃ বৈদ্যনাথ মার্বলমণ্ডিত দালান এক স্থূলউদর সন্ন্যাসী দুইসের মোহনভোগ এবং দেড়সের দুগ্ধ সেবা নিযুক্ত আছে বৈদ্যনাথ গা একখান চাদর দেওয়া জোড়কর একান্ত বিনীতভাব ভূতল বসা ভক্তিভরা পবিত্র ভোজনব্যাপার নিরীক্ষণ করা এমন সময় কোনোমত দ্বারী দৃষ্টি এড়ানো জীর্ণদেহ বালক সহিত এক অতি শীর্ণকায়া রমণী গৃহ প্রবেশ করা ক্ষীণস্বর কহা বাবু দুই খাওয়া দাওয়া
4,গ্রামের এক পুরোহিত মুলে বলেছেন এই গ্রাম কয়েক হাজার বছরের পুরানো,গ্রাম এক পুরোহিত মুল বলা এই গ্রাম কিছু হাজার বছর পুরানো
5,তাঁর সেই মিষ্টি খেয়ে এতটাই ভাল লাগল যে ফিরে এসে আরও বানানোর অর্ডার দিলেন,তিনি সেই মিষ্টি খাওয়া এত ভাল লাগা যে ফিরে আসা আর বানানো অর্ডার দেওয়া
6,রুটিন টিকাকরণ প্রক্রিয়া শক্তিশালী না হলে পোলিয়ো ফিরে আসতে পারে,রুটিন টিকাকরণ প্রক্রিয়া শক্তি না হওয়া পোলিয়ো ফিরে আসা পারা
7,তা নিয়ে যুবকরা আশপাশের পাহাড় জঙ্গলে ছড়িয়ে পড়েন,তা নেওয়া যুবক আশপাশ পাহাড় জঙ্গল ছড়ানো পড়া
8,প্রদেশগুলি সে কাজে যদি ব্যর্থ হয়েও থাকে এত দিন সেই ব্যর্থতা নিরাময়ের চেষ্টা করা সম্ভব,প্রদেশ তিনি কাজ যদি ব্যর্থ হওয়া থাকা এত দিন সেই ব্যর্থ নিরাময় চেষ্টা করা সম্ভব
9,নতুন ওঠা গোঁফদাড়ির এই সুকুমার মুখটা দেখেছিলাম ঠিক এক বছর আগে মার্চে কাশ্মীরে,নতুন ওঠা গোঁফদাড়ি এই সুকুমার মুখ দেখা ঠিক এ বছর আগে মার্চ কাশ্মীর
10,ছুটি এলেই তাকে সর্বকালের সেরা বানানোর প্রবণতা থাকে অনেকের,ছুটি আসা তার সর্বকাল সেরা বানানো প্রবণতা থাকা অনেক
11,প্রাণকে টিঁকে থাকতে সাহায্য করেছে,প্রাণ টেকা থাকা সাহায্য করা
12,ডিমাপুরের অদূরে মেদজিফেমা এলাকায় গ্রামবাসীদের গবাদি পশু খেয়ে যাচ্ছিল বাঘ সদৃশ প্রাণী,ডিমাপুর দূর মেদজিফেমা এলাকা গ্রামবাসা গবাদি পশু খাওয়া যাওয়া বাঘ সদৃশ প্রাণ
13,তাতে বলা হচ্ছে পোলিয়ো খাওয়া মানে সন্তানধারণ ক্ষমতা নষ্ট হয়ে যাওয়া,তা বলা হওয়া পোলিয়ো খাওয়া মানে সন্তানধারণ ক্ষমতা নষ্ট হয়ে যাওয়া
14,এক্ষণে পুলিস তাহার মৃতদেহ লইয়া টানাটানি করিতে উদ্যত,ক্ষণ পুলিস তিনি মৃতদেহ নেওয়া টান করা উদ্যত
15,কাজটি শুনিতে সহজ অথচ করিতে কেন সহজ নহে তাহার বৃত্তান্ত আর-একটু বিস্তারিত করিয়া বলা আবশ্যক,কাজ শোনা সহজ অথচ করা কেন সহজ না তিনি বৃত্তান্ত আরএক বিস্তার করা বলা অবশ্য
16,আজ তোমার আজই পদের সম্মান করা হল,আজ তুমি আজ পদ সম্মান করা হওয়া
17,সেই রাজতন্ত্র কবে বিদায় নিয়েছে,সেই রাজতন্ত্র কবে বিদায় নেওয়া
18,পোস্ত আর আফিমের সম্পর্কটা অবিচ্ছেদ্য বলেই আমাদের দেশে বাণিজ্যিক ভাবে পোস্ত চাষ নিষিদ্ধ,পোস্ত আর আফিম সম্পর্ক বিচ্ছেদ বলা আমি দেশ বাণিজ্য ভাব পোস্ত চাষ নিষিদ্ধ
19,কিন্তু এমন ভাবে প্রকাশ্যে বাঘ মারার পরেও কেন গ্রামবাসীদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে না,কিন্তু এমন ভাব প্রকাশ্য বাঘ মারা পর কেন গ্রামবাসা বিরুদ্ধ ব্যবস্থা নেওয়া হওয়া না
20,এ পাড়ায় চার পুরুয আমাদের বসবাস,এ পাড়া চার পুরুষ আমি বাস
21,ক্ষমতায় থাকলে উপাচার্যকেও কলার ধরে বার করে দিতাম,ক্ষমতা থাকা উপাচার্য কলার ধরা বার করা দেওয়া
22,ভট্টাচার্যমহাশয় দেশবিখ্যাত প্রতিপত্তির জোরে চোরাই মাল রক্ষার অভিযোগ হইতে নিষ্কৃতি পাইলেন,ভট্টাচার্যমহাশয় দেশবিখ্যাত প্রতিপত্তি জোর চোর মাল রক্ষা অভিযোগ হওয়া নিষ্কৃত পাওয়া
23,এই আড্ডাটাই মানুষে মানুষে যোগাযোগটা ধরে রেখেছে,এই আড্ডা মানুষ মানুষ যোগাযোগ ধরা রাখা
24,হঠাৎই চোখে পড়ে কিছু দূরে আপনাআপনি ভেসে চলেছে একটি ভুতুড়ে নৌকো,হঠাৎ চোখ পড়া কিছু দূর আপনআপন ভাসা চলা এক ভুত নৌকো
