Rank,University Name,Vacency,Application Fee,GRE ,GRE note,IELTS,Note,IELTS Requirement (Minimum for Graduate Programs)
1,Carnegie Mellon University,,,Optional,Recommended,7.5,,"7.0–7.5 (varies by program; e.g., BME requires TOEFL 100 or IELTS 7.0)"
2,Stanford University,,,Not required,,7,,7.0 (minimum; some programs may require 7.5)
3,University of Washington,,,Not accepted,,7,,7.0 (most programs)
4,University of Maryland - College Park,,,Required,,7,"R,L,W>=7, S>=6.5, Candidate with low score have to take course",7.0 (most programs)
5,Univ. of California - Los Angeles (UCLA),,,Optional,,7,,7.0 (minimum; some programs may require 7.5)
6,Univ. of Illinois at Urbana-Champaign,,,Not required,Recommended,7.5,"S>=8 for TA, 6.5 Limited status",6.5–7.0 (varies by program)
7,Univ. of California - San Diego (UCSD),,,Not required,Can be submitted,7,,7.0 (most programs)
7,University of North Carolina,,,Not required,Recommended,7,"This is not minimum,competitive students achieve this",7.0 (most programs)
9,Johns Hopkins University,,,Not required,,7,,7.0 (most programs; some require 7.5)
10,University of Southern California,,,Not required,,7,"(>= 6), otherwise exam will be taken",6.5–7.0 (varies by program)
11,University of Michigan,,,Not accepted,,6.5,,7.0 (most programs)
12,Univ. of California - Berkeley,,,Not accepted,,6.5,,7.0 (minimum; some programs require 7.5)
13,University of Pennsylvania,,,Optional,,7,,7.0–7.5 (varies by program)
14,Cornell University,,,Not mentioned,,7,,7.0 (most programs)
15,University of Texas at Austin,,,Optional,,6.5,,6.5–7.0 (varies by program)
16,Georgia Institute of Technology,,,Optional,,7.5,"R,L,S>=6.5,W>=5.5",7.0 (most programs)
17,New York University,,,Not required,Can submit,7,"Successfull candidate >=7.5, lower score candidate can still apply, do not set minimum",7.0–7.5 (varies by program)
18,University of Illinois at Chicago,,,Not required,Consider if submitted,6.5,no band less than 6,6.5–7.0 (varies by program)
19,Massachusetts Institute of Technology,,,Required,,7,,7.0 (minimum; some programs require 7.5)
20,Columbia University,,,Not required,,7.5,,7.0–7.5 (varies by program)
21,Northeastern University,,,Not required,,No minimum,Most successful candidate >=7.5,7.0 (most programs)
22,Univ. of California - Davis,,,Not required,,7,,7.0 (most programs)
23,University of Texas at Dallas,,,Required,">=315,V>=153,Q>=155,A>=4",6.5,,6.5–7.0 (varies by program)
24,Pennsylvania State University,,,Not required,Optional,6.5,,6.5–7.0 (varies by program)
25,University of Massachusetts Amherst,,,Not required,,6.5,,6.5–7.0 (varies by program)
26,George Mason University,,,Not required,Recommended,6.5,,6.5–7.0 (varies by program)
26,Princeton University,,,Not accepted,,Do not set minimum requirements,,7.0 (most programs; Speaking <8.0 may require additional testing)
28,Univ. of California - Santa Barbara,,,Not required,Do not use,7,,7.0 (most programs)
29,University of Arizona,,,Optional,,6.5,,6.5–7.0 (varies by program)
30,Stony Brook University,,,Not required,,No score mentioned,"Survey have to be filled, If required test score have to be sent",6.5–7.0 (varies by program)
31,Arizona State University,,,Optional,,6.5,,6.5–7.0 (varies by program)
32,Ohio State University,,,Not required,,7,,7.0 (most programs)
33,Texas A&M University,,,Required,,6,"S>=8 eligible for TA, 7-7.5 conditional, and others ineligible",6.5–7.0 (varies by program)
34,University of Notre Dame,,,Not required,Optional,7,"W>=7, O>=6.5",7.0 (most programs)
35,Emory University,,,Not required,Optional,7,,7.0 (most programs)
36,University of Virginia,,,Optional,,7,>=7,7.0 (most programs)
37,University of Colorado Boulder,,,Not required,,6.5,,6.5–7.0 (varies by program)
38,University of Oregon,,,Optional,"V>=153, Q>=154, A>=3.0",7,,7.0 (most programs)
39,Purdue University,,,Not required,,7.5,>=7,6.5–7.0 (varies by program)
39,University of Massachusetts Lowell,,,Required,,6.5,,6.5–7.0 (varies by program)
41,University of Utah,,,Optional,,6.5,,6.5–7.0 (varies by program)
42,Dartmouth College,,,Not required,Do not accept,7,,7.0 (most programs)
43,University of Minnesota,,,Not required,,6.5,"S>=7 for TA, R,W>=6.5 needed",6.5–7.0 (varies by program)
43,Virginia Tech,,,Not required,,6.5,,6.5–7.0 (varies by program)
45,University of Chicago,,,Not required,Optional,7,,7.0 (most programs; some require 7.5)
46,Duke University,,,Optional,,7,,7.0 (most programs)
47,Yale University,,,Not required,Do not accept,Not mentioned,,7.0–7.5 (varies by program)
48,Brown University,,,Optional,,8,,7.0 (most programs)
49,University of Wisconsin - Madison,,,Not required,,7,"6.5->Condition,Have to take course",7.0 (most programs)
50,University at Buffalo,,,Not required,,6.5,,6.5–7.0 (varies by program)
51,Michigan State University,,,Not required ,but highly recommended,6.5,>= 6,6.5–7.0 (varies by program)
51,Rochester Institute of Technology,,,Required,,6.5,,6.5–7.0 (varies by program)
53,Stevens Institute of Technology,,,Required,,6,Have to take course for English <= 6.5,6.5–7.0 (varies by program)
54,University of Texas at Arlington,,,Not required,,7.5,S>=7,6.5–7.0 (varies by program)
55,Georgetown University,,,Not required,Do not use,7,,7.0 (most programs)
55,Northwestern University,,,Not required,,7,,7.0–7.5 (varies by program)
55,University of Rochester,,,Not required,Recommended,No threshold,,7.0 (most programs)
58,Boston University,,,Optional,,7,,7.0 (most programs; some require 7.5)
59,Univ. of California - Santa Cruz,,,Not required,,7,S>=8 for TA,7.0 (most programs)
60,Indiana University,,,Required,,7,,6.5–7.0 (varies by program)
60,University of Central Florida,,,Not required,,6.5,,6.5–7.0 (varies by program)
60,Worcester Polytechnic Institute,,,Not required,,6.5,,6.5–7.0 (varies by program)
63,Univ. of California - Riverside,,,Optional,Recommended,7,>=6,7.0 (most programs)
64,Rice University,,,Optional,,7,,7.0 (most programs)
64,Univ. of Maryland - Baltimore County,,,Required,,6.5,,6.5–7.0 (varies by program)
64,University of Pittsburgh,,,Not required,,7,>= 6.5,6.5–7.0 (varies by program)
67,TTI Chicago,,,Not required,,7,>=7,7.0 (assumed; limited data)
68,Rutgers University,,,Optional,Recommended,7,,7.0 (most programs)
69,Drexel University,,,Optional,Recommended,6.5,,6.5–7.0 (varies by program)
70,Oregon State University,,,Not required,,6.5,">= 5.5, S>=7 for GTA",6.5–7.0 (varies by program)
71,Case Western Reserve University,,,Required,,7,,7.0 (most programs)
71,University of South Florida,networking,,Not required,Recommended,6.5,,6.5–7.0 (varies by program)
73,Iowa State University,,Free,Required,"Can be waived, Q: 166, V: 155",6.5,,6.5–7.0 (varies by program)
74,University of Iowa,,,Optional,,7,>=6,7.0 (most programs)
