Inflected_Word,Lemma,POS
কালে,কাল,বিশেষ্য
কালের,কাল,বিশেষ্য
কালই,কাল,বিশেষ্য
কালটা,কাল,বিশেষ্য
কালটাতে,কাল,বিশেষ্য
কলার,কলা,বিশেষ্য
কলাতে,কলা,বিশেষ্য
কলাটি,কলা,বিশেষ্য
কলাটির,কলা,বিশেষ্য
কলাই,কলা,বিশেষ্য
কেরসিনে,কেরসিন,বিশেষ্য
কেরসিনের,কেরসিন,বিশেষ্য
কেরসিনটা,কেরসিন,বিশেষ্য
কেরসিনই,কেরসিন,বিশেষ্য
কদবেলে,কদবেল,বিশেষ্য
কদবেলটা,কদবেল,বিশেষ্য
কদবেলটি,কদবেল,বিশেষ্য
কদবেলই,কদবেল,বিশেষ্য
কার্যে,কার্য,বিশেষ্য
কার্যের,কার্য,বিশেষ্য
কার্যটা,কার্য,বিশেষ্য
কার্যটি,কার্য,বিশেষ্য
কালোর,কালো,বিশেষ্য
কালোই,কালো,বিশেষ্য
কালোদের,কালো,বিশেষ্য
কালোটা,কালো,বিশেষ্য
করবে,করা,ক্রিয়া
করিয়াছে,করা,ক্রিয়া
কর,করা,ক্রিয়া
করেছে,করা,ক্রিয়া
করছেন,করা,ক্রিয়া
করেন,করা,ক্রিয়া
কুলার,কুলা,বিশেষ্য
কুলাটি,কুলা,বিশেষ্য
কুলাটা,কুলা,বিশেষ্য
কুলাতে,কুলা,বিশেষ্য
বকুলের,বকুল,বিশেষ্য
বকুলকে,বকুল,বিশেষ্য
বকুলদের,বকুল,বিশেষ্য
বকুলই,বকুল,বিশেষ্য
বকুলটা,বকুল,বিশেষ্য
কুসুমের,কুসুম,বিশেষ্য
কুসুমকে,কুসুম,বিশেষ্য
কুসুমই,কুসুম,বিশেষ্য
কুসুমরে,কুসুম,বিশেষ্য
কুসুমদের,কুসুম,বিশেষ্য
কুমারের,কুমার,বিশেষ্য
কুমারদের,কুমার,বিশেষণ
কুমারই,কুমার,বিশেষ্য
কুমারকে,কুমার,বিশেষ্য
কৃষকের,কৃষক,বিশেষ্য
কৃষকদের,কৃষক,বিশেষ্য
কৃষকে,কৃষক,বিশেষ্য
কৃষকরা,কৃষক,বিশেষ্য
কৃষকই,কৃষক,বিশেষ্য
কুকুরে,কুকুর,বিশেষ্য
কুকুরকে,কুকুর,বিশেষ্য
কুকুরদের,কুকুর,বিশেষ্য
কুকুরটি,কুকুর,বিশেষ্য
কুকুরটা,কুকুর,বিশেষ্য
কুকুরের,কুকুর,বিশেষ্য
কাজে,কাজ,বিশেষ্য
কাজকেই,কাজ,বিশেষ্য
কাজেই,কাজ,বিশেষ্য
কাজের,কাজ,বিশেষ্য
কাজই,কাজ,বিশেষ্য
কথাই,কথা,বিশেষ্য
কথায়,কথা,বিশেষ্য
কথার,কথা,বিশেষ্য
কথাকে,কথা,বিশেষ্য
কথাতেই,কথা,বিশেষ্য
কথাতে,কথা,বিশেষ্য
কলহের,কলহ,বিশেষ্য
কলহকে,কলহ,বিশেষ্য
কলহতে,কলহ,বিশেষ্য
কলহই,কলহ,বিশেষ্য
কলহে,কলহ,বিশেষ্য
কেবলই,কেবল,বিশেষ্য
কমিটির,কমিট,বিশেষ্য
কমিটিকে,কমিট,বিশেষ্য
কমিটিদের,কমিট,বিশেষ্য
কমিটিতে,কমিট,বিশেষ্য
কমিটিরা,কমিট,বিশেষ্য
কমিশনকে,কমিশন,বিশেষ্য
কমিশনের,কমিশন,বিশেষ্য
কমিশনটা,কমিশন,বিশেষ্য
কমিশনই,কমিশন,বিশেষ্য
কমিশনে,কমিশন,বিশেষ্য
কমলাটা,কমলা,বিশেষ্য
কমলাটি,কমলা,বিশেষ্য
কমলাটির,কমলা,বিশেষ্য
কমলাতে,কমলা,বিশেষ্য
কমলাই,কমলা,বিশেষ্য
কমলাকে,কমলা,বিশেষ্য
কমলাটার,কমলা,বিশেষ্য
কমলার,কমলা,বিশেষ্য
কোম্পানিতে,কোম্পানি,বিশেষ্য
কোম্পানিকে,কোম্পানি,বিশেষ্য
কোম্পানিটি,কোম্পানি,বিশেষ্য
কোম্পানির,কোম্পানি,বিশেষ্য
কোম্পানিটা,কোম্পানি,বিশেষ্য
কোমলতার,কোমল,বিশেষ্য
কোমলে,কোমল,বিশেষ্য
কোমলকে,কোমল,বিশেষ্য
কোমলই,কোমল,বিশেষ্য
কবির,কবি,বিশেষ্য
কবিকে,কবি,বিশেষ্য
কবিদের,কবি,বিশেষ্য
কতো,কত,বিশেষ্য
কতটা,কত,বিশেষণ
কতটি,কত,বিশেষণ
কতরে,কত,বিশেষণ
কতই,কত,বিশেষণ
কতোটা,কত,বিশেষণ
কতোটি,কত,বিশেষণ
কমে,কম,বিশেষণ
কমেছে,কম,বিশেষণ
কমছে,কম,বিশেষণ
কমছিল,কম,বিশেষণ
কমছেন,কম,বিশেষণ
কমতেছি,কম,বিশেষণ
কমিতেছি,কম,বিশেষণ
কমছি,কম,বিশেষণ
কমেছি,কম,বিশেষণ
ক্ষতেরই,ক্ষত,বিশেষ্য
কুন্ডলীর,কুন্ডলী,বিশেষ্য
কুন্ডলীতে,কুন্ডলী,বিশেষ্য
কুন্ডলীকে,কুন্ডলী,বিশেষ্য
কুন্ডলীতেই,কুন্ডলী,বিশেষ্য
কুন্ডলীই,কুন্ডলী,বিশেষ্য
কিতাবে,কিতাব,বিশেষ্য
কিতাবটা,কিতাব,বিশেষ্য
কিতাবটি,কিতাব,বিশেষ্য
কিতাবের,কিতাব,বিশেষ্য
কিতাবকে,কিতাব,বিশেষ্য
কাকার,কাকা,বিশেষ্য
কাকাকে,কাকা,বিশেষ্য
কাকাই,কাকা,বিশেষ্য
কাকির,কাকি,বিশেষ্য
কাকিকে,কাকি,বিশেষ্য
কাকিদের,কাকি,বিশেষ্য
কাকিরা,কাকি,বিশেষ্য
কাকিই,কাকি,বিশেষ্য
কুড়িতে,কুড়ি,বিশেষ্য
কুড়ির,কুড়ি,বিশেষ্য
কামরকে,কামার,বিশেষ্য
কামারেরা,কামার,বিশেষ্য
কামারদের,কামার,বিশেষ্য
কামারই,কামার,বিশেষ্য
কামারটা,কামার,বিশেষ্য
কুমড়াতে,কুমড়া,বিশেষ্য
কুমড়ার,কুমড়া,বিশেষ্য
কুমরাটি,কুমড়া,বিশেষ্য
কুমড়াটা,কুমড়া,বিশেষ্য
কুমড়াই,কুমড়া,বিশেষ্য
কলেজটি,কলেজ,বিশেষ্য
কলেজর,কলেজ,বিশেষ্য
কলেজটা,কলেজ,বিশেষ্য
কলেজকে,কলেজ,বিশেষ্য
কলমির,কলমি,বিশেষ্য
কলমিতে,কলমি,বিশেষ্য
কলমটি,কলম,বিশেষ্য
কলমটিতে,কলম,বিশেষ্য
কলমটির,কলম,বিশেষ্য
কলমকে,কলম,বিশেষ্য
কলমে,কলম,বিশেষ্য
কলমের,কলম,বিশেষ্য
কলমেই,কলম,বিশেষ্য
কলমই,কলম,বিশেষ্য
কবুলের,কবুল,বিশেষ্য
কানে,কান,বিশেষ্য
কানের,কান,বিশেষ্য
কানটি,কান,বিশেষ্য
কনাটা,কান,বিশেষ্য
কানই,কান,বিশেষ্য
কাঁঠালে,কাঁঠাল,বিশেষ্য
কাঁঠালের,কাঁঠাল,বিশেষ্য
কাঠালই,কাঁঠাল,বিশেষ্য
কাঠালটি,কাঁঠাল,বিশেষ্য
কাঁঠালটাকে,কাঁঠাল,বিশেষ্য
কাঁঠালিটকে,কাঁঠাল,বিশেষ্য
কাচে,কাচ,বিশেষ্য
কাচের,কাচ,বিশেষ্য
কাচটি,কাচ,বিশেষ্য
কাচটা,কাচ,বিশেষ্য
কাচই,কাচ,বিশেষ্য
কাঁদার,কাঁদা,বিশেষ্য
কাঁদাতে,কাঁদা,বিশেষ্য
কাঁদাই,কাঁদা,বিশেষ্য
কাঁদায়,কাঁদা,বিশেষ্য
কাঁদাকে,কাঁদা,বিশেষ্য
কামরাটি,কামরা,বিশেষ্য
কামরাটা,কামরা,বিশেষ্য
কামরাতে,কামরা,বিশেষ্য
কামরায়,কামরা,বিশেষ্য
কামরার,কামরা,বিশেষ্য
কখনো,কখন,বিশেষ্য
কখনই,কখন,বিশেষ্য
কখনোই,কখন,বিশেষ্য
কচুতে,কচু,বিশেষ্য
কচুটি,কচু,বিশেষ্য
কচুটা,কচু,বিশেষ্য
