,Inflected_Word,Lemma,POS
0,কাচিতেছিলাম,কাচা,ক্রিয়া
1,আগমনকারী,আগমন,বিশেষ্য
2,ফলা,ফল,বিশেষ্য
3,এলাকার,এলাকা,বিশেষ্য
4,ডাকাতীর,ডাকাতী,বিশেষণ
5,লম্বন,লম্ব,বিশেষ্য
6,ঐতিহাসিকভাবে,ঐতিহাসিক,বিশেষণ
7,ওখানখার,ওখান,বিশেষ্য
8,জনে,জন,বিশেষ্য
9,ছোলা,ছোলা,বিশেষ্য
10,সৌরভ,সৌরভ,বিশেষ্য
11,ভেদ,ভেদ,বিশেষ্য
12,নখ,নখ,বিশেষ্য
13,গন্তব্য,গন্তব্য,বিশেষণ
14,ইস্পাত,ইস্পাত,বিশেষ্য
15,অবসরই,অবসর,বিশেষ্য
16,দাঁড়াশ,দাঁড়াশ,বিশেষ্য
17,লিখচ্ছিলেন,লেখা,ক্রিয়া
18,আত্মশক্তিতেই,আত্মশক্তি,বিশেষ্য
19,জনপদের,জনপদ,বিশেষ্য
20,নাচ,নাচ,বিশেষ্য
21,কায়দা,কায়দা,বিশেষ্য
22,কবচকুণ্ডল,কবচকুণ্ডল,বিশেষ্য
23,যুদ্ধ,যুদ্ধ,বিশেষ্য
24,আদতে,আদত,বিশেষণ
25,ডুবিয়ে,ডোবানো,ক্রিয়া
26,কদবেলটা,কদবেল,বিশেষ্য
27,করমর্দনই,করমর্দন,বিশেষ্য
28,অধিককালের,অধিক,বিশেষণ
29,শতকারাতে,শতকরা,ক্রিয়াবিশেষণ
30,করালেম,করা,ক্রিয়া
31,হতভাগিনীকে,হতভাগ্য,বিশেষণ
32,দরজায়,দরজা,বিশেষ্য
33,রেডিও,রেডিও,বিশেষ্য
34,সুখবিহারের,সুখবিহার,বিশেষ্য
35,আংটা,আংটা,বিশেষ্য
36,খাওন,খাওয়া,ক্রিয়া
37,কাচুন,কাচা,ক্রিয়া
38,কামারেরা,কামার,বিশেষ্য
39,পুতুলে,পুতুল,বিশেষ্য
40,নানারকম,নানারকম,বিশেষণ
41,উচ্চতাই,উচ্চতা,বিশেষ্য
42,জীবটা,জীব,বিশেষ্য
43,অভিমুখ,অভিমুখ,বিশেষ্য
44,ছোলাটি,ছোলা,বিশেষ্য
45,মৌমাছির,মৌমাছি,বিশেষ্য
46,মন্দা,মন্দ,বিশেষণ
47,উদ্যোগগুলো,উদ্যোগ,বিশেষ্য
