banglatalk,indic,whisper
0.7,0.94,0.84
0.9,0.95,0.775
0.4634,0.9512,0.6098
0.5,0.8448,0.5517
0.75,0.7955,0.5909
0.7083,0.875,0.5833
0.75,0.898,0.9388
0.5217,0.5652,0.5217
0.7692,0.8974,0.7949
0.6905,0.9048,0.7857
0.7755,0.9592,0.8571
0.7627,0.9153,0.7119
0.6562,1.0,0.8125
0.6667,0.8462,0.8667
0.8125,0.9655,0.7241
0.7018,1.0,0.8246
0.6923,0.8846,0.7692
0.902,1.0,0.7843
0.6964,0.9821,0.9107
0.8491,0.9434,0.7547
0.75,1.0,0.8929
0.8833,1.0,0.8833
0.8889,0.9722,0.8889
0.7679,0.9464,0.875
0.5882,0.8971,0.6912
0.7021,0.9149,0.7447
0.5789,0.9474,0.5263
0.8889,1.0,0.8889
0.8868,0.9623,0.7736
0.7812,0.9688,0.8125
0.8939,1.0,0.8485
0.9444,1.0,0.8889
0.75,1.0,0.875
0.7576,0.9848,0.8485
0.881,1.0,0.9762
0.8043,0.9783,0.7826
0.7887,0.9437,0.8451
0.6364,0.9091,0.8182
0.6379,0.8772,0.7193
0.6111,0.8333,0.5694
0.549,0.9216,0.7843
0.6364,0.925,0.85
0.5882,0.7941,0.6471
0.5208,0.6596,0.6809
0.8056,1.0,0.8333
0.6071,0.875,0.7321
0.7708,0.9167,0.8333
0.58,0.86,0.64
0.6,0.82,0.66
0.5938,0.8689,0.7869
0.5472,0.7347,0.6735
0.4717,0.8868,0.7736
0.5385,0.8824,0.7451
0.619,0.9365,0.9048
0.7069,0.8276,0.7414
0.7647,0.9104,0.8657
0.8298,0.8936,0.766
0.7308,0.8077,0.8077
0.6571,0.6857,0.7143
0.3333,0.5417,0.4375
0.4,0.7292,0.4792
0.6,0.76,0.6
0.4878,0.8537,0.5122
0.5556,0.7414,0.569
0.75,0.9524,0.8095
0.6721,0.8852,0.8033
0.4528,0.6939,0.551
0.6905,0.9231,0.7179
0.7209,0.9535,0.814
0.7231,0.9677,0.8548
0.6744,0.8621,0.7586
0.7778,0.8704,0.7778
0.6786,0.7692,0.7308
0.8,0.92,0.76
0.9167,1.0,0.9155
0.6,0.7,0.5
0.7,1.0,0.75
0.9062,1.0,1.0
0.6364,0.9091,0.8636
0.875,0.875,0.875
0.931,0.9828,0.931
0.6667,0.9583,0.7083
0.8636,0.9545,0.9091
0.7447,0.8085,0.7447
0.7674,0.907,0.814
0.6481,0.8542,0.6458
0.8776,0.9388,0.8367
0.7292,0.9792,0.7917
0.8864,0.9773,0.8864
0.875,1.0,0.9286
0.75,0.9259,0.8148
