banglatalk,indic,whisper
0.9833,0.94,0.84
0.95,0.95,0.775
0.95,0.9512,0.6098
1.0,0.8448,0.5517
0.9167,0.7955,0.5909
0.9833,0.875,0.5833
0.9667,0.898,0.9388
0.95,0.5652,0.5217
0.95,0.8974,0.7949
0.9833,0.9048,0.7857
0.9833,0.9592,0.8571
1.0,0.9153,0.7119
0.95,1.0,0.8125
1.0,0.8462,0.8667
0.9667,0.9655,0.7241
0.9667,1.0,0.8246
0.9333,0.8846,0.7692
0.9833,1.0,0.7843
0.9833,0.9821,0.9107
0.9833,0.9434,0.7547
0.9667,1.0,0.8929
0.9833,1.0,0.8833
0.9583,0.9722,0.8889
0.9667,0.9464,0.875
0.9706,0.8971,0.6912
0.9667,0.9149,0.7447
0.9833,0.9474,0.5263
0.95,1.0,0.8889
1.0,0.9623,0.7736
0.9833,0.9688,0.8125
0.9848,1.0,0.8485
0.9667,1.0,0.8889
0.9833,1.0,0.875
0.9545,0.9848,0.8485
0.9833,1.0,0.9762
0.9833,0.9783,0.7826
0.9718,0.9437,0.8451
0.9833,0.9091,0.8182
0.9833,0.8772,0.7193
0.9722,0.8333,0.5694
1.0,0.9216,0.7843
0.9667,0.925,0.85
0.9853,0.7941,0.6471
0.9833,0.6596,0.6809
0.9722,1.0,0.8333
1.0,0.875,0.7321
0.95,0.9167,0.8333
0.9833,0.86,0.64
1.0,0.82,0.66
1.0,0.8689,0.7869
0.95,0.7347,0.6735
0.9667,0.8868,0.7736
0.9833,0.8824,0.7451
0.9841,0.9365,0.9048
0.9833,0.8276,0.7414
0.9701,0.9104,0.8657
0.9667,0.8936,0.766
0.9667,0.8077,0.8077
0.9667,0.6857,0.7143
0.95,0.5417,0.4375
0.9833,0.7292,0.4792
0.9833,0.76,0.6
0.9667,0.8537,0.5122
0.9833,0.7414,0.569
0.95,0.9524,0.8095
0.9836,0.8852,0.8033
0.9667,0.6939,0.551
1.0,0.9231,0.7179
0.9833,0.9535,0.814
0.9839,0.9677,0.8548
0.9333,0.8621,0.7586
0.9833,0.8704,0.7778
0.9667,0.7692,0.7308
0.9667,0.92,0.76
0.9718,1.0,0.9155
0.9667,0.7,0.5
0.95,1.0,0.75
1.0,1.0,1.0
1.0,0.9091,0.8636
1.0,0.875,0.875
0.9833,0.9828,0.931
1.0,0.9583,0.7083
0.9667,0.9545,0.9091
0.9833,0.8085,0.7447
0.9833,0.907,0.814
0.9833,0.8542,0.6458
0.9833,0.9388,0.8367
0.9833,0.9792,0.7917
0.9667,0.9773,0.8864
0.9667,1.0,0.9286
0.9833,0.9259,0.8148
0.9667,1.0,0.8696
1.0,0.9661,0.7627
0.9667,0.9,0.95
0.9667,1.0,0.84
0.9667,0.92,0.76
0.9625,0.9625,0.75
0.9667,0.8776,0.8776
0.9833,1.0,0.9032
1.0,0.8852,0.8033
1.0,0.9574,0.8085
0.9833,0.9512,0.9512
0.9833,1.0,0.9535
0.9841,0.9683,0.9365
0.9833,1.0,0.9722
1.0,0.9412,0.8824
1.0,1.0,0.78
1.0,0.9841,1.0
0.9833,1.0,0.9667
0.9667,1.0,0.9286
0.9667,1.0,0.8889
0.9333,1.0,0.8857
1.0,1.0,0.9565
1.0,0.9434,0.8679
1.0,1.0,0.9545
0.9667,0.9737,0.7632
0.9833,0.9143,0.8857
0.9833,0.8824,0.8824
0.9833,1.0,0.8
0.9833,0.9583,0.8542
0.95,0.9444,0.8611
0.9833,1.0,0.9167
0.9833,1.0,0.913
0.95,0.9697,0.8485
