,Inflected_Word,Lemma
0,আলমগিরী,আলমগিরী
1,মুদ্রা,মুদ্রা
2,সম্ভবনা,সম্ভবনা
3,ভাষিকের,ভাষা
4,আলোচনাটির,আলোচনা
5,পেল,পাওয়া
6,ভদ্রমহোদয়গণ,ভদ্রমহোদয়
7,সংরক্ষণের,সংরক্ষণ
8,কৃষ্ণত্ব,কৃষ্ণ
9,ঐশ্বর্য্যশালী,ঐশ্বর্য্য
10,অধ্যাত্মচেতনাসম্পন্ন,অধ্যাত্মচেতনা
11,নির্ভুলতা,নির্ভুলতা
12,গণপূর্তমন্ত্রী,গণপূর্ত
13,ক্রিমিয়ার,ক্রিমিয়ার
14,উদ্ধৃতিগুলো,উদ্ধৃতি
15,ত্রিভুজের,ত্রিভুজ
16,শেন্টসদের,শেন্টস
17,তারতম্যের,তারতম্য
18,নাড়েন,নাড়া
19,এইচআর,এইচআর
20,চীনারা,চীনা
21,একবিবাহের,একবিবাহ
22,নিবিড়,নিবিড়
23,জড়িতে,জড়ি
24,ভিডিওচিত্রটির,ভিডিওচিত্র
25,অরিত্র,অরিত্র
26,ভাশার,ভাশা
27,কার্পেনকো,কার্পেনকো
28,বেজোড়সংখ্যক,বেজোড়সংখ্যক
29,স্বরূপটি,স্বরূপ
30,কুদলু,কুদল
31,এফটিপিএস,এফটিপিএস
32,ম্যালথাস,ম্যালথাস
33,বেদ্রিগনান,বেদ্রিগনান
34,মর্টারে,মর্টার
35,মহাম্মাদের,মহাম্মাদ
36,উপস্থিতিগুলির,উপস্থিতি
37,আগমনে,আগমন
38,জঙ্গিরা,জঙ্গি
39,মাইক্রোপ্রসেসর,মাইক্রোপ্রসেসর
40,অতিথিসেবার,অতিথিসেবা
41,ঠাণ্ডিথাম,ঠাণ্ডি
42,আহলে,আহল
43,এলসাঈদ,এলসাঈদ
44,জর্চারনাট,জর্চার
45,কুদরেতেরও,কুদরেত
46,বৌদ্ধবিহারে,বৌদ্ধবিহার
47,আদিব্রহ্মপুত্র,আদিব্রহ্ম
48,বিবরনীতে,বিবরনী
49,শিক্ষামালায়,শিক্ষামালা
50,বেলায়ও,বেলা
51,খাতে,খাত
52,জেলবন্দি,জেল-বন্দি
53,কফিনটিও,কফিন
54,নিভেথা,নিভেথ
55,লোহিতক,লোহিতক
56,বিরক্তিকরভাবে,বিরক্ত
57,চন্দ্রচক্র,চন্দ্রচক্র
58,আর্কিটেক্টরা,আর্কিটেক্ট
59,ম্যকফারলিন,ম্যকফারলিন
60,দুর্ভাগাকে,দুর্ভাগা
61,শুকাবার,শুকাবার
62,ভেরেন্সের,ভেরেন্স
63,করেইনি,করা
64,ক্যামেরলেনু,ক্যামেরলেনু
65,বিষয়সূচিটি,বিষয়সূচি
66,বেজোসের,বেজোস
67,বিনিয়োগকারী,বিনিয়োগ
68,আইপিএল,আইপিএল
69,অবকাশযাপনে,অবকাশযাপন
70,স্টেফানিডসের,স্টেফানিড
71,ইয়েচেলিকতে,ইয়েচেলি
72,প্রভাবিত,প্রভাব
73,আমিরুল্লাহ,আমিরুল্লাহ
74,চাহিদাও,চাহিদা
75,খুঁজেও,খোঁজা
76,থিষলনীকীতে,থিষলনীকী
77,কাঁথড়ার,কাঁথড়া
78,আতিকা,আতিকা
79,ঠাকুরাণীর,ঠাকুরাণী
80,কাঁকড়াও,কাঁকড়া
81,কোনওরূপ,কোন
82,জার্নালিস্টসের,জার্নালিস্ট
83,আদ্যক্ষরটির,আদ্যক্ষর
84,ক্যারিন্থিয়ার,ক্যারিন্থিয়া
85,সন্তানকেও,সন্তান
86,টোমাশ্যাফস্কির,টোমাশ্যাফস্কি
87,হস্তক্ষেপেই,হস্তক্ষেপ
88,লাহানা,লাহানা
89,খাওয়ানোয়,খাওয়া
