,Inflected_Word,Lemma
0,বাঘা,বাঘ
1,বোয়িং,বোয়িং
2,কারিগরের,কারিগর
3,কপ,কপ
4,সামরিকবাহিনী,সামরিক
5,সীমার,সীমা
6,অগ্নি,অগ্নি
7,স্তনযুগল,স্তনযুগল
8,পরিবতির্ত,পরিবর্তন
9,লড়াকু,লড়াই
10,ছোটোবেলাতেই,ছোটোবেলা
11,পিপলস,পিপলস
12,আশমোলিয়ান,আশমোলিয়ান
13,মোড,মোড
14,জেনারেলের,জেনারেল
15,অলংকৃত,অলংকার
16,এশিয়ায়,এশিয়া
17,বাড়তি,বাড়ানো
18,কর্ডোবা,কর্ডোবা
19,গৃহধূম,গৃহধূম
20,ট্যাবের,ট্যাব
21,আছাদুজ্জামান,আছাদুজ্জামান
22,আওয়ামের,আওয়াম
23,ঘাড়টা,ঘাড়
24,সাহাবীদের,সাহাবী
25,এইধরনের,এইধরন
26,গোলের,গোল
27,সরকারিভাবে,সরকারি
28,সমর্থিত,সমর্থন
29,উর্দুও,উর্দু
30,অফে,অফ
31,ডুবোজাহাজ,ডুবোজাহাজ
32,ভূমিহীন,ভূমি
33,প্রত্যাবাসনে,প্রত্যাবাসন
34,পরীক্ষিত,পরীক্ষা
35,বিলায়েৎ,বিলায়েৎ
36,সম্প্রসারণশীল,সম্প্রসারণ
37,ভ্রাতৃত্বের,ভ্রাতৃত্ব
38,দাঁড়ালো,দাঁড়
39,স্রষ্টা,স্রষ্টা
40,ওয়াশিংটনের,ওয়াশিংটন
41,জাহাজিকরণ,জাহাজ
42,বারকা,বারকা
43,কর্মব্যস্ততা,কর্মব্যস্ত
44,বৈপ্লবিক,বিপ্লব
45,সর্বভারতীয়,সর্বভারত
46,মাছরাঙা,মাছরাঙা
47,ভিত্তিক,ভিত্তি
48,ওয়ারেন,ওয়ারেন
49,শতাংশে,শতাংশ
50,কালাম,কালাম
51,ইয়োকোহামা,ইয়োকোহামা
52,সেটাকে,সেটা
53,নির্মান,নির্মান
54,শরনার্থীর,শরনার্থী
55,ঘানাবাসী,ঘানাবাসী
56,রিমান্ডে,রিমান্ড
57,শিক্ষাপ্রতিষ্ঠান,শিক্ষাপ্রতিষ্ঠান
58,ঠিকও,ঠিক
59,ছয়জনকে,ছয়জন
60,স্টেটসম্যান,স্টেটসম্যান
61,বাটলার,বাটলার
62,আঙ্গুলে,আঙ্গুল
63,গোল্লাছুট,গোল্লাছুট
64,গোবিন্দ,গোবিন্দ
65,ক্রমোচ্চ,ক্রমোচ্চ
66,জিনিসগুলোর,জিনিস
67,ক্যাথরিন,ক্যাথরিন
68,মুয়েনস্টার,মুয়েনস্টার
69,বর্ষসেরা,বর্ষসেরা
70,ভিক্টোরিয়া,ভিক্টোরিয়া
71,সিরাজদিখান,সিরাজদিখান
72,স্বল্পলোনা,স্বল্পলোনা
73,প্রতিদ্বন্দ্বিতা,প্রতিদ্বন্দ্বি
74,গ্লাকের,গ্লাক
75,উত্সাদন,উত্সাদন
76,দুর্বৃত্তরা,দুর্বৃত্ত
77,কোডিংয়ের,কোডিং
78,লীগকে,লীগ
79,শিখার,শিখা
80,পুনঃএকত্রিত,পুনঃএকত্রিত
81,বন্ধুত্বপূর্ণ,বন্ধুত্ব
82,মণিপুরী,মণিপুর
83,ক্রিয়েটিভ,ক্রিয়েটিভ
84,কামানীর,কামানী
85,চেন্নাইয়ের,চেন্নাই
86,চলিত,চলা
87,দুধরণের,দুধরণ
88,প্রশিক্ষণার্থীদের,প্রশিক্ষণার্থী
89,মরণোত্তর,মরণোত্তর
90,কাসেমী,কাসেমী
91,ডব্লিউটি,ডব্লিউটি
92,প্রয়াস,প্রয়াস
93,অটোপ্লেট,অটোপ্লেট
94,পেইন্টিং,পেইন্টিং
95,মৃত্যুতে,মৃত্যু
96,অনুষ্ঠানের,অনুষ্ঠান
97,ইগরকে,ইগর
98,আইরিশ,আইরিশ
99,বদভ্যাস,বদভ্যাস
100,কর্তব্যপালনে,কর্তব্য
101,ওএর,ওএর
102,পন্থায়,পন্থা
103,ডম,ডম
104,ঢালা,ঢালা
105,হত্তয়া,হত্তয়া
106,এতখানি,এত
107,বস্তুগুলো,বস্তু
108,মুস্তফা,মুস্তফা
109,উরবে,উরা
110,বিপ্রদাস,বিপ্রদাস
111,উৎপাদিত,উৎপাদন
112,স্ত্রীশরীরে,স্ত্রীশরীর
113,আয়েগি,আয়েগি
114,ম্যান্ডেট,ম্যান্ডেট
115,ক্ষমাকরবেন,ক্ষমা
116,আগরতলা,আগরতলা
117,ফেডারেশনে,ফেডারেশন
118,সূচনাই,সূচনা
119,মহড়ার,মহড়া
120,প্রাপ্তির,প্রাপ্তি
121,অ্যাভিনিউতে,অ্যাভিনিউ
122,অব্যবধানকারী,অব্যবধান
123,জোড়াসাঁকোয়,জোড়াসাঁকো
124,সরোজিনী,সরোজিনী
125,ইন্ডিয়া,ইন্ডিয়া
126,এনালিটিকস,এনালিটিকস
127,সাতক্ষীরা,সাতক্ষীরা
128,মুফতি,মুফতি
129,কঙ্গোর,কঙ্গো
130,আশেপাশেই,আশপাশ
131,স্তন্য,স্তন্য
132,আমিনউদ্দিন,আমিনউদ্দিন
133,ভবিষ্য,ভবিষ্য
134,খুশীমতো,খুশী
135,অভাবী,অভাবী
136,অস্ত্রোপচারকারী,অস্ত্রোপচার
137,কোরিয়ার,কোরিয়া
138,ঘৃণার্থে,ঘৃণা
139,তক্ষুনি,তক্ষুনি
140,আমলারাও,আমলা
141,হেক্টর,হেক্টর
142,মেসেজ,মেসেজ
143,চীরতরে,চীরতর
144,জুহুতে,জুহু
145,স্বদেশ,স্বদেশ
146,বাঁচলো,বাঁচা
147,অঞ্চলেই,অঞ্চল
148,ব্যবসায়িক,ব্যবসায়িক
