,Inflected_Word,Lemma
0,অনুন্নতই,অনুন্নত
1,মামলাটি,মামলা
2,রন্ধনের,রন্ধন
3,স্টার্টআপ,স্টার্টআপ
4,অনুসন্ধানকারীদের,অনুসন্ধানকারী
5,বহিষ্কৃত,বহিষ্কার
6,ডায়লগের,ডায়লগ
7,জাতিদের,জাতি
8,তাইওয়ানকে,তাইওয়ান
9,প্রভিন্সিয়াল,প্রভিন্সিয়াল
10,অনুষ্ঠানটি,অনুষ্ঠান
11,যুক্তিপূর্ণভাবে,যুক্তিপূর্ণ
12,লোল,লোল
13,সোহেল,সোহেল
14,ক্রোনার,ক্রোনা
15,বংশাবলি,বংশবলি
16,মাদুলি,মাদুলি
17,জানাই,জানা
18,সমুদ্রতীরে,সমুদ্রতীর
19,মিটি,মিটি
20,অক্ষরগুলোকে,অক্ষর
21,থিওরী,থিওরী
22,জেনিকে,জেনি
23,ককেশাসের,ককেশাস
24,আনন্দেরই,আনন্দ
25,কানেকটিকাট,কানেকটিকাট
26,জলিলের,জলিল
27,মরিয়মকে,মরিয়ম
28,রসায়নবিদরা,রসায়নবিদ
29,প্রত্যর্পণের,প্রত্যর্পণ
30,নিওজিন,নিওজিন
31,চতুরতাপূর্ণ,চতুরতা
32,চেপ্টা,চেপ্টা
33,ঠেলাঠেলি,ঠেলাঠেলি
34,বিশ্বাসগুলোকে,বিশ্বাস
35,অমরকোষ,অমর
36,অঁচল,অঁচল
37,উন্নতর,উন্নত
38,ট্যাগ,ট্যাগ
39,বলাতে,বলা
40,পৌঁছেছিলেন,পৌঁছা
41,অখণ্ডতা,অখণ্ড
42,জেসাস,জেসাস
43,আইডাব্লিউজিপি,আইডাব্লিউজিপি
44,গুপ্তচরদের,গুপ্তচর
45,নেহাল,নেহাল
46,সঞ্চয়পত্র,সঞ্চয়পত্র
47,ক্লায়েন্টকে,ক্লায়েন্ট
48,নথনেল,নথনেল
49,জরিয়ে,জরিত
50,সুজাউদ্দীন,সুজাউদ্দীন
51,বিক্ষোভগুলি,বিক্ষোভ
52,ধনাধ্যক্ষের,ধনাধ্যক্ষ
53,ইয়েভসিয়ুকভ,ইয়েভসিয়ুক
54,মুছাইয়া,মুছা
55,ধারণাই,ধারণা
56,থীম,থীম
57,ক্ষণভঙ্গুর,ক্ষণভঙ্গ
58,নীরদচন্দ্র,নীরদচন্দ্র
59,পাহাড়সমূহ,পাহাড়
60,দেখেছিলে,দেখা
61,ভবানীপুর,ভবানীপুর
62,আসত,আসা
63,সংখ্যাবৃদ্ধির,সংখ্যাবৃদ্ধি
64,বেলজিয়ান,বেলজিয়ান
65,আইইউসিএন,আইইউসিএন
66,ট্রাভোল্টা,ট্রাভোল্টা
67,অধিষ্ঠিত,অধিষ্ঠিত
68,তৌহিদ,তৌহিদ
69,পকেট,পকেট
70,খালিকুজ্জামান,খালিকুজ্জামান
71,স্থাপত্যকলার,স্থাপত্য
72,উদাহরণযোগ্য,উদাহরণ
73,ড্র্যাগ,ড্র্যাগ
74,মিত্রদের,মিত্র
75,হাঁটিয়া,হাঁটা
76,ক্রুশীয়,ক্রুশ
77,এক্টিভিটি,এক্টিভিটি
78,অপায়,অপায়
79,মালাখির,মালাখি
80,ব্যাকিং,ব্যাকিং
81,এফডিসি,এফডিসি
82,ঠাকুরকে,ঠাকুর
83,ডোলোরেস,ডোলোরেস
84,এতেই,এ
85,রোসারিও,রোসারিও
86,উৎসাহী,উৎসাহ
87,জীবাণুদের,জীবাণু
88,চ্যাম্পিওনাতো,চ্যাম্পিওনা
89,ক্লিকের,ক্লিক
90,শোয়ার্জ,শোয়ার্জ
91,এনফিল্ড,এনফিল্ড
92,একান্তরূপে,একান্তরূপ
93,চিত্রগুলো,চিত্র
94,তাকাল,তাকানো
95,জ্ঞাতি,জ্ঞাতি
96,টেম্পলাররা,টেম্পলার
97,ইসরাইলী,ইসরাইলী
98,প্রম্পট,প্রম্পট
99,গবেষকও,গবেষক
100,শুনছেন,শোনা
101,অপশক্তির,অপশক্তি
102,উত্পাদকগুলো,উত্পাদক
103,চেম্বার্স,চেম্বার্স
104,ধরাও,ধরা
105,একদলের,একদল
106,দালের,দাল
107,প্রতিযোগীতার,প্রতিযোগীতা
108,ল্যাব,ল্যাব
109,ক্লিপটিতে,ক্লিপ
110,প্রতিযোগিতার,প্রতিযোগিতা
111,রাজস্থানে,রাজস্থান
112,খুলতেই,খোলা
113,অধস্তনতায়,অধস্তন
114,চৌকাঠে,চৌকাঠ
115,কামলা,কামলা
116,গৃহসজ্জার,গৃহসজ্জা
117,ফৌজদার,ফৌজদার
118,বুয়েটের,বুয়েট
119,গন্ধকের,গন্ধক
120,পাঠায়,পাঠানো
121,কম্পাউন্ড,কম্পাউন্ড
122,একদৃষ্টে,চোখজোড়া
123,দ্রাক্ষালতার,দ্রাক্ষালতা
124,প্রাণিজগৎ,প্রাণজগৎ
125,গালীল,গালীল
126,লোকটিকে,লোক
127,নুরিস্তান,নুরিস্তান
128,সাঁতরে,সাঁতার
129,অধ্যাদেশটি,অধ্যাদেশ
130,ভোর,ভোর
131,দৌড়োদৌড়ি,দৌড়
132,এজাতীয়,এজাতীয়
133,ধুননই,ধুনন
134,পরবর্তীদের,পরবর্তী
135,কুর্মিরা,কুর্মি
136,বিষণ্ণতায়,বিষণ্ণতা
137,নায়িকা,নায়িকা
138,আরণ্যক,আরণ্যক
139,রিশার্ড,রিশার্ড
140,ক্রীতী,ক্রীতী
141,পাত্রীই,পাত্র্রী
142,দাবিই,দাবি
143,আস্তরণও,আস্তরণ
144,সুনীল,সুনীল
145,বহুভাষিক,বহুভাষা
146,ম্যাকপয়েন্ট,ম্যাকপয়েন্ট
147,ভ্রূণের,ভ্রূণ
148,খামখেয়ালি,খামখেয়ালি
149,অ্যালোন,অ্যালোন
150,চাকায়,চাকা
151,উৎসর্গকৃত,উৎসর্গ
152,বিস্ময়বোধ,বিস্ময়
153,দৃশ্যগুলিতে,দৃশ্য
154,মহম্মদ,মহম্মদ
155,শীতকালিন,শীতকাল
156,মোরে,মোরে
157,থানা,থানা
158,চোখটা,চোখ
159,হিলটন,হিলটন
160,রুটাইল,রুটাইল
161,স্বনিয়ন্ত্রিত,স্বনিয়ন্ত্রণ
162,হেমতাবাদ,হেমতাবাদ
163,লেভিট,লেভিট
164,প্রস্তরখণ্ডের,প্রস্তরখণ্ড
165,জীবন,জীবন
166,গ্যারেজে,গ্যারেজ
167,ফিরলো,ফেরা
168,কানপুরে,কানপুর
169,জেইনকে,জেনাইন
170,জোয়েলকে,জোয়েল
171,বৎ,বৎ
172,পাড়ুকোন,পাড়ুকোন
173,অ্যাসেম্বলিতে,অ্যাসেম্বলি
174,দৌলতুন্নেসা,দৌলতুন্নেসা
175,গেল,গেল
176,ট্রেনগুলো,ট্রেন
177,এতিমকে,এতিম
178,গন্ধরাজ,গন্ধরাজ
179,সাপ্লিমেন্ট,সাপ্লিমেন্ট
180,রণধাওয়া,রণধাওয়া
181,কাজীপাড়া,কাজীপাড়া
182,লজ্জাকে,লজ্জা
183,ক্রমশঃ,ক্রমশ
184,সাহারানপুর,সাহারানপুর
185,গ্লিন্ডা,গ্লিন্ডা
186,ফিল্ডিংয়ে,ফিল্ডিং
187,জলস্তর,জলস্তর
188,এদনের,এদান
189,বৈধব্য,বৈধব্য
190,গোলাঘরে,গোলাঘর
191,গ্রেপ্তারী,গ্রেফতার
192,আঘাত,আঘাত
193,সূর্য্যি,সূর্য
194,রাইডারের,রাইডার
195,নির্মাণেরও,নির্মাণ
196,ফার্সী,ফার্সী
197,নাদি,নাদি
198,আনন্দময়ী,আনন্দময়
199,ব্রজেন্দ্রকিশোর,ব্রজেন্দ্রকিশোর
200,তৈরীতো,তৈরী
201,রিচার্ডস,রিচার্ডস
202,রপ্তানিতেই,রপ্তানি
203,ওএইচ,ওএইচ
204,একজাতীয়,একজাতীয়
205,অ্যাডমিন,অ্যাডমিন
206,দানিয়েলের,দানিয়েল
207,দৃঢ়প্রতিজ্ঞা,দৃঢ়প্রতিজ্ঞা
208,গড়ন,গড়ন
209,করেছেন,করা
210,বিকিকিনি,বিকিকিনি
211,কোডের,কোড
212,হাঙ্গেরিতে,হাঙ্গেরি
213,নাসিরউদ্দীনের,নাসিরউদ্দীন
214,ঝিলমিল,ঝিলমিল
215,জ্বালিয়েছে,পোড়ানো
216,এবল,এবল
217,এএমসি,এএমসি
218,হামাসের,হামাস
219,ম্যাককে,ম্যাক
220,স্পেকট্রামের,স্পেকট্রাম
221,ক্ষমতায়নের,ক্ষমতায়ন
222,পোশাকআশাক,পোশাকআশাক
223,দলত্যাগ,দলত্যাগ
224,কয়েকটিকে,কয়েক
225,আনন্দে,আনন্দ
226,চিরেই,চির
227,প্ল্যাটফর্মটি,প্ল্যাটফর্ম
228,কাতরধ্বনি,কাতরধ্বনি
229,কম্পট্রোলার,কম্পট্রোলা
230,ক্রাশনুইয়ার্স্ক,ক্রাশনুইয়ার্স্ক
231,মিলিশিয়ার,মিলিশিয়া
232,রিনা,রিনা
233,পণ্যও,পণ্য
234,অবলম্বনকে,অবলম্বন
235,ছোলাটা,ছোলা
236,পম্পেইয়ের,পম্পেই
237,আস্থাও,আস্থা
238,প্রাযুক্তিক,প্রাযুক্তিক
239,উপশহরে,উপশহর
240,লবণাক্ততা,লবণাক্ত
241,প্রার্থিতার,প্রার্থিতা
242,ঊনিশ,ঊনিশ
243,মেগাফোন,মেগাফোন
244,ঘটাব,ঘটা
245,রোগটি,রোগ
246,বক্সিংয়ের,বক্সিং
247,সম্ভাবনাও,সম্ভাবনা
248,স্থানীয়,স্থান
249,প্রাচীনেরা,প্রাচীন
250,পরানো,পরা
251,অগ্রজেরা,অগ্রজ
252,স্তরগুলোর,স্তর
253,যাত্রামোহন,যাত্রামোহন
254,চালকরা,চালক
255,কোপাগ্নি,কোপাগ্নি
256,ভ্যাম্পায়ার,ভ্যাম্পায়ার
