,vocab_all
0, 
1,!
2,""""
3,#
4,$
5,%
6,&
7,'
8,(
9,)
10,*
11,+
12,","
13,-
14,.
15,/
16,0
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,8
25,9
26,:
27,;
28,<
29,=
30,>
31,?
32,@
33,A
34,B
35,C
36,D
37,E
38,F
39,G
40,H
41,I
42,J
43,K
44,L
45,M
46,N
47,O
48,P
49,Q
50,R
51,S
52,T
53,U
54,V
55,W
56,X
57,Z
58,[
59,\
60,]
61,^
62,_
63,`
64,a
65,b
66,c
67,d
68,e
69,f
70,g
71,h
72,i
73,j
74,k
75,l
76,m
77,n
78,o
79,p
80,q
81,r
82,s
83,t
84,u
85,v
86,w
87,x
88,y
89,z
90,{
91,|
92,}
93,~
94,¡
95,¢
96,£
97,¥
98,§
99,¨
100,°
101,±
102,µ
103,¶
104,·
105,º
106,¼
107,½
108,¿
109,Æ
110,×
111,ß
112,æ
113,ç
114,ð
115,÷
116,þ
117,ć
118,Č
119,ŋ
120,ş
121,ž
122,Ə
123,ƒ
124,Ɣ
125,ǂ
126,ɑ
127,ɒ
128,ɔ
129,ə
130,ɛ
131,ɡ
132,ɣ
133,ɤ
134,ɪ
135,ɯ
136,ɹ
137,ɾ
138,ʁ
139,ʃ
140,ʊ
141,ʌ
142,ʏ
143,ʒ
144,ʔ
145,ʰ
146,ʶ
147,ʷ
148,ʹ
149,ʺ
150,ʻ
151,ʼ
152,ʾ
153,ʿ
154,ˈ
155,ˌ
156,ː
157,˚
158,ˠ
159,́
160,̃
161,̈
162,̣
163,͈
164,͵
165,Ό
166,Α
167,Β
168,Γ
169,Δ
170,Ε
171,Η
172,Θ
173,Ι
174,Κ
175,Λ
176,Μ
177,Ν
178,Ξ
179,Ο
180,Π
181,Ρ
182,Σ
183,Τ
184,Υ
185,Φ
186,Χ
187,Ω
188,ά
189,έ
190,ή
191,ί
192,α
193,β
194,γ
195,δ
196,ε
197,ζ
198,η
199,θ
200,ι
201,κ
202,λ
203,μ
204,ν
205,ξ
206,ο
207,π
208,ρ
209,ς
210,σ
211,τ
212,υ
213,φ
214,χ
215,ψ
216,ω
217,ϊ
218,ϋ
219,ό
220,ύ
221,ώ
222,ϑ
223,ϕ
224,ϖ
225,ϰ
226,ϱ
227,Ϻ
228,Ё
229,Є
230,Ї
231,Ј
232,А
233,Б
234,В
235,Г
236,Д
237,Е
238,Ж
239,З
240,И
241,К
242,Л
243,М
244,Н
245,О
246,П
247,Р
248,С
249,Т
250,У
251,Ф
252,Х
253,Ц
254,Ч
255,Ш
256,Э
257,Ю
258,Я
259,а
260,б
261,в
262,г
263,д
264,е
265,ж
266,з
267,и
268,й
269,к
270,л
271,м
272,н
273,о
274,п
275,р
276,с
277,т
278,у
279,ф
280,х
281,ц
282,ч
283,ш
284,щ
285,ъ
286,ы
287,ь
288,э
