,Inflected_Word,Lemma
0,অংকনটি,অংকন
1,অংকনরীতিরও,অংকনরীতি
2,অংশগহণ,অংশগ্রহণ
3,অংশবিশেষ,অংশ
4,অংশিদারিত্ব,অংশিদার
5,অংশী,অংশ
6,অংশীদারীতে,অংশ
7,অংশীদারেরা,অংশীদার
8,অই,অই
9,অকপটভাবে,অকপট
10,অকাট্য,অকাট্য
11,অকীর্তি,অকীর্তি
12,অকৃষি,অকৃষি
13,অক্টাভিও,অক্টাভিও
14,অক্টোবর,অক্টোবর
15,অক্টোবরকে,অক্টোবর
16,অক্টোভিয়াস,অক্টোভিয়াস
17,অক্লান্তি,অক্লান্তি
18,অক্ষচুক্তিতে,অক্ষ
19,অক্ষরমালাটি,অক্ষর
20,অক্ষশক্তি,অক্ষ
21,অক্ষশক্তিই,অক্ষ
22,অক্ষশক্তির,অক্ষ
23,অক্ষশক্তিরা,অক্ষ
24,অক্ষে,অক্ষ
25,অক্ষের,অক্ষ
26,অক্ষয়কুমার,অক্ষয়কুমার
27,অক্সফোর্ডের,অক্সফোর্ড
28,অক্সাইড,অক্সাইড
29,অক্সিজেন,অক্সিজেন
30,অক্সিজেনের,অক্সিজেন
31,অক্সিটোসিন,অক্সিটোসিন
32,অখন্ড,অখন্ড
33,অখন্ডতা,অখন্ড
34,অখন্ডতার,অখন্ড
35,অগস্ট,অগস্ট
36,অগানে,অগান
37,অগাস্টা,অগাস্টা
38,অগাস্টাসের,অগাস্টাস
39,অগাস্টিন,অগাস্টিন
40,অগোপনীয়,অগোপন
41,অগ্নিউপাসক,অগ্নিউপাসক
42,অগ্নিকাণ্ডে,অগ্নিকান্ড
43,অগ্নিকাণ্ডের,অগ্নি
44,অগ্নিবিস্ফোরণ,অগ্নি
45,অগ্নিসংযোগ,অগ্নিসংযোগ
46,অগ্রগতির,অগ্রগতি
47,অগ্রগামীর,অগ্রগমন
48,অগ্রণী,অগ্রণী
49,অগ্রযাত্রা,অগ্রযাত্রা
50,অগ্রাধিকারের,অগ্রাধিকার
51,অগ্রে,অগ্র
52,অঙ্কণ,অঙ্কণ
53,অঙ্কিত,অঙ্কিত
54,অঙ্গচালনার,অঙ্গচালনা
55,অঙ্গনের,অঙ্গন
56,অঙ্গব্যবচ্ছেদ,অঙ্গব্যবচ্ছেদ
57,অঙ্গরাজ্য,অঙ্গরাজ্য
58,অঙ্গরাজ্যের,অঙ্গরাজ্য
59,অঙ্গসংস্থানবিদ্যা,অঙ্গসংস্থান
60,অঙ্গাঙ্গীভাবে,অঙ্গাঙ্গী
61,অঙ্গীকার,অঙ্গীকার
62,অঙ্গীকারের,অঙ্গীকার
63,অচঁচল,অচঁচল
64,অচলঅবস্থা,অচল
65,অচলায়তন,অচলায়তন
66,অচৈতন্য,অচৈতন্য
67,অছি,অছি
68,অজা,অজা
69,অজাচার,অজাচার
70,অজাচারমূলক,অজাচার
71,অজানা,অজানা
72,অজানার,অজানা
73,অজান্তে,অজান্ত
74,অজিতেন্দ্রিয়,অজিতেন্দ্রিয়
75,অজুরদার,অজুরদার
76,অজুহাতে,অজুহাত
77,অজ্ঞতা,অজ্ঞ
78,অজ্ঞাতনামা,অজ্ঞাত
79,অজ্ঞানতা,অজ্ঞান
80,অঞ্চরের,অঞ্চর
81,অঞ্চলগুলির,অঞ্চল
82,অঞ্চলগুলো,অঞ্চল
83,অঞ্চলগুলোতে,অঞ্চল
84,অঞ্চলগুলোর,অঞ্চল
85,অঞ্চলটি,অঞ্চল
86,অঞ্চলসমূহ,অঞ্চল
87,অঞ্চলেই,অঞ্চল
88,অঞ্চলেও,অঞ্চল
89,অঞ্জন,অঞ্জন
90,অটনিতে,অটনি
91,অটিজম,অটিজম
92,অটো,অটো
93,অটোগ্রাফ,অটোগ্রাফ
94,অটোপ্লেট,অটোপ্লেট
95,অটোম্যান,অটোম্য
96,অডিও,অডিও
97,অডিওক্যাসেট,অডিওক্যাসেট
98,অডিওবই,অডিওবই
99,অডিওভিজুয়াল,অডিও
100,অণুজীব,অণুজীব
101,অণুতরঙ্গ,অণুতরঙ্গ
102,অণ্ডকোষ,অণ্ডকোষ
103,অতঃপর,অতঃপর
104,অতর্কিতে,অতর্ক
105,অতিক্রমের,অতিক্রম
106,অতিথি,অতিথি
107,অতিথিকে,অতিথি
108,অতিথিদের,অতিথি
109,অতিন্দ্রীয়বাদী,অতিন্দ্রীয়বাদী
110,অতিপ্রাচুর্যের,অতিপ্রাচুর্য
111,অতিবোঝাই,অতিবোঝাই
112,অতিভুজ,অতিভুজ
113,অতিভোজী,অতিভোজী
114,অতিমানব,অতিমান
115,অতিষ্ঠ,অতিষ্ঠ
116,অতীতে,অতীত
117,অত্যধিক,অত্যধিক
118,অত্যাধুনিক,অত্যাধুনিক
119,অত্যাশ্চর্য,অত্যাশ্চর্য
120,অত্র,অত্র
121,অথরিটি,অথরিটি
122,অথরিটির,অথরিটি
123,অথিতি,অথিতি
124,অথেন্টিকেশন,অথেন্টিকেশন
125,অদম্য,অদম্য
126,অদূরদর্শিতার,অদূরদর্শি
127,অদ্বিতীয়,অদ্বিতীয়
128,অদ্ভুতভাবে,অদ্ভুত
129,অদ্যাবধি,অদ্যাবধি
130,অধঃস্তন,অধঃস্তন
131,অধিউপাত্ত,অধিউপাত্ত
132,অধিকল্প,অধিকল্প
133,অধিকাংশ,অধিকাংশ
134,অধিকাংশই,অধিকাংশ
135,অধিকাংশকে,অধিকাংশ
136,অধিকাংশের,অধিকাংশ
137,অধিকারপ্রাপ্ত,অধিকার
138,অধিকারভুক্ত,অধিকার
139,অধিকারী,অধিকার
140,অধিকারের,অধিকার
141,অধিদপ্তর,অধিদপ্তর
142,অধিদপ্তরের,অধিদপ্তর
143,অধিনস্ত,অধীন
144,অধিনে,অধিন
145,অধিবাসীগণ,অধিবাসী
146,অধিবৃত্তীয়,অধিবৃত্ত
147,অধিবেশনে,অধিবেশন
148,অধিবেশনের,অধিবেশন
149,অধিভুক্ত,অধিভুক্ত
150,অধিরাজ্য,অধিরাজ্য
