,Inflected_Word,Lemma
0,খেচরদের,খেচর
1,ডিজাইনারদের,ডিজাইন
2,হরিণনেত্রের,হরিণনেত্র
3,চালক,চালক
4,জামিন,জামিন
5,পিতাদের,পিতা
6,মাঝারি,মাঝারি
7,টিভি,টিভি
8,ধরেছেন,ধরা
9,চিন্তাও,চিন্তা
10,ক্যাম্পের,ক্যাম্প
11,আল্লাহও,আল্লাহ
12,কস্তুরীর,কস্তুরী
13,নং,নং
14,নিশাচরসহ,নিশাচর
15,ডিসেম্বর,ডিসেম্বর
16,কালীপূজা,কালীপূজা
17,বেল্ট,বেল্ট
18,চূড়াটিই,চূড়া
19,সমাজবিজ্ঞানের,সমাজবিজ্ঞান
20,যৌথ,যৌথ
21,উড়োজাহাজ,উড়োজাহাজ
22,অস্বীকৃতি,অস্বীকৃত
23,আড়ষ্টভাবে,আড়ষ্ট
24,দেখলেই,দেখা
25,মেধাবীটা,মেধাবী
26,করেছি,করা
27,আবর্জন,আবর্জন
28,আপাতদৃষ্টির,আপাত
29,প্রাধান্য,প্রধান
30,অপ্রিয়,অপ্রিয়
31,খবরটি,খবর
32,খটাশটা,খাটাশ
33,সাজছ,সাজ
34,শান্ত,শান্ত
35,কাটছিলুম,কাটা
36,সিদ্ধান্তগুলো,সিদ্ধান্ত
37,সবুজ,সবুজ
38,অধিনায়কটি,অধিনায়ক
39,জরিমানা,জরিমানা
40,লোপাটাউপ,লোপাটাউপ
41,আইডেন,আইডেন
42,উদ্ভাসনকারী,উদ্ভাস
43,গতকালের,গতকাল
44,রদবদলগুলো,রদবদল
45,ইয়োর,ইয়োর
46,পুলকে,পুলক
47,আরোহণকে,আরোহণ
48,খুঁটিগুলো,খুঁটি
49,তথ্যপ্রযুক্তি,তথ্যপ্রযুক্তি
50,দেবেন্দ্রনাথ,দেবেন্দ্রনাথ
51,খুবই,খুব
52,দাঁড়াস,দাঁড়া
53,অচলা,অচলা
54,ক্রুইজার,ক্রুইজার
55,সড়কপথে,সড়কপথ
56,শ্লেসভিগ,শ্লেসভিগ
57,কাটাপোনা,কাটা
58,দুটির,দুই
59,লিয়েন্ডার,লিয়েন্ডা
60,স্বামীগৃহে,স্বামীগৃহ
61,পৃষ্ঠপোষকতা,পৃষ্ঠপোষক
62,বিপিনকিশোর,বিপিনকিশোর
63,পিছনেও,পিছনে
64,করাইতে,করা
65,অন্তঃপুরপ্রাসাদের,অন্তঃপুরপ্রাসাদ
66,ওমরাহের,ওমরাহ
67,ব্যয়কে,ব্যয়
68,আত্মপ্রতিকৃতিও,আত্মপ্রতিকৃতি
69,বিরোধিতার,বিরোধ
70,গাজর,গাজর
71,হিসাববিজ্ঞানের,হিসাববিজ্ঞান
72,যথাযত,যথাযত
73,পয়লা,পয়লা
74,শোয়া,শোয়া
75,অপরিচ্ছন্নতা,অপরিচ্ছন্ন
76,দেননি,দেওয়া
77,বদ্ধমুষ্টি,বদ্ধমুষ্টি
78,শুনে,শোনা
79,এসব,এসব
80,গালগল্পও,গালগল্প
81,প্রোটিন,প্রোটিন
82,আবদারও,আবদার
83,মৌসুমে,মৌসুম
84,ক্যাথলিন,ক্যাথলিন
85,পারিলেন,পারা
86,ওকুমা,ওকুমা
87,আদেশ,আদেশ
88,ডঃ,ড
89,মাখিল,মাখা
90,বিয়ার,বিয়ার
91,পালনে,পালন
92,মন্দার,মন্দার
93,খিলাফকে,খিলাফ
94,সৌহার্দ্যপূর্ণ,সৌহার্দ্য
95,অপ্রস্তুতি,অপ্রস্তুত
96,অনুসন্ধানও,অনুসন্ধান
97,বিশিষ্ট,বিশিষ্ট
98,বল,বলা
99,নিপীড়ন,নিপীড়ন
100,আল,আল
101,বর্ষব্যাপী,বর্ষব্যাপী
102,মাদ্রাসা,মাদ্রাসা
103,সিগারেট,সিগারেট
104,নয়ন,নয়ন
105,ফোড়ন,ফোড়ন
106,বৃত্তের,বৃত্ত
107,জানাচ্ছি,জানা
108,অনীহা,অনীহা
109,শ্রমশক্তির,শ্রমশক্তি
110,নিঃশব্দপদে,নিঃশব্দপদ
111,রমজান,রমজান
112,বিবিসিতে,বিবিসি
113,অপ্রাপ্তিতে,অপ্রাপ্তি
114,আত্মশক্তিরই,আত্মশক্তি
115,অর্ধাঙ্গে,অর্ধাঙ্গ
116,অবগুণ্ঠনে,অবগুণ্ঠন
117,পুনঃএকত্রীকরণের,পুনঃএকত্রীকরণ
118,সেনাপ্রধানের,সেনা
119,ইতো,ইতো
120,মানিয়েও,মানানো
121,গুনগুনানিও,গুনগুন
122,টিপ,টিপ
123,অভিযোগগুলি,অভিযোগ
124,পেরু,পেরু
125,উদাহরণ,উদাহরণ
126,সরোদিয়া,সরোদিয়া
127,অত্যাচারও,অত্যাচার
128,উইকিজুনিয়র,উইকি
129,অগ্নিকাণ্ডের,অগ্নি
130,মালিকেরা,মালিক
131,পেজে,পেজ
132,অগ্রিমনামা,অগ্রিম
133,অংশীদারিতে,অংশীদার
134,ফোর্সে,ফোর্স
135,মাতাকে,মাতা
136,স্পর্ধা,স্পর্ধা
137,হেবজ্রসাধন,হেবজ্রসাধন
138,পেরোতে,পার
139,বর্ধিত,বর্ধিত
140,কামানখোলা,কামান
141,ক্ষুধাতুর,ক্ষুধা
142,কারিশমা,কারিশমা
143,খুকুরে,খুকু
144,যুগান্ত,যুগ
145,আবেদনই,আবেদন
146,হলোঃ,হওয়া
147,অবদানের,অবদান
148,খোসাতে,খোসা
149,যাহারা,যে
150,কাছে,কাছে
151,ল্যাম্ব্,ল্যাম্ব্
152,অকার্যকারিতায়,অকার্য
153,আশাবাদীরা,আশাবাদী
154,নীহারিকা,নীহারিকা
155,ভরের,ভর
156,বল্লভভাই,বল্লভভাই
157,চ্যালেঞ্জ,চ্যালেঞ্জ
158,দুষ্কর্মটি,দুষ্কর্ম
159,অপরিহার্যতার,অপরিহার্য
160,পত্রসাহিত্য,পত্রসাহিত্য
161,রবীন্দ্রজীবনের,রবীন্দ্রজীবন
162,কামড়াল,কামড়
163,অপূর্বমুহূর্তের,অপূর্ব
164,বলাইত,বলা
165,জালিটি,জালি
166,দুইসের,দুইসের
167,হাঁস,হাঁস
168,অববাহিকা,অববাহিকা
169,তানভীর,তানভীর
170,মুজিবর্ষ,মুজিবর্ষ
171,নেশনস,নেশনস
172,আদালতকে,আদালত
173,গরিষ্ঠতার,গরিষ্ঠ
174,নরকী,নরক
175,ঠেকেছে,ঠেকানো
176,জনতাদের,জনতা
177,আকাশচুম্বী,আকাশ
178,মেকানিক্স,মেকানিক্স
179,কামরকে,কামার
180,বধির,বধির
181,আবতাহি,আবতাহি
182,সফটওয়্যার,সফসওয়্যার
183,বাংলাপিডিয়া,বাংলাপিডিয়া
184,লক্ষনীয়,লক্ষ
185,অবিশ্বস্ত,অবিশ্বস্ত
186,বোনেরা,বোন
187,আমটি,আম
188,আবাদই,আবাদ
189,পাঞ্জাবী,পাঞ্জাবী
190,সহযোগিতাকে,সহযোগ
191,হানা,হানা
192,অংশগ্রহণছাড়া,অংশ
193,একজনের,একজন
194,চেক,চেক
195,যষ্টিগুলো,যষ্টি
196,নিতে,নেওয়া
197,সংক্রমণ,সংক্রমণ
198,কয়লাই,কয়লা
199,রাউন্ডে,রাউন্ড
200,কুমোরটুলি,কুমোরটুলি
201,উট,উট
202,এক্সিম,এক্সিম
203,চৌধুরী,চৌধুরী
204,যাপন,যাপন
205,পুরনোরা,পুরনো
206,বইয়েরও,বই
207,যৌবনকাল,যৌবন
208,রেন্ট,রেন্ট
209,উন্নতির,উন্নতি
210,যৌবনভার,যৌবন
211,গেছেন,যাওয়া
212,খামারে,খামার
213,জাফরান,জাফরান
214,মইটি,মই
215,আড়ম্বরহীন,আড়ম্বর
216,দলিল,দলিল
217,প্রতিষ্ঠানটি,প্রতিষ্ঠান
218,ঝলসাতে,ঝলসা
219,জলসিঞ্চন,জলসিঞ্চন
220,ছক্কাপঞ্জার,ছক্কাপঞ্জা
221,চাকুতে,চাকু
222,আফগানিস্তানে,আফগানিস্তান
223,শাবল,শাবল
224,পুরললনাগণ,পুরললনা
225,অন্তিমদশা,অন্তিম
226,অমলরূপী,অমল
227,মাপকাঠি,মাপকাঠি
228,ছবিটা,ছবি
229,দস্যুসংগীতের,দস্যুসংগীত
230,কমেছে,কম
231,বর্জিত,বর্জন
232,কানাডায়,কানাডা
233,আভ্যন্তরিণ,আভ্যন্তরিণ
234,রাজ্যও,রাজ্য
235,শ্রেণিবিন্যাসের,শ্রেণিবিন্যাস
236,কারাদণ্ডে,কারাদণ্ড
237,বৃদ্ধিও,বৃদ্ধি
238,কহিলাম,কওয়া
239,ঘোড়সওয়ারও,ঘোড়সওয়ার
240,গ্রোজনিতে,গ্রোজন
241,জাতিচ্যুত,জাতিচ্যুত
242,সুখবর,সুখবর
243,সুপবিত্র,সুপবিত্র
244,শিক্ষকরাই,শিক্ষক
245,আর্চি,আর্চি
246,তায়,তা
247,ঈদটা,ঈদ
248,ল্যাংচা,ল্যাংচা
249,চিরতাটা,চিরতা
250,পোশাকত,পোশাক
251,কাচাইলে,কাচা
252,নিলেন,নেওয়া
253,মৃত্যুরূপ,মৃত্যু
254,বাজপেয়ী,বাজপ
