,Inflected_Word,Lemma
0,কম্প্রেশন,কম্প্রেশন
1,ভোটাধিকার,ভোটাধিকার
2,ভারা,ভারা
3,সন্ধির,সন্ধি
4,বসিয়েছিলেন,বসা
5,আসুন,আসা
6,সানসি,সানসি
7,উল্ফ,উল্ফ
8,রাষ্ট্রবিপ্লব,রাষ্ট্র
9,স্টিমার,স্টিমার
10,মারকুইসে,মারকুইস
11,তৎসঙ্গে,তৎসঙ্গ
12,প্রতিবন্ধকরূপ,প্রতিবন্ধক
13,অবস্থাটি,অবস্থা
14,মঞ্চস্থ,মঞ্চ
15,রেনাল,রেনাল
16,টুর্নামেন্ট,টুর্নামেন্ট
17,নেটওয়ার্ক,নেটওয়ার্ক
18,পোগো,পোগো
19,উনিশ,উনিশ
20,তানসেন,তানসেন
21,সালফেট,সালফেট
22,রাজস্ব,রাজস্ব
23,বিরূদ্ধে,বিরূদ্ধে
24,স্পর্শনীয়,স্পর্শ
25,কর্পোরেশনের,কর্পোরেশন
26,এসকল,এসকল
27,ভট্টরাঈকে,ভট্টরাঈ
28,জয়ধর,জয়ধর
29,ভ্রমণকে,ভ্রমণ
30,উইন্টারমেয়ার,উইন্টারমেয়ার
31,লেখকদের,লেখক
32,সানসুই,সানসুই
33,খ্রীষ্টধর্ম,খ্রীষ্টধর্ম
34,ব্রিটানিয়া,ব্রিটানিয়া
35,পর্যবেক্ষণকৃত,পর্যবেক্ষণ
36,মশাল,মশাল
37,আইভরি,আইভরি
38,বিমানবন্দরের,বিমানবন্দর
39,সন্ত্রাসী,সন্ত্রাসী
40,বিধিমালা,বিধিমালা
41,আলটিমেটাম,আলটিমেটাম
42,পারমাণবিক,পারমাণবিক
43,পৌরসংস্থায়,পৌরসংস্থা
44,আইসোটোপসমূহ,আইসোটোপ
45,দ্বীপসমূহে,দ্বীপ
46,সুর্তি,সুর্তি
47,গজারিয়া,গজারিয়া
48,ধার্ম্মিকগণের,ধর্ম
49,প্রত্যক্ষভাবে,প্রত্যক্ষ
50,ইরশাদ,ইরশাদ
51,গোপালগঞ্জ,গোপালগঞ্জ
52,অগ্নিকাণ্ডে,অগ্নিকান্ড
53,নিমজ্জিত,নিমজ্জিত
54,বাইবেলকে,বাইবেল
55,বাস্তবায়ন,বাস্তবায়ন
56,যিরূশালেমের,যিরূশালেম
57,বেকারত্বের,বেকার
58,অননুমোদিত,অননুমোদন
59,প্রেজার,প্রেজার
60,যাকোব,যাকোব
61,ব্যাসে,ব্যাস
62,পুরস্কারদায়ক,পুরস্কার
63,স্টেক,স্টেক
64,ক্রেতার,ক্রেতা
65,তাত্পর্যপূর্ণ,তাত্পর্য
66,হত্তয়া,হত্তয়া
67,মিয়ানামারে,মিয়ানামার
68,শতাধিক,শতাধিক
69,মেইল,মেইল
70,হিন্দুরা,হিন্দু
71,প্রবৃদ্ধি,প্রবৃদ্ধি
72,পাষাণ,পাষাণ
73,চঁচলতা,চঁচলতা
74,সম্পর্ককে,সম্পর্ক
75,মেডিক,মেডিক
76,স্থাপনার,স্থাপনা
77,নিয়ন্ত্রণমূলক,নিয়ন্ত্রণ
78,প্রোটোকল,প্রোটোকল
79,বিশেষীকরণ,বিশেষ
80,ব্রাসেলস,ব্রাসেলস
81,প্রকাশক,প্রকাশক
82,নগরীর,নগরী
83,প্যালেসেস,প্যালেসেস
84,বোরো,বোরো
85,স্নায়ু,স্নায়ু
86,অগ্রগামীর,অগ্রগমন
87,নিবন্ধটি,নিবন্ধ
88,লিথোগ্রাফি,লিথোগ্রাফি
89,বাংলা,বাংলা
90,সংযোগস্থলে,সংযোগ
91,ক্রিকেটের,ক্রিকেট
92,জন্মলাভ,জন্ম
93,মায়া,মায়া
94,কথাবার্তার,কথা
95,বিয়োগান্তক,বিয়োগান্তক
96,স্তরের,স্তর
97,পরাহত,পরাহত
98,ত্রিকোণ,ত্রিকোণ
99,পরিদর্শকদের,পরিদর্শক
100,প্রিয়াঙ্কা,প্রিয়াঙ্কা
101,চুক্তিতে,চুক্তি
102,কর্মগুলোকে,কর্ম
103,সংঘবদ্ধ,সংঘবদ্ধ
104,বিশ্বসম্প্রদায়ভুক্ত,বিশ্বসম্প্রদায়
105,মন্ডল,মন্ডল
106,নুনআরাবিয়াঃ,নুনআরাবিয়া
107,পটকা,পটকা
108,প্রথার,প্রথা
109,বছরগুলিতে,বছর
110,আরেকটি,আরেক
111,সম্প্রসারণকে,সম্প্রসারণ
112,কমিশনারকে,কমিশনার
113,অঞ্চলগুলো,অঞ্চল
114,হেফাজতকারী,হেফাজত
115,ইন্টারন্যাশনালে,ইন্টারন্যাশনাল
116,সোমবার,সোমবার
117,বিম্,বিম্
118,নিয়ন্ত্রক,নিয়ন্ত্রক
119,অক্ষের,অক্ষ
120,সাবার্বান,সাবার্বান
121,বাঁচাবো,বাঁচা
122,ওয়ার্কস্টেশন,ওয়ার্কস্টেশন
123,বিদ্যালয়গুলি,বিদ্যালয়
124,গান্ধীবাদী,গান্ধীবাদী
125,নিবন্ধ,নিবন্ধ
126,হারাচ্ছে,হারানো
127,সিস্টেম্,সিস্টেম
128,গাছগাছালি,গাছ
129,ডোবানো,ডোবানো
130,আশ্বস্ত,আশ্বস্ত
131,সীমন্তবর্তী,সীমন্তবর্তী
132,পূর্ণবেগ,পূর্ণবেগ
133,প্রকল্পটি,প্রকল্প
134,ইউনিসেফও,ইউনিসেফ
135,চিত্রকলা,চিত্রকলা
136,মেগাহার্টজ,মেগাহার্টজ
137,এডভার্ড,এডভার্ড
138,রফি,রফি
139,কেমনিট্স,কেমনিট্স
140,দ্রুতসম্পন্ন,দ্রুতসম্পন্ন
141,দয়াবান্,দয়াবান্
142,ফোটনের,ফোটন
143,জাসদ,জাসদ
144,পুণরায়,পুণরায়
145,জরটুডে,জরটুড
146,ফেল,ফেল
147,প্রতিপন্নতা,প্রতিপন্ন
148,কোটা,কোটা
149,প্রাণকেন্দ্র,প্রাণকেন্দ্র
150,কবীর,কবীর
151,নবজাতটিকে,নবজাতক
152,জনপ্রশাসন,জনপ্রশাসন
153,বেনাপোল,বেনাপোল
154,জানিয়েছিলেন,জানানো
155,মুখস্তসর্বস্ব,মুখস্তসর্বস্ব
156,পরিষেবাও,পরিষেবা
157,ইদানিং,ইদানিং
158,আমন্ত্রণপত্রে,আমন্ত্রণ
159,কৌশলে,কৌশল
160,নাগাল,নাগাল
161,আইনবিজ্ঞান,আইনবিজ্ঞান
162,বৈচিত্র্যের,বৈচিত্র্য
163,তুলসী,তুলসী
164,পিছনে,পিছন
165,শতাংশের,শতাংশ
166,হোমপেইজ,হোমপেইজ
167,বাইবেলের,বাইবেল
168,ঠকাবার,ঠকা
169,বধ,বধ
170,দালালপুর,দালালপুর
171,বিনাশকারী,বিনাশ
172,আল্পনা,আল্পনা
173,রূপুর,রূপুর
174,ওকুরাতে,ওকুরাত
175,স্ফীতির,স্ফীতি
176,বাড়াবাড়ি,বাড়াবাড়ি
177,প্রাইস,প্রাইস
178,মুন্না,মুন্না
179,ব্যান্ডের,ব্যান্ড
180,পৌঁছাতে,পৌঁছা
181,ফররুখ,ফররুখ
182,মতিউর,মতিউর
183,ককেশাস,ককেশাস
184,সহশিক্ষামূলক,সহশিক্ষা
185,বলুন,বলা
186,কোসাইন,কোসাইন
187,নেভায়,নেভানো
188,সমরেশ,সমরেশ
189,ব্লগিং,ব্লগিং
190,সংজ্ঞায়িত,সংজ্ঞা
