,file_name,transcripts
0,train_habiganj (1).wav,আইলাম তোমরার সাতে মাতবার লাইগা বন্দ খর সুফিয়া ছিনছ না মতুইরার মার নাম ওইত্তো ও মতুইরার মার নাম সুফিয়া হু দুরু স্টাইলের সাতে ডাখার না আমি তো খালি সুফিয়া সুফিয়া আফারেই ছিনি রাখিছ বটলারে
1,train_habiganj (2).wav,না এরা দিতো না এরা হুজুর মানুষ কেরে দিতো না তেমন কিছু না তুমি কিতা খরো না খরো জামাইর বাড়িত বাফের বাড়িত ফোলা লইয়া কেমনে সময় খাডাও ইত্তোই আরকি জামাইর বাড়িত কিভাবে স্বাধীনতা জামাইর বাড়িত সব খাজ খরন লাগে সংসার সামলানি
2,train_habiganj (3).wav,ছেলে সামলানি লাগে তে ফুলা কিতা অখনোই সামলানি লাগে নানি তে অখনওত্তোই সামলানি লাগে না এরে সামালন লাগে না দেখা শুনা খরন লাগে না তে তুমি যেভাবে খইতাছো খও জামাইর বাড়িত গেলে স্বাধীনতা তাখে না ফুলা সামলানি লাগে বুচ্ছি ইখানোত্তো
3,train_habiganj (4).wav,ইখানো তো মনো খর খাজ অন্য খাজ তো খরন লাগে না দর রান্না বাড়া কুছতা খরা লাগে না খালি এরে দেখলেই ওয় বা আম্মা এরা সময়ে এরে দেখে আর ইখানো তো ফুরাডা ফুরাডা কিতা খরো ফুরাডা খরন লাগে এরেও দেখন লাগে রান্না বারাও খরন লাগে সব কাজ খাম খরন লাগে
4,train_habiganj (5).wav,বাফের বাইত আইলে রিল্যাক্স যেবালা ইচ্ছা ইবালা ঘুম তিকা উডো তে তুমিদি জামাইর বাড়িত গেলে আরও খুশি অও হুনছি কেডা খইছেবে সবাইওত্তই খয় জামাইর বাড়িত গিয়া খতো খুশি খতো আরাম কুনু খাজ কাম নাই
5,train_habiganj (6).wav,বাসার মদ্যে আরামে তাখলেও বাল্লাগে না একলা একলা কেরে ইখানের মানুষের সাতে ফরিছয় নাইনি আছে ওত্তোই এরফরে নিজের আত্মীয় স্বজন নিজের কিতা ছাড়া বালা লাগে না আর সময় মাতলে আমার অশান্তি লাগে
6,train_habiganj (7).wav,এরার মতো মাত ফারোনি না বুঝি টিকই এরার খতা তোমার ফোলার নাম কিতা কেম্নে রাখছো বিয়া টিয়া কেম্নে খরছো বিয়া যে খত্তো মজা খালি খাওন আর খাওন
7,train_habiganj (8).wav,ওইডানু আমি কল দিছিলাম বিয়ার আগে অখন দিখি নাম্বার আরাইলিছি তে নাম্বারটা আবার নে বিয়ার আগে যে বাটফারি খরছিলাম হুনছিলা নাম্বার নে ফোন দে নিয়া
8,train_habiganj (9).wav,আমার নাম্বার কী আড়াইলাইছে তোর নাম্বার মনয় নাই ওই সিম নষ্ট ওই গেছেগা তাইলে বালোইছে আরেকবার ফোন দিয়া একটা কইমুনে আবার একটা কিতা খরতারবে চেটিং খরতারবে ছিটিং এরা টেখা উডায় না কিস্তি দেয় না ফতি মাসে মাসে
9,train_habiganj (10).wav,এর আব্বুর নামেই নিছে আফনের তো ই মাসের কিস্তি দেওয়া অইছে না খ দেওয়া অইছে না আর মাসের দশ তারিখ দেয় কিস্তি অখন খইলে বিশ্বাসও খরতো না মিটুর মারে জিগাইছি তোমর কোন জালের সাতে বেশি খাইজ্জা কোন জালের সাতে বেশি মিল
10,train_habiganj (11).wav,নতুন জালের তুমি তো ইহানো তাখোই না তোমর মিল ফইরা তারফরও আয় দর যত দিনওই তাখি এরা আমার সাতে জিদ কইরা তাখে এর লাইগা আমি আর এম্নে টিকই যতটুকু ফারি এরার সাতে অহন তুমি নু বড়লোক বারে তাখো
11,train_habiganj (12).wav,এরা মনে খরে বড়লোক মানুষ আইছে আমার খাম ওম খইরা খাওয়াইয়া দিয়া যাক বুচ্ছত না এরা তো মনে খরে বেডি ইহানো খতো আরামে তাখে ওম এরা তো ইত্তোই মনে খরে
12,train_habiganj (13).wav,খও ফোলার নাম কিতা খইতায় না তে আমার ফোলার নাম আবু সায়ীদ আদনান বাড়িত গিয়া ফতমে কিতা খরছো খওছান গিয়া আর বাল্লাগে না
13,train_habiganj (14).wav,বাল্লাগতো না মারা মারির সময়টার খতা খও একটু খও দিয়া তুমার জামাইয়ে কিতা খইছে মারা মারি লইয়া খও
14,train_habiganj (15).wav,তে তোমার বিয়ার আগে কিরখম আছিলা বিয়ার ফরে কিরখম অ্যাহহে অ্যা কী ফ্রশ্ন খরে বুচ্ছনি যা একটা ফ্রশ্ন কিতা খইতামবে দুরু দুরু স্বাধীনতা আছিলো
15,train_habiganj (16).wav,মা বাফের খতা কলেজো যাই আইচ্ছা যাওগা ওঙ্কা যদি খলেজো যাই অবিগঞ্জ যাই জামাইরে খও শ্বশুর শাশুড়িরে খও আইতে গেলে জিগাও যাইতে গেলে জিগাও বাফের বাইত তাকলে তো কুনু সমস্যা নাই দুরু তোমার জামাই খতো বালা তুমিওত্তোই খইছো
16,train_habiganj (17).wav,অতো জিগানি লাগে অহন জামইরে কি জিগাইয়া যাওন লাগে না জামাই তো বালোই আইচ্ছা যাও সমস্যা নাই খওন তো লাগে যে যাইতামনি আইচ্ছা যাও সমস্যা নাই এরফরে খওন লাগে যাইগা আজকে আইচ্ছা যাইওনে একদিন ফরে দুইদিন ফরে
17,train_habiganj (18).wav,আইচ্ছা তে তোমার জামাইরে লইয়া খও কিরখম কিতা খরে না খরে আমার জামাই আমার জামাই তো বালাওই সব মতেওই খওনে কিতা খরে কিছু স্মৃতি আছে না কোনখানো ঘুরছো উরছো জামাই লইয়া ওই একটা পার্কও গেছিলাম পার্কও ছবি টবি তুইল্লা
18,train_habiganj (19).wav,আর কিতা কিতা খরছো ওদ্দিন বিয়া ওইছে খালি একটাওই বুলি স্মৃতি আল্লাগো আল্লা আমরা দে যাই আর খতো স্মৃতি আছে ফুচখা খাই জালমুড়ি খাই উইতাওত্তো রাত্রের গাইড়ে আই দিনের গাইড়ে আই খতোতা আছে খরি ইতাওত্তোই
19,train_habiganj (20).wav,কুনু পার্ক টার্ক নাই একটা পার্কওই আছে তে একদিন লইয়া গেছিলো আর একটা আছে বারহাম খইছলো খয় আইচ্ছা ইখানো আরেক দিন লইয়া যাইমুনে আরেকটা আমরা বাসার সাথে একটা শিশু পার্ক আছে এরে লইয়া মাঝে মাঝে শিশু পার্কও গেলে সিলেট তো সুন্দর গুরানির জাগা আছে সিলেট আওনা সিলেট নাবে ওখন আমরা
20,train_habiganj (21).wav,নেত্রকোনা তে সিলেট আও একদিন সিলেট খই যাইতাম সিলেট খতো সুন্দর ঘুরার জায়গা তাখার জায়গা আমি দিমুনে বুচ্ছি এরা দে অখন ছুডি ফাইলে এন্নে সিলেট গিয়া ঘুরাইয়া আইতো সময় তাকলে এন্নে ইখানোদে আছে ওই কিতা
21,train_habiganj (22).wav,কিতা আছে না এই সুনামগঞ্জ হাওরদেন হু এই হাওরোত্তই খইছিলো যাইতাম একদিন রাত্রে তাখন লাগবো টাঙ্গুয়ার হাওর টাঙ্গুয়ার হাওরও খইছিল আমিওত্তো যাইতাম যাইতে হেরা সবাই গেছেও অফিসের সবাই গেছে মা আমি খইছি আইও যাইগা
22,train_habiganj (23).wav,হে ছুডু দেইক্কা খয় না না যাওন লাগতো না আরও বড় অওক ওই ইডোত্তোই বিয়া অইলে স্বাধীনতাডা নাই অনেক জামাই আছে ইচ্ছা খইরা লইয়া যাইবো আমার জামাইও না না ওতোতা মেয়েরা ওতোতা গুরানি লাগতো না মেয়েরা সারাদিন বাসাতওই তাখতো মেয়েরা ওতো যাওন লাগতো না এম্নে বালো অইলেও কুনুখানো গুরতে লইতে যাইতে রাজি না
23,train_habiganj (24).wav,যদি মাঝে মধ্যে খই যে না আমার বাল্লাগে না আও গিয়া ঘুরাইয়া আইয় জোর খরি তইলে লইয়া যাইবো বেক্কল খইবো মেয়েরা ওতোতা বারে গিয়া কিতা খরতায় তুমি তুমিদে আও যাও ইডায় ওত্তোই তোমার ঘুরানি ওইয়া যায়গা আবার গিয়া ঘুরতো যাওন লাগে
24,train_habiganj (25).wav,অখন খও শ্বশুড় বাড়ির স্মৃতি খও শ্বশুর বাড়ির কিতা স্মৃতি শ্বশুড় বাড়িত কেমনে থাকছো না থাকছো ফইল্লা ফইল্লা যে গেলায় ফইল্লা ফইল্লা তো তোর দুলাভাই আছিন না আমি তো একলা একলাই তাখছি এরারে লইয়া তাখছি
25,train_habiganj (26).wav,ইখানো বাড়িত বাড়িত কিতা খরো বিয়ার ফরে আইলে আর বিয়ার আগে আইলে কিতা খরতায় খওছাইন তুফান আইলে তো খই ইশ আজকে গুমাইমুরে সারা সখাল দশটা ফন্ত আজকে
26,train_habiganj (27).wav,ঘুমাইয়া ইচ্ছা মতো ঘুমাইয়া আর অহন তো বিয়া ওইছে ফর তাইকা আরকি ইখানো আইলে খই আজকে ইচ্ছা মতো ঘুমাইমু আজকে তো কুনু খাম নাই সখালে ডাখলেও আজকে উনতাম না ইতোত্তোই খরি আর কিতা খরতাম
27,train_habiganj (28).wav,ই সময় ঘুমানির সময় ঘুমানি লাগছে সখাইল্লাখালা ঘুমাই যাই বুচ্ছোস অখন খও ছুডুখালা কিতা কিতা খরতায় খওছান ছুডুবেলায় আর কিতা খরতাম ছুডুবেলায় কিতা খরতাম তুই জানোস না খও আমি তো জানিওই খও
28,train_habiganj (29).wav,আমার সাতে যে মারা মারি উরা মারি খরতায় আমার সাতেরই একটা স্মৃতি খইলাও যাও তোর সাতে আমি মারা মারি খরছি তুইদি আফার সাতে মারা মারি খরতে যেডাওই যে খরতো আমার সাতের একটা খইলাও ডিড লাগাই দিতাছি ডিড লাগাই দিতাছি তুই দেন খাইতে আর আফা এমনে ছাইতো খইতো ডিড লাগাই দিতাছি
29,train_habiganj (30).wav,তোরে ফাছ টেখা দিলে ফখডো লইয়া বইয়া তাখতে মজা খাইতে না ইয়া আমি কিপ্টা আছিলাম কিপ্টা ওত্তোই কিপ্টা না তুই হাতো লইয়া রাখতে আর যু মজা খাইছত
30,train_habiganj (31).wav,খইতে না রইছে খাইমুনে ফরে মজা ওরে আমি ওতো আয় খরতামনি ছুটু থাকতে কিতা আছলে তোরে পাঁচ টেখা দিলে তো মজা খাইতে না সহজে ফকেটো লইয়া রাখতে আমি ওতো আয় খরতামনি ওতোতা বুঝতাম তে ছুটুবেলা থাইক্কাওত্তোই বুঝতে
31,train_habiganj (32).wav,তোর মনো নাই হু আইচ্ছা খও অখন তোমার বিয়ার আগের একটা বান্দবী আর বিয়ার ফরের একটা বান্দবী লইয়া খও বিয়ার ফরে তো মনয় বান্দবীই নাই না কিতা একটা বন্দুই আছে বিয়ার ফরে কুনু বান্দবী ওন্দবী নাই আইচ্ছা বিয়ার আগে কেডার সাতে বেশি ছলতায় বান্দবী কেডা
32,train_habiganj (33).wav,বান্দবী আছলো দলোর আনোয়ার ইলার সাতে অখনও যোগাযোগ আছে খও কিতা কিতা খরতায় একটু ঘুরা ঘারি শয়তানি ওয়তানি কিতা খরতায় খেলতাম আমার খেলতাম না ইস্কুলো গিয়া গিয়া বেশি বেশি ইত্তাওত্তোই আর কিতা খরতাম বাড়িত কিতা কিতা আমরা বেশি শয়তানি খরছি না
