,file_name,transcripts
0,train_kishoreganj (1).wav,বিল্ডিং তুমি বাবুল রোডো বুজছো মাল দেখতে অইবো নাহ লাগতো না দেও বাবু তিনশো টেহা দেলাও তিনশো না চাইরশো দিয়া দিলে ফ্রি দেম আম্নেরে শার্ট টা সুন্দর আছেতো চাইরশো টেহা দেয়া আনছে রিদুয়ান ভাই আমি ছুডুবাইয়ের সামনে কইলাম আজকা
1,train_kishoreganj (2).wav,ইস্টিচ কাফরের শার্ট ফাচশো টেহা দাম সাড়ে তিনশো টেহা দিলে বেশি অইলো অইলে ইয়াল্লাহ তুমি মালিক সাড়ে তিনশো টেহা দিলে অক্করে বেশি অইলো অইলে ফঞ্চাশ টেহাডা বাড়ায়া দিতাছি নেন ভাই সমস্যা নাই আফনেরা যদি না নিতাইন দাম কিন্তু বাড়ে
2,train_kishoreganj (3).wav,দেউ একশ টেহা দেলাও কত শাট কত নিছে বালোইছে
3,train_kishoreganj (4).wav,চার বেডার এইয়ানো দশ টেহার বিস্কুট হইবো শালার পুত একটা মারুম পঞ্চাশ টাহার বিস্কুট যদি লোইয়া আয়তাম আচ্ছা যাইহোক হে দি আমারে ইজমাইলি লইয়া লইয়া আয়ও যাইবানি আয়ো না
4,train_kishoreganj (5).wav,এই কি হইসে কি হইসে কার হাসাইনা কই কিছু না বানাইবে হ রিলেক্স হ্যাভ এ রিলেক্স রিলেক্স মিলেক্স নাই না বানাইলে আমার হাতে মাইর খাবে তোর লগে আমার কন্টাক কি হইসে
5,train_kishoreganj (6).wav,কি সুন্দর কথা না বানাইলেই হয় মোবাইলডা কই কই জানি ফরছে তুমি এ্যনে জানো খা খা খা আমায় চোষে চোষে খা
6,train_kishoreganj (7).wav,ক্যাডা আরেহ বেডা সিসি ক্যামেরা তো আছেয়ই চুর গেলেগা বুদ্ধি আইলে লাভ অইবো ক্যারে তুমি চুর না তুমি বিস্কুট আনাও তাইলে দেকবা তুমি ভালা অইয়া গেছোগা আমার কাছে বন্ধু হইয়া গেছিগা হিসময় গালাগালি হবে চুর ডাকাতি হবে খাওয়া দাওয়া হবে সবই হবে বন্ধু মানেই চিল আইচ্চা তাইলে যাওগা
7,train_kishoreganj (8).wav,দিতারস না বেডারে তোর লগে আমার ডিল হইছিন কি
8,train_kishoreganj (9).wav,এই মামা তর লগে আমার ডিল অইছিন কি
9,train_kishoreganj (10).wav,তুই সঞ্চয়ও করস এরলাইগাই কই ছেরিয়াতের প্রতি নেশা কেরে তর এই সঞ্চয়ের টেহাডি ছেরিয়াতের লগে নষ্ট করস না ভাই দেখ মুখটা চুডাইসনা নাইলে একটা বিস্টুক আনাইয়ালা নাইস ওয়ার্নিং
10,train_kishoreganj (11).wav,বিস্কুটএর লাইগা এত কাপঝাঁপ হে আমার দশ টেহা নিয়া একশো টেহার চিপস খাইয়া লাইসে একশো টেহার চিপস কেমনে খাইল দশটা চিফওই খাইসে তুমি শৈলডা দেইখা বুঝ না
11,train_kishoreganj (12).wav,কিরে বাবা দারে যাইতাছিগা আনাইতি না যা গুতি যা গুতি দিয়া আইলে অইতো না গুতি দিয়া যা গুতি যা যা হালার গরে হালা
12,train_kishoreganj (13).wav,সমস্যা কি
13,train_kishoreganj (14).wav,হাসাইনা তুই এত সঞ্চয় কেমনে নামাস দুইশ টেহা দেলাও ভাঙতি এনতে হাসাইনা আয়তেছি
14,train_kishoreganj (15).wav,মাল উডাও না কেরলাইগাতে বুঝলাম না অন্যহানো কি আনকমন কালেকশন ফাওয়া যায় তুমার এইনো কালেকশন ই ফাই না আইবাইন সমস্যা কি ঈদ আইতাছে অত খাবলাখাবলি করলে চলবো আমরা মাল তো আনছি অহন আমরাতো নিয়া যায়াম দেইখাবেন কিনতাছি ঈদের মধ্যেতো আলাদা জিনিস আমরা কিনুম অই মাল কিন্তু আনছি সব নিয়া মনে করেন যে ঠিসা বাইত নিয়া বস্তা ভইরা ভইরা অহন খালি নামামু বুঝেন না আইচ্ছা হাসান গেলাম গা গেলেগা লাভ কি হাসানের লাভ লস আছে আছে আনছ না দশ টেইক্যা হ্যাঁ দশ টেইক্যা বিস্কুট লয়া দশ টেইক্যা আনতো তুই কইছছ বিশ টেইক্যা এই নডির ফতাইন
15,train_kishoreganj (16).wav,বেডার এইনো দশ টেইক্যা বিস্কুট আছে ফাচ টেইক্যা আছে
16,train_kishoreganj (17).wav,মানিক ভাইয়া মোবাইল কিনসুইন বোলে হ ভাই মোবাইল তো একটা লইছিলাম লইছলাম ভাই লইছলাইন আচ্ছা কি মোবাইল লইছুন লইছিলাম ভাই ওই যে রিয়েলমি চি ওয়ান ফাইভ রিয়েল মি চি ওয়ান ফাইভ আচ্ছা
17,train_kishoreganj (18).wav,এই মোবাইলডা কি আরো কিনতাছে এলাকাত হ ভাই এই মোবাইলডা ভালো সার্ভিস দেয় তারপরে ক্যামেরা ভালো তারপরে নেট চলে ভালো নেট চলে ভালো আপনেরার বাড়িত কি ওয়াইফাই আছে হ ওয়াইফাই তো আছে ওয়াইফাই আছে ওয়াইফাই ও ভালা
18,train_kishoreganj (19).wav,ওয়াইফাইয়ের বেতন কতো দেয়া লগে এইতো এই তিন চাইটা মোবাইল চালাইলে ইয়া তোমার পাশো টেহা দিয়ুন লাগে পাশো টেহা দিয়ুন লাগে আর ওয়াইফাইয়ের কি স্পীড পাওয়া যা আছে মোটামুটি ভালাই
19,train_kishoreganj (20).wav,সৌর বিদ্যুৎ ইয়া করলে লাইন করতে হয় আর কি তাইলে সবসময ওই ডার নেট টা থাহে মানে সৌর বিদ্যুৎ করলে সব সময় লাইনে থাহে নাইলে কারেন্ট কারেন্ট গেলেগা তো নেট যায় গা ও আচ্ছা অহনে যার এন্তে ওয়াইফাই নেয়া হইসে তার বাড়ি কোহানো আপনের বাড়ি আশেপাশে না দুরাপি ওইতো আমরার বাড়িতে দুই তিন কিলো দূর
20,train_kishoreganj (21).wav,এ কি প্রতি মাসে মাসে নেট এর ভাড়া নে গা প্রতি মাসের দশ তারিখ হে ইয়া নে গা বিল নেয় দেরিতে দিলে কিছু ক কয় না একদিন দুইদিন ঘুরাইলে অসুবিধা হয় না দিয়াইলে ভালা আরকি দিয়াইলে ভালা আরেকটা কথা জিঙায় আপনে যে মোবাইল যে কিনচুইন কেইলাজ্ঞা মোবাইল কিনছুইন
21,train_kishoreganj (22).wav,মোবাইল কিনছি এইতো ফেসবুক চালাইন ফেসবুক পরে টিকটিক মিকটক এইগুলা দেহি টেহি দেহুইন এইডি ভাললাগে নাকি কেউরে দেখলে এইযে সময় টময় কাটে যখন অবসর থাকি অবসর থাকলে দেখুন অবসর থাকলে একটুখানে দেহি কাম কাজ থুইয়া তো আর ইতা
22,train_kishoreganj (23).wav,করা যায় না আর মোবাইল কিঞ্চুইন বলে ভিডিও করা লাইগা না কেলাইগা ওইতো সময় পাইলে একটু আরটু করি আরকি ও আচ্ছা এই ভিডিও করুইন মোবাইল দিয়া ঐতো হ নেটের মধ্যে ছাড়ুইন মানে ইউটিউবে ছাড়ুইন হ
23,train_kishoreganj (24).wav,ছাড়ি এইতো পেইজে ছাড়ুইনা না না হুদা খালি ইউটিউব হ ও আচ্ছা ও মানে নেটের তে কেমনে মনে আগ্রহ হইলো ইউটিউবে ভিডিও ছাড়া এইডা দেখতে দেইখা পরে মনের মধ্যে আশা জাগসে যে দেহি
24,train_kishoreganj (25).wav,সবাই ইউটিউবে অনেকেই ইউটিউবে ভিডিও করে সবার লগে পরিচিতও হইলাম হে আর ভিডিওডা দেখলো আমরাও মাইনসের ভিডিও দেখলাম হ পাশাপাশি ইনকাম এর ও একটা সিস্টেম হইলো ইনকাম এর চিন্তা এইডা পরের আলাপ পরে এইডা হইলে হইবো না হইলে নাই না না এই আশা লইয়াতো আর এইডা
25,train_kishoreganj (26).wav,কুয়ন যা না মানে জাস্ট খালি বিনোদন যে কয়জন মানুষ চিনলো ভালোই লাগে মানে ভিডিও করতে ভালা লাগে হ সময় পাইলে আর কি করি সময় পাইলে করুইন আর কি মোবাইল দিয়া ভিডিও করুইনে আমি রিয়েলমি সি ওয়ান ফাইভ দিয়া রিয়েলমি সি ওয়ান ফাইভ
