,file_name,transcripts
0,train_narail (1).wav,আমি তো চইলে আসলাম তুমারে মনে করো যে এর মধ্যি কাইলকে তুমারে ফোন দিলাম তুমি কলা যে আসতিছি পরে আসলানা এজন্যি হ ওইদিন আসি নেই ঝামেলায় পড়িছিলাম এট্টু যাক ঝামেলা গেছে যাই হোক আসো তুমি সাবধানে আসো হ ঝামেলা টামেলা গেছে ভাই ওই ফোন সারতি দিছিলাম ওই জন্যি এট্টু দুকানে ছিলাম
1,train_narail (2).wav,তুমি আসো তালি সমস্যা নেই তুমি তো আছো বাড়ি তাই না হ আছি ঈদ পর্যন্ত তো আছি ঈদির পরে যাবা কোনোজাগা হ ঈদির পরে বেরোয় যাব না ঈদির পরে কি কাজ বাজ হ এই যে বরিশাল যাতি হতি পারে বরিশাল কি ওইয এ ইসির লাইন
2,train_narail (3).wav,প্রজেক্টে প্রজেক্টে গ্যাসের ভাইয়ার প্রজেক্ট হ হ গ্যাসের হ ওই জাগা লাইগে থাহো ভুদা এট্টা কিছু না এট্টা কিছু তো হবে হ সেইডেই ভাইয়া কুনজাগা এহন ভাইয়া তো গাজিপুর আছে গাজিপুর ও
3,train_narail (4).wav,দেবে ঈদির পরে দেবেনে প্রজেক্ট শুর হবে ঈদের পর ও উনার আবার শুরু হলি আবার দৌরতি হবে আপাতত গাজিপুর আছে না হ আন্টির কি অবস্থা আছে ভালো না হ আছে ভাল বউমার কি খবর আছে আলহামদুলিল্লাহ
4,train_narail (5).wav,আমাগে বউমার কি খবর হ্যাঁ খুব আ লহামদুলিল্লাহ আছে ভালো হ্যাঁ ঠিক আছে হ তুমি এহন বিবাহিত তো হ ঈদার কি অবস্থারে অনিকির অনিকির মোটে দেহাই পালাম না
5,train_narail (6).wav,ওর দেহা মরাই পাই না তুমি তো মেলা দুরি ক্যা ওর কি সমস্যাডা কি আমি তো বুঝলাম না কবানি পরে সময় সুযোগ কইরে কবানি ছন্ন ছাড়া হউএ ঘুরে বেড়া এম্নে কলি বুঝবানানে কলি বহুত কতা আসবেনে কউ এট্টু বহুত কথা শুনি
6,train_narail (7).wav,কারণ আমি ওরে দুইদিন খুজিছি বোঝছো আমি যাইয়ে পরে শাহীনির ধারে অভিকির ধারে সবুজির ধারে কলাম যে সে কুহানে সে কচ্ছে সে খালি দিপালের সাথে ঘোরে সে হচ্ছে এখন আমাগে সাথে ঘোরে না দীপালের সাথে ঘোরে
7,train_narail (8).wav,দিপলের সাথে দিপলের সাথে তো ওই শুকনো লাইন খালি ওই খালি ওই ওইরে বেড়ায় হ্যাঁ হয় আর এর ভিতরে আমি ওই যে ঈমনের সাথে এট্টু ঘুরা ফিরা ওরিছি কয়দিন তাইতি উনার এয়্যার জ্বইলে গেছে তাইতি তার শ্যাটাভাঙা জ্বলিছে জ্বলার চোদনে তিনি এহন আর
8,train_narail (9).wav,আমার আমারে দেখলি তিনি এহন উলটো দৈড়োয় এরম অবস্থা ওইছে ভয়ংকর অবস্থা ঈমনের সাথে ওর কি নিয়ে ন্যাঠা ঈমন দি ওর খুব ভালো ক্লোজ ফ্রেন্ড ছেলো ঈমনের সাথে আছে ধংঘর্ষ আমি কচ্ছি না ও কতি গিলি মনে করো সামনা সামনি কতি হয় বোঝো নাই
9,train_narail (10).wav,সেই কায়দা এয়্যা হয় ইতিহাস ঈমনরে মাঝে ভারি ই টি কইরে ঈমন তুমি আমার বন্ধু হ্যাঁ ন ত্যান ঈমনের সাথে ছাড়া কের সাথে মেশতো না সে সময় টিরাক হইছেলো তার কড়া ফ্রেন্ড এহন দাউ দাউ কুড়োলির সম্পর্ক ওইয়ে গেছে এহন টিরাকরে মোটে চোহি দেখতি ফারে না
10,train_narail (11).wav,চোহি দেখতি ফারে না মানে দুই চোহি ছিটকে চইলে যায় দ্যাহার সাথে তালি তো ভারি কিলাশ ঈমনের ঈমন যে লাস্টে বিয়ে ওরিছেলো ওই বিয়েডা কি টিকে আছে নাকি গেছে হ হ হ পরে আরেট্টা করলো না সেইডে আছে মেয়ে হইছে
11,train_narail (12).wav,সেইডে ভালো ভালো আছে এই বিয়ে করিছে কুহানে এইডে অলো ওই তো তুমার শ্বশুর বাড়ির এলাকায়ই নড়ালে মাঝে এলাকায় যেইডে করিছেলো ওইযে কি জ্যানু নাম ফর্সা মতোন হাবিবা
12,train_narail (13).wav,হাবিবা হাবিবা তার সাথে কি অলো ও গেছে গা ওর সাথে ছাড়া কাড়া ওইয়ে গেছে না তাই হ বহুত আগেই তাতো ম্যালা আগেই ও ও জাগা টেকলো না ক্যা উডাও তো প্রেমের বিয়ে ছেলো ও মাইয়ে তো সংসার করা মাইয়ে না তাই বাওত্তারা মাইয়ে অলো ভাড়া
13,train_narail (14).wav,ভাড়া খাটা মাইয়ে ভাড়া খাটা মাইয়ে ভালো কইছো তুমার এদিকি তুমি যে তুমার মেয়রের সাথে এতো সুমায় দিলে তা মেয়র তুমারে কিছু কইরে টইরে দেল না আরে মেয়রের ওহনে সুমায় কুহানে দিলাম কি যে বাড়া কইস তুরা
14,train_narail (15).wav,রাজনীতি এ মেয়রের নির্বাচনের সুমায় তো খাটিছিস কম না মিথ্যে কথা কইস ক্যা নির্বাচনের সুমায় হ্যাঁ না নির্বাচনের সুমায় ওটুক করিছি তালি এহন মেয়র কি ওইরে দেবে মেয়রের ভাইর বিটাগে দিয়ে ভাই ভাইর বিটাগে দিতি দিতি মেয়রের
15,train_narail (16).wav,সুতো ছিঁড়ে যাচ্ছে মেয়র এলাকায় এট্টা কিছু কইরে দিতি ফারে না ধরো প্রজেক্ট ম্রজেক্ট তো কম নাই ওরকম লাইন নাই বিটা তাই না দেয় না নাহ আর মেয়র হচ্ছে আসলে এলেকার মদ্দি দাড়াইছে মনে করো ওটুক করিছি ওটুক তো মনে করো তুমি দাড়ালি তুমার ফিছনেও করবানি বোঝো নাই হ উডা তো ঠিক
16,train_narail (17).wav,এলাকায় তুমাগে তো এয়্যাহেবারে বাড়ি ফাশে ওটুক তো না করলিও কিরোম ওইয়ে যায় হয় আমিও তো ওরম ওই রাত্তিরি আইসে এট্টু হাজিরা দিতাম খুব বেশি তো না খাটিছে তো আমাদের আমার কাকা আমার কাকা খাটিছে আল্লাহ দিলি হ হ কাকা সেরম খাটা দেছে আমার কাকারে বিয়েও এট্টা দিয়ে নিয়াসলো মেয়র থাইয়ে
