,file_name,transcripts
0,train_narsingdi (1).wav,আমরা শুরু করি হ্যাঁ আমনের আমনের নামডা আমার নাম মোহাম্মদ নূর ইসলাম তা আমরাদি ইয়ার মইধ্যে নূরুল ইসলাম দিছি মনে করেন যে নূর ইসলাম মোল্লাও লেখতে ফারি
1,train_narsingdi (2).wav,আমনে এমনে আইডি কার্ডো নূরুল ইসলাম নূর ইসলাম আমনের বয়সটা চাই কত অইছে বয়স আমার আইজ ইনশাআল্লাহ ষাইট ষাইট হুম তো দ আমনে আমনে মুক্তিযুদ্ধ দেখছেন মুক্তিযোদ্ধা দেখছি
2,train_narsingdi (3).wav,সবঅই দেখছি ইনশাআল্লাহ মুক্তিযুদ্ধা দেখছি পাঞ্জাইব্বা দেখছি পাঞ্জাইব্বা বলতে পাঞ্জাইব্বা বলতে ওইযে পাঞ্জাইব্বারা আইয়া গুল্লি চুল্লি করছে মাইনষের দোর দৌড়াদাড়ি করছে যে ইতাও দেখছেন হুম আমরার এফি কি ইতা আইছিন পাঞ্জাইব্বা মানুষজন
3,train_narsingdi (4).wav,ইতা আইছিলো তো ওই আমনের হেই যে মাজু কাহারা বাড়ি যে হুম এর দোন্নের ঘরটা যে হুম এই বাড়ির মু ইয়া আছিন মুক্তার আছিন এই মুক্তারের বাইত আইছিলো
4,train_narsingdi (5).wav,ফরে হেরা কি এনো থাইক্কাওই গুল্লি টুল্লি করছে না কি একদিনে গেছিনগা না হেরা এন রইছে না আইছে আর গেছে আমি ওই বইনরার বাইত আছিলাম ফরে বইনরার বাইত এই কারো না উইট্টা ফরে এই তলে টিনের তলে হেরদা বেড়া দা দেখছি
5,train_narsingdi (6).wav,হেবলা কি ইয়ার বিয়া অইয়া গেছিনগা আমনের বড় বইনের হ লাইজ্জের আগে বিয়া অইছে আমার বড় বইনের ফরে এইলার এইলার ঝি ফুত তো আবার নয় জন ঝি দুইজন ফুত হুম দুইজন ফুত তা আরেক জুন মারা গেছে এ আইচ্ছা আমনে আমনে ছুডু ছুডুবেলাডা হুনি চাই আমনে ছুডুবেলা কেমনে বড় অইছেন ইয়া টিয়া কী কী করছেন আমনেরা
6,train_narsingdi (7).wav,আমরা কী করুম ছোডবেলা নলি ভচ্ছি নলি নলি তা আরোকটু বড় অইছি ফরে তাঁত বান্নাইছি এরফরে আবার তাঁত চালাইছি আবার ড্রাম চালাইছি ওই তাঁতের সংসারো যা যা লাগে তা করছি
7,train_narsingdi (8).wav,এ এই তাঁত তাঁতগুলা মনে অয় অনে আবার নতুন কইরা শুরু অইছে নরসিংদী হুম ওইযে দেহি ইয়া কী জানি কয় ফাহাল্লুম না ওইযে ইতা চাকমা মারমার কাফড়টি যে বাইন্না হুম ইতা অনে বাইন্নানি শুরু করছে
8,train_narsingdi (9).wav,তা আমনে আমনে ছুডুবেলা ইস্কুল গেছেন ইস্কুল গেছিলাম একদিন একদিন একদিন ফরে ফরে আইন্না আমার বাহে নলির লাইগগা বইয়া লইছে না কারিগররা ফরে আইন্না খালি মারছে
9,train_narsingdi (10).wav,মারছে মারছে পিরফার মইধ্যে হুতায়া থুইছে তো এরফরে আর ইস্কুল গেছেন না না ফরে বারিন্দাতও গেছি না
10,train_narsingdi (11).wav,আমনের বাফে যে মূর্খ আছিন মূর্খ মূর্খ তো তো ইডা যে মাষ্টার বাড়ি ক মাষ্টার বাড়ি ক ইডা ইলার জেডা কইরা গেছিন তো ইলায় ইলায়ও না বলে কুরআন শরীফ টুরআন শরীফ পড়তো হ্যাঁ পড়ছে
11,train_narsingdi (12).wav,পাঁচ ওয়াক্ত নামাজ পড়ছে কুরআন শরীফ পড়ছে আমনেরে কেউরে ইতা শিহাইছে না না আমারর তো শিহায় নাই ওহ খালি কাম করতাম খালি নলি ভরতাম আর মুনিরা পাছে ডাবা লইয়া যাইতাম ওহ হেইডালে তো ডাবা আছিন ডাবা আছিন আ আ কইন চাইন ডাবাডা কেমনে সাজাইতো
12,train_narsingdi (13).wav,ডাবাডা মনে করুন যে ফতিদিন সহালে ইডা এই মরাইয়াছ ডাবা কয়ডা ফানি না ফালাইয়া আবার এই মরাইয়া দুইয়্যা এডার ভিতরে আবার ফানি ভরছি এরফরে মনে করুন যে হেলবা আইল্লার ছল আছিলো
