,file_name,transcripts
0,train_rangpur (1).wav,কেমন আসেন ভালো আসো মা কি খবর এলা কি খবর শরীল এর অবস্থা খুব খারাপ তোমার সাথে মুই একনা কথা কবার চাং যদি রেকর্ড করনু হয় তোমরা কি কন রাজী আসেন আসো মায়ো
1,train_rangpur (2).wav,কি কবু কো তোমার নাম কি মোর নাম তো রিনা তোমার বয়স কত জানেন মোর বয়স পঁয়চল্লিশ কি কাম করেন তোমা সংসারত সংসারী আর কি কাম করিম মায়ো
2,train_rangpur (3).wav,সংসারী কৃষি কাজ করো তা তোমার যে মুই শুনচুনু চোখের বলে সমস্যা তার কি করলেন কিছুই কইরবার পাও না মা তোর ছোটো আব্বার যেঁ অবস্থা এখন সংসারের অবস্থা খারাপ চোখের বলে চিকিৎসায় কইরবার না পায়
3,train_rangpur (4).wav,ছোট আব্বাক কন চোখে না দেইখলে ওটা কেমন নোহায় চিকিৎসা করেন যেমন করি হোক তোর ছোট আব্বাক কইস তো মায়ো এইখনা চিকিৎসা কইরবার জন্যে নিয়া যায় জানি মোক তা তোমার বেটি গুলার অবস্থা কি এলা
4,train_rangpur (5).wav,মোর বেটি গুলা জামাইয়ের বাড়িত মায়ো মোর নাতিটা তায় অসুস্থ হসিল অসুস্থ হসিল অই ছাগল কামড়াসিল বাড়িত ছাগল কামড়েয়া ছাওয়াটা আদাভাদা ফি নাগে দিসে না পরে দাদার বাড়িত নিয়া গেইসে উহার মাও
5,train_rangpur (6).wav,উহার দাদার বাড়িত নিয়া যায়া ওট থাকি ফির পাবনা চলি গেইসে এহন পাবনা যায়া ওটে ফির পাতলা পায়খানা হইসে বমি এখন সদর হাঁসপাতালত নিয়া গেইসে সদর হাঁসপাতালত নিয়া যায়া ওটে ফির ডাইরিয়া ডাইরিয়া থাকি আবার কলেরা হইসে নাকত নল ঢুকি দিসি
6,train_rangpur (7).wav,নাকত নল ঢুকি দিয়া পরে ফির পেটের মধ্য বলে পয়জন জমা হইসে কতো অকিনা ছাওয়ার এইনতন রোগ হয় এখন চাইরটা এক্সরে দিসে দিয়া নাকত নল দিয়া ফির
7,train_rangpur (8).wav,নাকত নল দিসি নাকত নল দিয়া আবার সিরিজ দিয়া সেই নল দিয়া এহন পয়জন বাহির করছে পেটত বলে পইজন হইসে সেই পয়জন গুলা বাইর করছে
8,train_rangpur (9).wav,চাইরটা এক্সরে দেসে অইল্লার পয়জন গুলা বাইর করিয়া এখন কি অবস্থা আসে এখন সুস্থ হইসে আবার পাবনাত বাসাত থুইয়া আচ্ছু মা ছোট আব্বা ফির বাড়িত কেমন করি ফির একলায় খাওয়া দাওয়া এই হাত পুড়িয়া এহন
9,train_rangpur (10).wav,রান্দি বারি খাইসে কোনোমত বাড়িত ফির একটা বেটিও নাই বাড়িত ওই ছাওয়াটাক থুইয়া গেইসো আর আন্দি বাড়ি খোয়ায় তোর বড়আব্বা বড়টার স্বামী ফির কি করে বড়টার বেটায় তো অসুসস্থ হসিল বেটা না খুব অসুস্থ হইসে তোমার জামাই কি করে জামাই ওই ইঞ্জিনিয়ার অফিসার
