,file_name,transcripts
0,train_sandwip (1).wav,আইচ্ছা আমনেরা এনজিও সম্পর্কে কিছু জানেন নে জানি তো এনজিও টাকা লই না আইচ্ছা হিয়াল্লাই জানি আইচ্ছা এনজিও ইয়ানে কউগা এনজিও আইয়ে আমনেরগো ইয়ানে দু গা আইয়ে কি কি এনজিও একটি বাড়ি একটি খামার এসডিআই আইচ্ছা
1,train_sandwip (2).wav,তো এগুনেত্তে কিল্লাই টিঁয়া লন টিঁইয়া লই আঙ্গো কাজে লাগায় আঙ্গো দরকার অ হেখতাল্লাই টিঁয়া লই আইচ্ছা হেগুনে কি হিসেবে আন্নেরগোরে টিঁইয়া দে কিস্তির টিঁয়া দে সাপ্তাহিক হিসেবে মাসিক হিসেবে আইচ্ছা তো টিঁয়া লইতে কি কি
2,train_sandwip (3).wav,কিয়া কোইত্তো মানে টিয়াঁ লইতে অইলে ফতম দিন নাম দিতো নাম দিয়ে ফাঁশশো টাকা দিতো হিয়ার হরে হাসবেন্ডের ছবি দিতো আঁর ছবি দিতো আইডি দিতো এগিন বেজ্ঞিন দি এরে তৈ এক্কা নামলৈ যাগৈ তো তিন সপ্তা খাইল্লা টাকা ছা এডিক্কা চালাই মাসে তিন সাপ্তা আইয়ে
3,train_sandwip (4).wav,তো টিয়া চালাইলে এ সপ্তাহ ন ঐ সপ্তাহ দিবো ক এডিক্কা গরি ঘুরা তো তিন সপ্তাহ হরে এক্কান ফরম করে আড়াইশ টিয়ার এক্কান ইস্টেম আনা লাবা তো ইস্টেম ইয়ান করি করি দিলে অল ইস্টেম ইয়ান লই যা গোই তো আবার দুই সপ্তাহ ফর আইয়ে ক যে টিয়া দিমু এবার এবার হাত আষ্ট দশ জন
4,train_sandwip (5).wav,সদইস্য থাকে এগুন বেগগুনরে ডাকা লাওয়া ডাকি আনিয়েরে তোই এগুনে বেগগুনেত্তে সিংগেচার ল সিংগেচার লইলে তো অমুক দিন টিয়া দিমু ক তো দিলে অল যাইলে অনেকদিন দেও না আবার হাডাই দে তো হিয়ার হরের সাপ্তাহ দিবো ক তো হিয়ার হরের সাপ্তাহ দিলে হরের সাপ্তাহ আনি এরকুম আরকি আচ্ছা
5,train_sandwip (6).wav,এরকম করি আমনে কবার টিয়া লইছেন এই চাইরবার টিয়া লইছি চাইরবারের মইদ্দে ফতমবার ফতমবার কোন এনজিওত্তে লইছেন ফতমবার এসডিত্তে লইছি আইচ্ছা এসডিত্তে এসডি এসডিয়ালারা ঝামিলা বেশি হিয়ারা বেশি ঘুরা আইচ্ছা তই ইয়ারা ফতমে আমনেরগো এ টিয়া লইবার টিয়া লইবার হরেত্তে আমনেগো বাসাত আইয়ে নাকি টিয়া লইবার আগেত্তে আমনেগো বাসাত আইয়ে
6,train_sandwip (7).wav,টিয়া লইবের আগেত্তুনো আইছেনি তই আরো হ আগেত্তুন যারা সদইস্য আইছলো হিয়ারগো ধারে আইছে হিয়ার হরে তো হরেত্তে আই সদইস্য আছি আইচ্ছা আগে বারের ঘরে আইছলো আই সদইস্য অইবার হরে আংগো ঘরে আইয়ে আন্নেরগো ঘরে আইছে তো হিয়ারা কতগগুন আইয়ে মানি আইয়ে ন টা বাজে আইলে আংগোরে ডাক দে হতি সাপ্তাহ মোঙ্গলবারে ন টা বাজে আইয়ে
7,train_sandwip (8).wav,আইচ্ছা দজ্জা খুলি দি বা চেয়ার দি বইতো দি অনেক সময় ফান টান খাইতে কইলেও দি আরকি এরকম হিয়ার হরে সদইস্যর গোরে ডাকি আনি ডাইকত কইলে ব্যাকেরে দশজন সদইস্য আছে ব্যাকে ডাকি আইনলে বই ব্যাকে মিলি তো স্বাক্ষর দি একজন একজন করি টিয়া তারফরদি টাকা ল আংগোত্তুন
8,train_sandwip (9).wav,টাকা এগুন কতগগন ধরি লাগে কতক্কন লাগে টাকা লইতে সদস্যরা আইতে দেরি অইলে আধা ঘন্টাও লাগি যা আর সদস্যরা চোঁত করি আইলে চোঁত করি যা গোই বিশ মিনিটের ভিতরে যা গোই তো টিঁয়া যদি কোন সদস্য যদি টিঁইয়া নো দে নো দিলে তো বয় থাকে ওমা তো আবার যা গোই আবার বুঝে অইলে দিনের একটা বাজে আবার চলি আইয়ে
9,train_sandwip (10).wav,সদইস্য উইয়ারে ফোন করে আইয়েরে টিয়া দি যান অফিসে দিয়াইতে অ নইলে লই যাই আইচ্ছা হিয়া মনে করেন সদইস্য হিয়াত্তে টিয়া নাই হিয়া দিতে হাইত্ত ন হইসা না দিতে অইবো বাইধ্যতামুলক তুই যেডেত্তে দিবা দ দিনের চাইট্টার ভিতরে মোট ফোচ করি দিতে অ এর ভিতরে কবার করি ফোন কইরবো দুইবার একবার চলি আইয়ে
