,file_name,transcripts
0,train_sylhet (1).wav,তে খইনছাইন আফনের দিনখান দিনখাল কিলাখান যায় তে বালা যার বাক্কা বালা যার আফনার কিতা অবস্থা আমার বালাওই আইচ্ছা তে আফনের বাসার সবাই বা দেশের কিরখম ফরিস্থিতি কিতা
1,train_sylhet (2).wav,ডিউটি খরি ডিউটি টু বাড়িত আর তো আর সবকিছু বালা আছে সব মিলাইয়া আর সবকিছু বালা আছে আর ছলের আরকি আফনেরা যে ইখানো খাম টাম খরইন কিলা কিভাবে
2,train_sylhet (3).wav,কেনো আমি কুনবালা আইন কিভাবে ডিউটি ডিউটি করুইন একটু খইনচাইন ইখানো আমি মনো করোগা আমি করি ইখানো সকালে মনো করোগা যে যদি সকালে ডিউটি অয় তে সকালে নাস্তা করি আইলাম সকালে নাস্তা করি আইয়া ডিউটি ধরলাম ডিউটি থেকি মনো করোগা দুপুরে দুইটা সময় গেলামগি বাসাত গিয়া দুপুরে খাওয়া দাওয়া করলাম
3,train_sylhet (4).wav,করিয়া তারপরে রেস্ট নিলাম কিছুক্ষন রেস্ট নেওয়ার পরে মনো করোগা বিকাল টাইমে উঠলাম উইঠা নামাজ টামাজ পড়লাম চা নাস্তা করলাম করিয়া আবার রাতরে আমরা ঘুমাই গেলাম আবার সকালে ছয়টা থেকি ডিউটি
4,train_sylhet (5).wav,আট ঘন্টার ডিউটি পরে প্রতিদিনই এইরকম ভাবে চেঞ্জ অয় আরকি মানে শিফট কইরা আফনেরা পাল্টাইন অয় অয় পাল্টাই দশ দিন পরে পরে চেঞ্জ অয় আরকি তে ইলা হলো যে চাকরি করুইন
5,train_sylhet (6).wav,কিরকম লাগে আমরা ছাত্র ছাত্রীরা স্যাররা অনেক সবাই ভালো সবাই ভালো অনেক ভালা লাগে চাকরি করতে আর অইলো স্যারগুলাও অনেক ভালো এবং ছাত্ররাও অনেক ভালো আর ডিউটাও খুব সুন্দর ডিউটি খুব ভালো ডিউটি
6,train_sylhet (7).wav,ডিউটিটা করতে খুব ভালা লাগে সবকিছু মিলায়া খুব ভালো তো আফনের কিতা ভাবি টাবি কিলা করে কি অবস্থা হ্যাঁ আলহামদুলিল্লাহ ভালা আসুইন
7,train_sylhet (8).wav,আমার মেয়ে এখজন আছোইন আড়াই বছর বালা আছোইন তারা একলা ওই মেয়ে ওয় এখ মেয়ে আচ্ছা আচ্ছা এখ মেয়ে তো তাইনরে নিয়ে আফনার ছিন্তা ভাবনা কিতা কিতা বানাইতাইন
8,train_sylhet (9).wav,চিন্তা ভাবনা ওইছে গিয়া মেয়ে মারদাসাত ফড়াইমু আমার ছিন্তা ধারা আর ফাশা ফাশি বড়ো অওক্কা বড়ো ওইলে দেখা যাইবো মারদাসাত ফড়াইমু আর ইচ্ছা আছে আরকি
9,train_sylhet (10).wav,কুনু কিছু মানে ভবিষ্যতে ইটা ফরে ছিন্তা খরমু আরকি কিতা বানাইমু না বানাইমু আগে ফতোমতো আমি মারদাসাত বর্তী খরমু ওটাও তে আফনার বাসা কুনানো জানি
10,train_sylhet (11).wav,আমার বাসা আখালিয়া নতুন বাজার তে খাখা খাখী ছাছা ছাছী কিতা খরে আব্বা মারা গেছোইন ফ্রায় তিন বছর ওইছে আর আম্মা আরও মারা গেছোইন ওই যার নয় দশ বছোরর খাছাখাছি ওই যার তো আমরা দুই বোইন ছাইর ভাই
11,train_sylhet (12).wav,আলহামদুলিল্লাহ বালা আছি সবেও মোটামুটি যে যার স্থানো আছি অখন সব একা একা ওইয়া গেছি আমরা আলাদা আলাদা ওই গেছি কিন্তু আমরা সবোর মিল আছে মিল মহব্বত আছে ইটা তো সিলেটি মানুষরার এখটা অন্যান্য এলাখা তিকা সিলেটি মানুষরার ইটা এখটা
12,train_sylhet (13).wav,বালা দিক না ইটা ঠিক আছে আমরা তো আবার ছাইলে এখানো ওইতাম ফারমু আমরার তো অর্থ সম্পদ নাই বা বালা এখটা স্থানো নাই ওতার লাগি আমরা জাগা জুগাও লইতাম ফাররাম না এখানো ওইতাম ফাররাম না এখসময় ইনশাআল্লাহ ওইমু আরকি যদি আল্লা বাছাইন আমরা ছাইরো ভাইয়ে এখানোগ জাগা ওগা লইমু এখানো ঘর দুয়ার বানাইম এখন
13,train_sylhet (14).wav,বর্তমানে আমরার ফরিস্থিতি মনো খরো খারাপ যে আমরার টেখা ফয়সা নাই তে আফনের লেখা ফড়া খতকান বা কিতা খরতে বাল্লাগে ইসময় আইয়া আমার না ওইতো ডিউটি খরলাম
14,train_sylhet (15).wav,আর কিতা বালা লাগতো আর তো কুনতা বালা লাগার আট ঘন্টা ডিউটি খরতাম খরিয়া আমার সঠিক মতো ডিউটি খরিয়া আমি আমার বাড়িত গেলামগি আবার আইলাম ওরখম ছলের জীবন আর কিলান যেলাখান যতোদিন যায় আরকি আলহামদুলিল্লাহ মনে খরুক্কা যে ছাখরী খররাম
15,train_sylhet (16).wav,ফরিছিত ও তোর ব্যাছমেট বে আও ক্লাসো আও তে আফনেরার ওত্তো গেছে মামুন আফনেরার সিলেট তো সিলেট জেলারে তো দ্বিতীয় লন্ডন খয় নানি অয় অয় তে ইডা নিয়া আফনের কিতা সিলেট নিয়া
16,train_sylhet (17).wav,কিতা মতামত খইনছাইন এখটু ছিলেট তো দ্বিতীয় লন্ডন কারণ আর আমরা সবাই বেশি অংশর মানুষ সবাই মনো খরোউকা যে সবাই লন্ডন বা এমেরিকা বা বিবিন্ন রাষ্ট্রত আছইন
17,train_sylhet (18).wav,কাজ খরের তারা সবোউ মুটামুটি আমরা ছিলেটর যারা স্থানীয় আছে এরা লন্ডন তো অউ হিসাবে মনো খরোউখা যে আমরার ছিলেটোর
18,train_sylhet (19).wav,দ্বিতীয় লন্ডন খওয়া অউ তে আফনে অউ অবসর সময় কিতা খরোইন অবসর সময় অবসর সময় তো বাড়ির কাজ লইয়া
19,train_sylhet (20).wav,বিজি থাকি অনেক সময় খাজ খরি যেমন দরুখা আমার বউর লগে হ্যাল্ফ খরি অনেক জিনিসও খাজে খাজে খাজের দিকে অনেক জিনিস হ্যাল্ফ খরি বা বিবিন্ন খাজ আছে ঘরো ওগুলা খরি আর মেয়ে আছে মেয়েটারে সময় দেই
20,train_sylhet (21).wav,ওগুলাই তারারে সময় দেই আকি গুরা গুরি খরোইননি গুরা গুরি ফ্রতি বারে শুক্কুরবারে যদি শুক্কুরবারে একটু সময় ফাই বা নাইট ডিউটি তাখে তখন গিয়া দিনে সময় ফাই তখন তারারে লইয়া একটু বেড়াই পার্কো টার্কো যাই আরকি
