,file_name,transcripts
0,train_tangail (1).wav,ভালো ভালো আছো এইন্যা মোবাইলে হইলো গেইম খেইলা সেই মজা তাই না কি পাবজি খেলো না ভাই এহন খেলতাম তুমি ওই যে দেখলাম ইয়ে ফেসবুকে দিছিলা ভিডিও ইংলিশে জানি কী কী বুঝাইলা হ দেখলাম
1,train_tangail (2).wav,তুই কিছু বুঝছস সেই ইংলিশ সেই বুঝছস বুঝি নাই তাই কী অবো দেখছি তো না পড়াশোনা করবি পড়াশোনা করলেই বুঝবি না দেখলাম ভালোই লাগলো
2,train_tangail (3).wav,প্রজেক্টরে দেইখা দেইখা কইলা না না প্রজেক্টর থিকা বুঝাইলাম আরকি ওইডাই তো দেখলাম না বই যেরকম আরকি ম্যাটেরিয়াল থাকে দেখলাম যে ওইডা দিয়া মানে বুঝায় বুঝায় দিতাছে উনো আরো কিছু মানুষ আছাল বড় বড় হ ওগ্লা কেরা আছিলো
3,train_tangail (4).wav,ওগ্লাই বুঝাইলাম ওগ্লাই স্টুডেন্ট জাতীয় সবগুলাই মাইয়া মানুষ আছাল হুম মানে ম্যাডাম ট্যাডাম আছাল না উনু না একটা খালি স্যার আছিলো স্যার আছিলো আর সবটি স্টুডেন্ট তোমার জুনিয়র না সিনিয়র আছে সিনিয়র অইবো
4,train_tangail (5).wav,তোমার ভিডিও কইরা দেয় কেরা ওই ওগোর মধ্যেই একজন ধইরা থাকে খালি ওই ভিডিও টিডিও কইরা আয় যে ভাই আপনার ভিডিওটা করছিলাম পরে দিয়া দেয় ওগ্লাই ফেসবুকে ছাইড়া দাও
5,train_tangail (6).wav,একটা পেইজ খুলছি ওইখানে কয়দিন পর গ্রামার ট্রামার নিয়া লেকচার দিয়া ভিডিও টিডিও ছাইড়া দিমু পেইজ খুলছো দিও লিংক
6,train_tangail (7).wav,সবার ই এর ভিত্রে লাভ রিয়েক্ট দেয় আমারডার ভিত্রে সবাই খালি হাহা দেয় বুঝিনা রিয়েক্ট দেয় তো তোর হচ্ছে কেমন টাইপের পুস্ট করতাছস না কিছু হাসাহাসির জিনিস না দিলেও না হাসা হাহা দিয়া থুয়া দেয় আমার যে রাগ উঠে কইলাম শালা তরে যদি সামনে পাইতাম
7,train_tangail (8).wav,আমি আবার ব্যাকটিরে লাভ রিএক্ট বা লাইক দিয়া দেই নইলে কেয়ার দিয়া দেই কিন্তু এই যে ওমর ভাইয়ের ভিডিও দেখলে হাহা দিয়া দেই এইন্যা দেখলে তো আবার ওই যে আছে গেম খেলা যায়
8,train_tangail (9).wav,হ এই তুই কি প্রেম ট্রেম করোস না কি অবশ্যই কী কইলা ভাই এই কথা ভাই তোমারে কে বললো এই কথা কে বললো তোমাকে তোর সাথে আমি ফেসবুকে অ্যাড আছি না
9,train_tangail (10).wav,কও কি ভাই আমার সাথে অ্যাড আছো আমার কোনও মেয়ে লিস্টে আছে ভাই তুমি দেখছো অবশ্যই তুমি দেখছো ভাই লিস্টটা একটু চেক করো একশো জনের ভিত্রে যদি নব্বুইডা মেয়া না পাইছে তাইলে কবা মিছা কথা তুমি দেইখো ভাই লিস্টে একটাও মেয়া নাই সত্যি কথা ক আমি তোরে কী করমু তুই সত্যি কথা ক
10,train_tangail (11).wav,আরে এই বয়সে প্রেম করে না এইডা কতা হ তাই তো এই বয়সে প্রেম করবো না এই বয়সে আমরাও প্রেম করতাম ওইডাই ইশ বর্তমানে এহনো করে বান্ধবী আছে কয়েকটা এই যে একটা বান্ধবী মানেই তো বান্ধবী আবার কী
11,train_tangail (12).wav,প্রেম ট্রেম করিও না আমারে প্রেম করায় দেওছেন একটা মানে ভদ্র ঘরের ওই যে সত্যি কতা কইছে আমার আর এহন কইয়া লাভ কী
12,train_tangail (13).wav,আমার ফেসবুকে পাবি আমি ফেসবুকে মেসেঞ্জারেই অ্যাকটিভ থাকি না আমি ডাইরেক্ট তোমার ডে ই দেখছিলাম ডে দিছিলা পোলাহান প্রেম কইরা ডে দেয় ফেসবুকে আহহহহ এইডা দেখছস এই যে এইডা কইলাম যে এইডা দেখছস এইডা হরায় ওইডা নিলাম তুমি বুঝোনা
13,train_tangail (14).wav,এইডা দেন যাবো এইডা অইলো কুখ্যাত বিখ্যাত দামী ফোন এইডা দেন যাবো হেজন্যে কইলাম ওইযে ওইডার অইলো আইফোন থাইকা থাইকা ডেল মারে ইচ্ছা কইরা আসলেই দেছিন মামা এহন একটা রাব্বি কয়বছর ধইরা প্রেম করোস আরে না ভাই ধ্যের মিয়া কি কও মিয়া
