id,sentence
valid_sandwip (1).wav,হড়ালেখা করি খিজীবনেআইছাজীবনের আমনের হরালেখা যদি টার্গেট যদি ানে তুঁই যদি লক্ষ্য স্থির্ন করো তাইলে তু কিয়ান্নে হইরবা
valid_sandwip (2).wav,লৈক্ষ্য আছে নে অনকাল্লানির লক্ষ্য নাই আন্নেরা তো বিয়া দিছেন বা দিদিছেন হ একরকম গেছগে বাঁচি গেছেন আঁই আরগারে লইা আঁই বউত চিন্তা করি বুজ্জেন নার
valid_sandwip (3).wav,বিথের ভিতরে যে বউত ট্যেনশন লাগে আসলে মানে আসলে এই একটা বযাফার ছে আননের এতো অল্ফ বয়সে বিয়োদান যাইতো না আন্ন কি য়ে কম বেশি জীবন সম্পর্কে আরো বালা বুঝঝে আঙগো গি রত তুলনামূলক
valid_sandwip (4).wav,বউত ভালা বুঝে তারফরেও হরগো বারিত জিরু কিচ্ছু বুঝে না আঙগো আত্তে লাইযে বউত কিছু বুঝে ঠিক াছে নে এমনে আঙ্গো ইয়ে তো এন্নেই জিরু কম করু গার ব্যাস করু মাই এক্কানা আত কানা তো দিলে হ্যা হগলে ছ মাস এক্কেরে ইয়া আন্া হ্যা তো আন্নের গুইয়া এক্কানা লরগনিয়া চরিন নিয়া যা হিয়া আন্দা
valid_sandwip (5).wav,আন্জে না আপনার রান দনাছ কাজগিম করাসলেন কাস আমাই রাননে রাকা যাম খবরদা কইয়ের না আই রাইনছিলিয়্যান কইরে ন আইচ্চা রাইন সে সুন করি দায় নইছা তুই হিয়াররে খাইছে কাডা আমকে বরছোইন কেউক েশে মম্মা ভালো অইছে তো একে এগিনকা যে নতুন মাইনছে রাইনছে
valid_sandwip (6).wav,হমার মজো ইসে তো মজা অইসেো এন্নে হেগিন পালা জানে রান্দনের রান্দনের সিস্টেম জানে তো আঙ্গো এরগুন্তো সূৈইন্য কই আমনের কগন তো মু কম আর বেশি জানে আঙগা কিন্তু কিচ্ছু জানে না মুন্নি া রান্দাবাড়িল কপের গ ওগল গোস্ত ব্যাক নাইতে যান
valid_sandwip (7).wav,ও এক্কানা বাড্ডা মাস্টার্সে এগিন এক্কানা কুতটা কুডে নাজে হেগিনে যেক্কানা আইয়া হগিন অবা আমরা কুইততা মারি না হিমু কত্তে কতফু অনেকেনকিলা ডেখছির নাতে তোলা রেখছিননো   কারো নানিনা হরি দেখা ছেমনে সুন্দর
valid_sandwip (8).wav,এন্নে কাম বাড়িক্কানো যে ইয়যান করবিন সুন্দ  যে কাম কর না কাম কি সুনদ আগে তোয়র খাউকি বাড়িক্ানে তো আম কাআমা সম দর  না এমনেই কি ক ক অং কা হিয়ান চিন্তা কইরা আনেকের মন্তু এক্কানা আজগানা করছে দইশারখান আঙগে কিন্তু হিয়ানও নাই
valid_sandwip (9).wav,তো এই আগাইরে কউকাইরা হুনরে এগুনেরে কযেমনে কিরমু আর মানি কোনো চিন্তা কইরলে ওইজনে হরা লেখাও করে না হরা লেখা হড়া লেখার মতো কইললে আরে এক্কারে যে বিয়া শাদী দি তুমু হেরকুম চিন্তা ভাবনাও নাই হরালেখার মতো হরা লেখা করি হরা লেখার মতো হরা লেখা অতাও নাই
valid_sandwip (10).wav,হরালেখার মতো হরা লেখা থাকলে অইন্য গিছুলেই চিন্তা করোর লাগে না হোলাইনের আননে যেগুনের ভিতরে হড়ালেখাটাই খাইল্লা ভিত্তরে থাকে জীবনের লাইন অইতে অইবো হরা লেখা খইত্তে অইবো হেগুন ঝামি লেখাকানা কোনো কিছু আর হিয়াই উগ্গা বুইজ্জেন না আপ তন আরো এক বছর খানিকের বড়
valid_sandwip (11).wav,অবো বিয়ো অনো সরকারি চাকরি করে আংগোো জিেমনিকনা কইন্চে উক্কু আনগখনিএর হোননে মোবাইলে আত্তই দিছো থন মোটি করে ক্কা দিবু একন এক্কেরে এ কই ধনু কই কুকনা রুকনা লম্বা টম্বা দেকিন একইরতো আর্থ অইছে যে কিয়া জানহ
valid_sandwip (12).wav,ফোলার মারা হোলা মাইয়ার মারা আইয়ারা আইয়া করি আক্তা দিয়া লাইছে অন আবার তে আলেতো আনতালি বম জামাই আবে লেখা গইলো গিছে  এরদিন কঅইছে আইতো না অন দেহের না আত্তে অই গেছে গন ইতে আ গলো গেছে তাম পো মাইয়ের সামনে বরিককান জামাইয়া ইরে বাইহি কিা ছরুক্কা অবেন টোলডের্তে হরজল
valid_sandwip (13).wav,মন রে বিয়ের হরে হরন বউত কষ্টের ব্যাফার বুইজ্জেন নে শুধু কষ্ট নো খাইল্লা যে কষ্ট হিয়ান না হিয়ার হরে কতরখমের যে সমস্যা মোকাবেলা করন লাগে কতরখমের কতখ কতা হুনুন লাগে কত কিছু ইয়যওন লাগে
valid_sandwip (14).wav,মুনিয়ার কতা হরিক্কা দিবের কথা আ্গো বিতিননা এগুনে কও আন্নে যাবা কেনাত গানা ধোকাছে আইচ্ছা এক্কারে বুঝিনা হিয়ানো কি ে এই এই জাগা ইয়ানা আঁই ঘুরে আইছি বুজজেন না আঁই জানি এগুন হেতো শক্ত মানুষ নয়
valid_sandwip (15).wav,এগিন ইয়া অইতে অইলে ফড়ালেখারবযফারে বউত বেশি জিত থাকুন লাগে ভিতরে বউত বেশি জিত হুরা দুইনয়াদারি বেগগিন একফাশে থুই হড়ালেখার এক পাশে রাকন লাগে কোনো হড়ালেখা বেশি ঘইত্তো নো এই হরিক্কা কেন্দানের্লাই দুইনিয়া দারি এক কিনারে রাখনের কোনো দরকার নাই
valid_sandwip (16).wav,এক্কারে বযকের কাছে মষকার উিজান লাগে  অতো জীবনে একসময় কামাইয়ে কজীবনে একসময় কামাইয়ে কিন্তু
valid_sandwip (17).wav,আনের ওই যে এ যে সময় আনের ফুরা দুনিয়ার কাছে খারাপ হইযা হিয়ান সহাহ্য করন বউত খষ্ট মনিা গুন হেতো শক্ত মানুষ হেগুনের দাঁড়াইয নাইনো আর এমনে খাইল্লাইমি এট্টি খরি কালা আর কিত্ত কত
valid_sandwip (18).wav,এখন যে এই যোগাই যোগে মেট্টি করি চাল কচতিবানে ব্যাংকের বিয়ে অইয়ালে কেঅরে আর হইত্তে দিতোনো তহন কতো খই মেথ্তি শেষ করি বিয়া দিলে হিয়ার রে ওরেরা আর এই কথা কইতো নো যে আইয় হস কর
valid_sandwip (19).wav,আই হাস করো এ খইতো না তোমরা তাউগে মাংসন মাংস ককি দান্দা কইততাছে আতার মানুষা নানে যে ইসেবে খারাপ ক লিয়া যাওরো টাখে যাতে ছাড়া হড়া লেখাত তো ভালা
valid_sandwip (20).wav,আনের মেধাবী মানি অসম্ভব ম্যাধাবী অসম্ভব মযধাবী আনে খালি হাস কইরলে ধওতো না আঁই তো হইতেত্তে হাস হাশা করি না হ হাইস দিগির মু হাসতো অঙকা ব্যাকে করি েলা হাস তো ব্যাকে করি এলা হেতে হিয়ে রকুম হাস কইরলে অইবোনে
valid_sandwip (21).wav,তে হাস কইর্লে হাসের মতো হাস কইত্তে অইবো এেহন হাস কইর্লে কামাইতো অনুরযায় হা বা না দশজন হাসতেবো য় মহরদ্দ লাইয়েরে বইবিন্দাইও কিনু মদদাে এরে আইজ্জা বিন্দামু কাইলকি আননের  নাকে কানে যে কিন্তু মেয়েগিনা যাইয়ইবো
valid_sandwip (22).wav,হো হই ডুবাইয়াবহেগে কিত্তা বুদরু  রা ্না আকি একজরা বানা দন যনি কিন হুমা ফুনাইচ্ছে রা ছিড়ি বেরে না ও আংটিয়ে হতি ইরা নওজনের আইং টিবুজ্জেন্নে দিছি হাতি দিছি হইলে লাভ দিযে উছে কাঁচা ঘরের মাড়ির ঘরে ফিঁয়া নে বাটির ঘরে থাইকতের কথা
valid_sandwip (23).wav,ওছের ওই আরার লগে আরা দরছে আরা দড়ি লট কি তো যাই তো আর আর হিয়ানের মইদ্দে হেরা খুব গাইছলে হেরাগের লগে দিছে আংকিরে আমি গাই এবের আইটি তো বউত দবছ ন বিদেশি আংকি চিন না আইলে এ ডানরো না বিদেশি আঙকি
valid_sandwip (24).wav,অল আংতি ঠিক বে ওই গেছোবই এই বেত কন এদ্দা বেডির কান্ডো হরা আঁই আন তুই বাজার লইযাই আবার ই বেটারা কিের একগর বিতরে ঢুম তা বাদে ইতো শিইদা করি দিছেনা মিননে জেনব দিন্ডা দি রমযকি কছেড়া বাংাদন
valid_sandwip (25).wav,গাগে মরি আর এইডা উইরে এতা তরি ভিচে  আইগিলে আরেক খত ই দিলে কঅন তো আরে মর্দুব নতুন না খাইলা সামনে দি থাইকলে ও মানে নিচে দি থাইকলে ওইমানে  হয়া আর কি ক মুইনিয়োরোত আকটিকগো ভাইঙ্গি গেছে কিবলে তে হিয়া আর আগের দুগা দি আই ওয়াআন্নে জগা দেকি গেরছি দিছে যা মানে
valid_sandwip (26).wav,আনটে দুবারি কানা মারি কানি তোরা বাঙায় দুদেশ আছ মাপা অইলো অ ক মুনিয়ে মুননের্তে কিবেলা মুনির কানে যাগুন হেগুম সুন্দর লাগে গানা মাইরকি হির কানে যাইবুনা চেব অংকা কানে যাইবুনাছেলিিশেম
valid_sandwip (27).wav,একজরা বানাইদেইন দিবে যেগুন ভালা লাগে হেইতে হেগুন কানে দিবো যে হেগুন ভানো লাগে হেগুন দিবো নাহইলে বানাইয় নালে হেগুন ভালা লাইগলে হেগুন দিবো ন বিশি উইয়ও বাঙ্গালাইতো আরেনটি আরুক্ছে যে কইছে কিমল কইয়া আত্তে সুন্দর লাগে
valid_sandwip (28).wav,তোই সুন্দর লাগে কনে রাখছি ছকেন্নেগে খুগই ভাঙ্গিয়েরে ইয় অই গেছে বে যায়ে যে ভাঙ্গিয়ে লাখছি কেননে কিম বাঙ্গি বনোান যায় ব্যানেন্স দিশি
valid_sandwip (29).wav,াইহনোওইেআয়েদুবা্গাই বাইতে ওই দু িয়ারেলেয়েলো েছেগুলােককাা া বিয়াকিছু লগে লাা আরক্যা আরকরেেু ভাইআনেরি ি বা য় র আই বাঙ্গাই তু যাবা না লাইছি সেগুন বাঙ্গাই তো যাবা নাক বার ভাইয়ের বয়র বিয়ের দিচে  বার চার বিয়রছেরদিবা বিয়ের দি বিয়ের দিবা দরতে দিি
valid_sandwip (30).wav,এক্কারে ভগে তারতিইয়া খাল্লে হিয়ার মথারাই না সমস্তযগি আগে চারির লগে লাগলো চলছি হরে বইছা চিরি দয়েছেো পর জিনিস সুন্দর লাইগতু খান্লা রে বিদেশেত থাঙ্গেি
valid_sandwip (31).wav,বেশিগুন হরে তো মাচ্ছে নাত হইে তোমার ব্যানশল ােলাি কথাা যে লানিন ডাছেআ লাল কইর জিগা যদি আবার জুতাইছো না বিদেশি আস্টায়না আচ্ছে া ব শেকেল য়ে চেেন বোকগার
valid_sandwip (32).wav,ইয়ে স্বন্ডের দাম বাইচ্চের বে বেশি লেশি অ অংকা তো আরও বউত বেশি নআ অঙ্কা বড় অং চেহানব্বই হাজার টিহয়া লাগে না বিরানব্বই হাজার টিয়া হেসঙ্গা আনের বাষট্টি হাজার টিয়া অইছের বেচি লেছি
