,path,sentence,audio_length,wer_wav2vec
0,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (104).wav,মুই সকল ধরনের গান হুনি খালি বলিউডের হিন্দি গান ঢালিউডের বাংলা গান আর টলিউডের ভারতীয় বাংলা গান শুনি না,15.324,0.0
1,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (111).wav,লেড জেপেলিন নামের একটা গানের প্রথম ভোকালিস্ট এ বেডার গান এত্তো সুন্দর গলা এত্তো সুন্দর যে কী আর কমু,15.46,0.0
2,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (116).wav,এই ব্যান্ডের গান খুব বাল্লাগে তাগো সারাবেলা বন্দ জানালা ক্যাফেটেরিয়া ক্যাফেটেরিয়া সারাবেলা বন্দ জানালা,15.776,0.0
3,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_barishal (117).wav,আ উড়ছে ঘুড়ি ইচ্ছে ঘুড়ি তারপর এইসব গান ভাল্লাগে এছাড়া আরও কিছু ব্যান্ড আছে যেই ব্যান্ডগুলার গানও আমার এক্কালে ভাল্লাগে,19.776,0.0
4,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_chittagong (220).wav,তো শুরু খরির আমাকে আমার মতো থাকতে দাও আমি নিজেকে নিজের মতো গুছিয়ে নিয়েছি,15.78,0.0
5,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (913).wav,ই নাম্বার খার আমারে কল দিতাছে,16.288,0.0
6,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_kishoreganj (301).wav,দেহুইন নাকি কিছু,19.744,0.0
7,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_kishoreganj (676).wav,তে উলু সহ সব পারে না হ গাড়ির যে শব্দ,15.172,0.0
8,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narail (363).wav,ইডা ওই হসপিটালে খালি জামাই একা রইছে নেই,15.776,0.0
9,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narail (753).wav,আফনার জন্ম কতো সালে জানু,16.292,0.0
10,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1525).wav,ফড়ানির খেত্রে তখন আরো অন্যরখম আরেখটা অবিজ্ঞতা ইটা অইলো গিয়া তোর বাসাত যাওয়ার ফরে বুঝা গেলো আসলে মানুষ যে অনেখ রখমের অয় বা মানুষের মানসিকতা,21.212,0.0
11,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1045).wav,আপনে বলবেন হইলো সুন্দর সুন্দর হুম ও ঢক ঢক,15.876,0.0
12,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (665).wav,কালকে সকালে যাই হ্যাঁ,16.484,0.0
13,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (999).wav,এরপর আছে মধুপুরের রাবার বাগান টাঙ্গাইলের মধুপুরের পীরগাছায় এই রাবার বাগানটি অবস্থিত মেলা বড় বড় গাছ নিয়া এই বাগানটি তৈরি হইছে,15.236,0.0
14,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_narsingdi (253).wav,এগুলা খুব ভালো অনেক বড় বড় অনেকগুলা আছে অনেক বড় বড় মসজিদ আছে মন্দির কালী মন্দিরগুলা অনেক বড় পরে যে অ অনেকগু অ অনেক পুরান পুরান মসজিদও আছে অনেক আগের রাজারার আমলের,16.26,0.03125
15,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_habiganj (385).wav,মিছিল খরতে খরতে একটা সময় আমরা গেছিগা আমরার পতিপক্ষ সাফোর্টার যেরা আছিলো আর্জেন্টিনা দলের সাফোর্টারের খয়েকজন মাইনষের বাড়ির দারে ওই বাড়ির দারে যাওয়ার ফরে দেখা যায় আমরা যখন মিছিল দিতাছিলাম,15.364,0.0333333333333333
16,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1216).wav,তো মুটামুটি বেশ অনেখ জাগাত গেছি সিলেটোর দেখা যায় তাইনো খুব ইয়ো খরোইন চলো আমরা গুরাত যাই কুনু জাগাত আর আমি তো সবসময় আছি তো তান যেহেতু বাইক আছে বাইকে,15.172,0.0333333333333333
17,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (1007).wav,হাটে আনারস নিয়া আসা হয় অনেক দূর থেকে ক্রেতারা আনারস কিনতে এনে আহে টাঙ্গাইলে আরো একটা বিখ্যাত স্থাপনা আছে সেটা হইলো বঙ্গবন্ধু সেতু যা যমুনা সেতু নামেও বেশি পরিচিত,15.428,0.0344827586206896
18,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_tangail (976).wav,এসব জায়গায় ভ্রমণ পিপাসুরা নির্মল কিছু আনন্দের মুহূর্ত কাটায় এসব ঘোরাঘুরির জায়গার মধ্যে মহেড়া জমিদার বাড়ি বিখ্যাত এই মহেড়া জমিদার বাড়ি টাঙ্গাইল সদর থিক্যা প্রায় আঠারো মাইল পূর্বে,15.14,0.0357142857142857
19,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (1612).wav,অনেক খতা ওইছিল কিন্তু তারা কিতা খরতে ফারছে না এসময় রাইত ফুরা রাইত তো অন্দকার অনেক খতা ওইছিল তোর কিন্তু কিতা খরতে ফারছে না আগে,15.008,0.04
20,/kaggle/input/ben10/ben10/16_kHz_train_audio/train_sylhet (2686).wav,আছে মুটামুটি অতো বালাও নায় ফড়রাম তো দেখা যাক কিতা অয় ফিউচারে কিতা খরার ইচ্ছা আছে ফিউচারে আগে এইচএসসি দেই দেওয়ার ফরে দেখা যাউক,16.416,0.0416666666666666
