,word,ipa
0,পুরাতন,puɾɐt̪ɔn
1,ট্রাক,tɾɐk
2,স্ট্যান্ডে,stɐnde
3,হায়দার,hɐʲd̪ɐɾ
4,মোল্যার,মোল্লার
5,মেশিনারিজ,meʃɪnɐɾɪz
6,যন্ত্রাংশের,ɟɔnt̪ɾɐŋʃeɾ
7,একটি,ektɪ
8,দোকান,d̪okɐn
9,রয়েছে।,ɾoʲecʰe।
10,শ্রীলংকার,শ্রীলঙ্কার
11,সমর্থকরা,ʃɔmɔɾt̪ʰokɾɐ
12,যদিও,ɟod̪ɪoː
13,তাদের,t̪ɐd̪eɾ
14,টেস্ট,test
15,অধিনায়কের,od̪ʱɪnɐʲokeɾ
16,এ,e
17,মন্তব্যের,mɔnt̪obbeɾ
18,পর,pɔɾ
19,ইন্টারনেটে,ɪntɐɾnete
20,রসিকতা,ɾoʃɪkɔt̪ɐ
21,শুরু,ʃuɾu
22,করেছেন।,koɾecʰen।
23,এমপি,empɪ
24,হলে,hole
25,পেট্রুলপাম্প,পেট্রোল
26,করে,koɾe
27,দেবেন।,d̪eben।
28,একারণে,ɛkɐɾone
29,নৈতিক,noɪ̯t̪ɪk
30,শৃংখলা,শৃঙ্খলা
31,ভঙ্গের,bʱoŋgeɾ
32,অভিযোগে,obʱɪɟoge
33,শিক্ষক,ʃɪkkʰɔk
34,সাময়িক,ʃɐmoʲɪk
35,বরখাস্ত,bɔɾkʰɐst̪o
36,করা,kɔɾɐ
37,হয়েছে।,hoʲecʰe।
38,দুজনই,d̪uɟɔnɪ͡e̯
39,এলবিডব্লিউয়ের,lbɪdoblɪ͡u̯ʲeɾ
40,ফাঁদে,pʰɐ̃d̪e
41,পড়েন।,pɔɽen।
42,ইতিমধ্যে,ɪt̪ɪmotd̪ʱe
43,পরীক্ষা,poɾɪkkʰɐ
44,গ্রহণের,gɾohoneɾ
45,সকল,ʃɔkol
46,প্রস্তুতি,pɾost̪ut̪ɪ
47,সম্পন্ন,ʃɔmponno
48,আবেদনপত্র,ɐbed̪ɔnpɔt̪ɾo
49,পাঠানো,pɐtʱɐno
50,যাবে,ɟɐbe
51,এসএমই,eʃemɪ
52,ফাউন্ডেশনের,pʰɐu̯ndeʃoneɾ
53,ঢাকা,dʱɐkɐ
54,অফিসের,ɔpʰɪʃeɾ
55,ঠিকানায়,tʰɪkɐnɐe̯
56,অথবা,ɔt̪ʰobɐ
57,ই-মেইল,ɪ-meɪ̯l
58,[email,[
59,protected]এ,]e
60,ঠিকানায়।,tʰɪkɐnɐe̯।
61,এরপর,eɾpɔɾ
62,ডাউনলোড,dɐu̯nlod
63,লিংক,lɪŋk
64,জেনারেট,ɟenɐɾet
65,বাটন,bɐton
66,দেখাবে।,d̪ekʰɐbe।
67,তারপর,t̪ɐɾpɔɾ
68,সেখানে,ʃekʰɐne
69,অপশনে,ɔpʃone
70,গিয়ে,gɪʲe
71,-এ,-e
72,ক্লিক,klɪk
73,নাম,nɐm
74,টাইপ,tɐɪ̯p
75,করলেও,koɾleo̯
76,খসড়া,kʰɔʃɽɐ
77,মেইলটি,meɪltɪ
78,সংরক্ষিত,ʃɔŋɾokkʰɪt̪o
79,হয়ে,hoʲe
80,যাবে।,ɟɐbe।
81,সেই,ʃeɪ̯
82,সঙ্গে,ʃɔŋge
83,প্রতিষ্ঠানের,pɾot̪ɪʃtʱɐneɾ
84,বিজ্ঞাপনের,bɪggɐponeɾ
85,স্লোগান,slogɐn
86,মুক্তিযুদ্ধে,mukt̪ɪɟud̪d̪ʱe
87,প্রথম,pɾot̪ʰom
88,সশস্ত্র,ʃɔʃost̪ɾo
89,প্রতিরোধ,pɾot̪ɪɾod̪ʱ
90,কারা,kɐɾɐ
91,গড়ে,goɽe
92,তোলেন?-ইস্ট,t̪olen?-ইস্ট
93,বেঙ্গল,beŋgol
94,এরপরও,eɾpɔɾo
95,তারা,t̪ɐɾɐ
96,বকেয়া,bɔkeʲɐ
97,পরিশোধ,poɾɪʃod̪ʱ
98,করেনি।,kɔɾenɪ।
99,আগে,ɐge
100,সুইস,suɪ̯s
101,ব্যাংকে,bɛŋke
102,জমা,ɟɔmɐ
103,টাকার,tɐkɐɾ
104,কোনো,kono
105,প্রতিবেদন,pɾot̪ɪbed̪ɔn
106,প্রকাশ,pɾokɐʃ
107,হতো,hot̪o
108,না।,nɐ।
109,আদালত,ɐd̪ɐlɔt̪
110,প্রতিষ্ঠানটি,pɾot̪ɪʃtʱɐntɪ
111,সিলগালা,sɪlgɐlɐ
112,দেয়।,d̪ee̯।
113,রায়ে,ɾɐe
114,দোষী,d̪oʃɪ
115,সাব্যস্ত,ʃɐbbost̪o
116,হলেও,holeo̯
117,সাজা,ʃɐɟɐ
118,আগামী,ɐgɐmɪ
119,সোমবার,ʃombɐɾ
120,ঘোষণা,gʱoʃonɐ
121,হবে,hɔbe
122,বলে,bole
123,এক,ɛk
124,প্রতিবেদনে,pɾot̪ɪbed̪ɔne
125,জানিয়েছে,ɟɐnɪʲecʰe
126,এনডিটিভি।,endɪtɪbʱɪ।
127,গ্রেফতারের,gɾepʰt̪ɐɾeɾ
128,থেকে,t̪ʰeke
129,বাঁচাতে,bɐ̃cɐt̪e
130,এলাকার,elɐkɐɾ
131,প্রভাবশালীরা,pɾobʱɐbʃɐlɪɾɐ
132,থানায়,t̪ʰɐnɐe̯
133,তদবির,t̪od̪bɪɾ
134,করে।,koɾe।
135,দাম্পত্য,d̪ɐmpot̪t̪o
136,জীবনে,ɟɪbone
137,দুটি,d̪utɪ
138,কন্যাসন্তান,konnɐʃɔnt̪ɐn
139,হয়।,hɔe̯।
140,তিনি,t̪ɪnɪ
141,ধরনের,d̪ʱɔɾoneɾ
142,উদ্যোগ,ud̪d̪og
143,জন্য,ɟonno
144,আয়োজকদের,ɐʲoɟkd̪eɾ
145,ধন্যবাদ,d̪ʱonnobɐd̪
146,জানান,ɟɐnɐn
147,এবং,eboŋ
148,মেলার,mɛlɐɾ
149,সাফল্য,ʃɐpʰollo
150,কামনা,kɐmonɐ
151,করেন।,kɔɾen।
152,এলাকাবাসী,elɐkɐbɐʃɪ
153,"জানান,","ɟɐnɐn,"
154,যমুনা,ɟomunɐ
155,নদীতে,nod̪ɪt̪e
156,ড্রেজার,dɾeɟɐɾ
157,মেশিন,meʃɪn
158,দিয়ে,d̪ɪʲe
159,তোলা,t̪olɐ
160,বালু,bɐlu
161,বহনকারী,bɔhonkɐɾɪ
162,নৌকার,nou̯kɐɾ
163,মাঝি,mɐɟʱɪ
164,ছিলেন,cʰɪlen
165,সন্টু।,ʃɔntu।
166,চেক,cek
167,পোস্টে,poste
168,পৌঁছতেই,pẽcʰt̪e͡ɪ̯
169,ইস্রাফিলকে,ɪsɾɐpʰɪlke
170,আটক,ɐtok
171,তার,t̪ɐɾ
172,কাগজপত্র,kɐgoɟpot̪ɾo
173,চাওয়া,cɐo̯ʷɐ
174,চিৎকারে,cɪt̪kɐɾe
175,বাড়ির,bɐɽɪɾ
176,অন্যরা,onnoɾɐ
177,ছুটে,cʰute
178,এসে,eʃe
179,জানালা,ɟɐnɐlɐ
180,ভাঙা,bʱɐŋɐ
181,ও,o
182,গ্রিল,gɾɪl
183,খোলা,kʰolɐ
184,অবস্থায়,ɔbost̪ʰɐe̯
185,পড়ে,pɔɽe
186,থাকতে,t̪ʰɐkt̪e
187,দেখেন।,d̪ɛkʰen।
188,মামলাটি,mɐmlɐtɪ
189,সিআইডিকে,sɪɐ̯ɪdɪke
190,তদন্তের,t̪ɔd̪ont̪eɾ
191,নির্দেশ,nɪɾd̪eʃ
192,দিলেও,d̪ɪleo̯
193,বছরেরও,bɔcʰoɾeɾo
194,বেশি,beʃɪ
195,সময়,ʃɔmɔe̯
196,ধরে,d̪ʱoɾe
197,সম্পৃক্ততার,ʃɔmpɾɪkt̪ot̪ɐɾ
198,তথ্য,t̪ot̪t̪ʰo
199,খুঁজে,kʰũɟe
200,পায়নি।,pɐʲnɪ।
201,বিদেশে,bɪd̪eʃe
202,অবস্থান,ɔbost̪ʰɐn
203,দেশকে,d̪eʃke
204,অচল,ɔcɔl
205,দিতে,d̪ɪt̪e
206,চাচ্ছেন।,cɐccʰen।
207,এই,eɪ̯
208,বই,boɪ̯
209,রাজনৈতিক,ɾɐɟnoɪ̯t̪ɪk
210,নেতাকর্মীদের,net̪ɐkoɾmɪd̪eɾ
211,পথচলায়,pɔt̪ʰoclɐe̯
212,পাথেয়,pɐt̪ʰeʲo
213,স্বরূপ।,ʃɔɾup।
214,অবস্থার,ɔbost̪ʰɐɾ
215,অবনতি,ɔbonot̪ɪ
216,দেখে,d̪ekʰe
217,কর্তব্যরত,kɔɾt̪obboɾɔt̪o
218,চিকিৎসক,cɪkɪt̪ʃɔk
219,উন্নত,unnɔt̪o
220,চিকিৎসার,cɪkɪt̪ʃɐɾ
221,মেডিকেল,medɪkel
222,কলেজ,kɔleɟ
223,হাসপাতালে,hɐʃpɐt̪ɐle
224,প্রেরণ,pɾeɾon
225,করলে,koɾle
226,রাস্তায়,ɾɐst̪ɐe̯
227,নবজাতকটি,nɔboɟɐt̪ktɪ
228,মারা,mɐɾɐ
229,যায়।,ɟɐe̯।
230,পাকিস্তানের,pɐkɪst̪ɐneɾ
231,অনুরাগীদের,onuɾɐgɪd̪eɾ
232,মুখের,mukʰeɾ
233,হাসির,hɐʃɪɾ
234,রেখা,ɾekʰɐ
235,মিলিয়ে,mɪlɪʲe
236,যেতে,ɟet̪e
237,দেবে,d̪ebe
238,বগুড়া,bɔguɽɐ
239,নওগাঁগামী,nogɐ̃gɐmɪ
240,দ্রুতগতির,d̪ɾut̪ɔgot̪ɪɾ
241,বাস,bɐs
242,পেছন,pecʰon
243,ইজিবাইককে,ɪɟɪbɐ͡ɪ̯kke
244,ধাক্কা,d̪ʱɐkkɐ
245,প্রকল্প,pɾokɔlpo
246,বাস্তবায়ন,bɐst̪obɐʲon
247,আধুনিক,ɐd̪ʱunɪk
248,শিক্ষার,ʃɪkkʰɐɾ
249,সমন্বয়,ʃɔmɔnnɔe̯
250,রেখে,ɾekʰe
251,মাদ্রাসা,mɐd̪ɾɐʃɐ
252,শিক্ষা,ʃɪkkʰɐ
253,ব্যবস্থার,bɛbost̪ʰɐɾ
254,আধুনিকীকরণ,ɐd̪ʱunɪkɪkɔɾon
255,হবে।,hɔbe।
256,বুধবার,bud̪ʱbɐɾ
257,সকালে,ʃɔkɐle
258,জিঞ্জিরাম,ɟɪnɟɪɾɐm
259,আধা,ɐd̪ʱɐ
260,কিলোমিটার,kɪlomɪtɐɾ
261,দক্ষিণে,d̪okkʰɪne
262,লাশ,lɐʃ
263,উদ্ধা,ud̪d̪ʱɐ
264,বঙ্গবন্ধু,bɔŋgobond̪ʱu
265,শেখ,ʃekʰ
266,মুজিবুর,muɟɪbuɾ
267,রহমানকে,ɾɔhomɐnke
268,দেশের,d̪eʃeɾ
269,অনেক,ɔnek
270,বড়,bɔɽo
271,নেতা,net̪ɐ
272,অভিহিত,obʱɪhɪt̪o
273,"বলেন,","bɔlen,"
274,জিয়াউর,ɟɪʲɐu̯ɾ
275,রহমানও,ɾɔhomɐno
276,নেতা।,net̪ɐ।
277,এখন,ɛkʰon
278,কী,kɪ
279,হবে-,hɔbe-
280,জানতে,ɟɐnt̪e
281,চাইলে,cɐɪ̯le
282,প্রকাশে,pɾokɐʃe
283,অনিচ্ছুক,ɔnɪccʰuk
284,ইসি,ɪsɪ
285,কর্মকর্তারা,kɔɾmokɔɾt̪ɐɾɐ
286,কমিশন,kɔmɪʃon
287,বসে,boʃe
288,সিদ্ধান্ত,ʃɪd̪d̪ʱɐnt̪o
289,নেবে।,nebe।
290,আমার,ɐmɐɾ
291,শেষ,ʃeʃ
292,প্রতিযোগিতা,pɾot̪ɪɟogɪt̪ɐ
293,বাড়তি,bɐɽt̪ɪ
294,চাপ,cɐp
295,নিতে,nɪt̪e
296,চাই,cɐɪ̯
297,তবে,t̪ɔbe
298,পালিয়ে,pɐlɪʲe
299,আসা,ɐʃɐ
300,লোকজন,lokɟɔn
301,স্থানীয়রা,st̪ʰɐnɪʲoɾɐ
302,"বলছেন,","bolcʰen,"
303,সহিংসতা,ʃɔhɪŋʃot̪ɐ
304,অব্যাহত,ɔbbɛhɔt̪o
305,আছে।,ɐcʰe।
306,সে,ʃe
307,সূত্র,ʃut̪ɾo
308,একমাত্র,ɛkmɐt̪ɾo
309,মেয়েকে,meʲeke
310,নিয়ে,nɪʲe
311,মামলায়,mɐmlɐe̯
312,জড়ান,ɟɔɽɐn
313,দম্পতি।,d̪ɔmpot̪ɪ।
314,খালেদা,kʰɐled̪ɐ
315,জিয়ার,ɟɪʲɐɾ
316,ভূমিকা,bʱumɪkɐ
317,জঙ্গি,ɟɔŋgɪ
318,কর্মকাণ্ডকে,kɔɾmokɐndoke
319,উৎসাহিত,ut̪ʃɐhɪt̪o
320,করছে।,koɾcʰe।
321,ব্যাপারে,bɛpɐɾe
322,বিস্তারিত,bɪst̪ɐɾɪt̪o
323,কিছু,kɪcʰu
324,জানানো,ɟɐnɐno
325,হয়নি।,hɔʲnɪ।
326,তদন্ত,t̪ɔd̪ont̪o
327,কমিটির,kɔmɪtɪɾ
328,একাধিক,ɛkɐd̪ʱɪk
329,সদস্য,ʃɔd̪oʃʃo
330,যুগান্তরকে,ɟugɐnt̪ɔɾke
331,বিষয়টি,bɪʃɔʲtɪ
332,নিশ্চিত,nɪʃcɪt̪o
333,এছাড়া,ecʰɐɽɐ
334,আরো,ɐɾo
335,অভিনয়,obʱɪnɔe̯
336,করেছেন,koɾecʰen
337,পার্থ,pɐɾt̪ʰo
338,"বড়ুয়া,","boɽuʲɐ,"
339,গাউসুল,gɐ͡u̯ʃul
340,আলম,ɐlom
341,"শাওন,","ʃɐon,"
342,এজাজ,eɟɐɟ
343,"বারী,","bɐɾɪ,"
344,হীরা,hɪɾɐ
345,"চৌধুরী,","cou̯d̪ʱuɾɪ,"
346,সোহেল,ʃohel
347,প্রমুখ।,pɾomukʰo।
348,আমি,ɐmɪ
349,অনেকগুলো,ɔnekgulo
350,ইসলামী,ɪslɐmɪ
351,দলকে,d̪ɔlke
352,ঐক্যবদ্ধ,oɪ̯kkobɔd̪d̪ʱo
353,হওয়ার,hoʷɐɾ
354,আহ্বান,ɐhobɐn
355,জানিয়েছিলাম।,ɟɐnɪʲecʰɪlɐm।
356,ডাক-চিৎকারে,dɐk-cɪt̪kɐɾe
357,আশপাশের,ɐʃpɐʃeɾ
358,এগিয়ে,egɪʲe
359,এলে,ele
360,প্রতিপক্ষের,pɾot̪ɪpɔkkʰeɾ
361,হত্যার,hot̪t̪ɐɾ
362,হুমকি,humkɪ
363,বিক্ষুব্ধ,bɪkkʰubd̪ʱo
364,তাকে,t̪ɐke
365,গণপিটুনি,gɔnopɪtunɪ
366,পুলিশে,pulɪʃe
367,সোপর্দ,sopɔɾd̪o
368,চেয়ারম্যান,ceʲɐɾmɛn
369,সচিবের,ʃocɪbeɾ
370,পদ,pɔd̪
371,শূন্য,ʃunno
372,থাকায়,t̪ʰɐkɐe̯
373,শারীরিকভাবে,ʃɐɾɪɾɪkbʱɐbe
374,অসুস্থ্য,ɔʃust̪ʰo
375,নিয়ন্ত্রক,nɪʲont̪ɾok
376,তোফাজ্জুর,t̪opʰɐɟɟuɾ
377,পালন,pɐlon
378,করতে,koɾt̪e
379,হচ্ছে,hoccʰe
380,গুরুত্বপূর্ণ,guɾut̪t̪opuɾno
381,তিনটি,t̪ɪntɪ
382,দায়িত্ব।,d̪ɐʲɪt̪t̪o।
383,মাঠে,mɐtʰe
384,গোল,gol
385,করার,kɔɾɐɾ
386,মতো,mɔt̪o
387,কঠিন,kotʰɪn
388,কাজটাকে,kɐɟtɐke
389,রীতিমতো,ɾɪt̪ɪmɔt̪o
390,অভ্যাস,ɔbbʱɐʃ
391,বানিয়ে,bɐnɪʲe
392,ফেলেছেন,pʰelecʰen
393,ব্রাজিলে,bɾɐɟɪle
394,জন্মগ্রহণকারী,ɟɔnmogɾohonkɐɾɪ
395,স্প্যানিশ,spɔɛnɪʃ
396,ফরোয়ার্ড।,pʰɔɾoʷɐɾd।
397,মঙ্গলবার,moŋgolbɐɾ
398,বাদ,bɐd̪
399,জোহর,ɟohoɾ
400,আসর,ɐʃoɾ
401,জানাজা,ɟɐnɐɟɐ
402,শেষে,ʃeʃe
403,বন্দর,bɔnd̪oɾ
404,বনগণ,bɔngɔn
405,কাছেমিয়া,kɐcʰemɪʲɐ
406,দরবার,d̪ɔɾbɐɾ
407,শরীফে,ʃoɾɪfe
408,দাফন,d̪ɐpʰon
409,দীর্ঘদিন,d̪ɪɾgʱod̪ɪn
410,যানজটের,ɟɐnɟɔteɾ
411,কবলে,kobole
412,থাকা,t̪ʰɐkɐ
413,গাজীপুরকে,gɐɟɪpuɾke
414,অনেকটা,ɔnektɐ
415,অভিশাপ,obʱɪʃɐp
416,মুক্তি,mukt̪ɪ
417,সক্ষম,ʃɔkkʰom
418,হন।,hɔn।
419,যা,ɟɐ
420,প্রাচীর,pɾɐcɪɾ
421,দ্বারা,d̪ɐɾɐ
422,বেষ্টিত,beʃtɪt̪o
423,শিশুটিকে,ʃɪʃutɪke
424,উদ্ধার,ud̪d̪ʱɐɾ
425,চমেক,cɔmek
426,যান।,ɟɐn।
427,বিষয়ে,bɪʃɔʲe
428,তেমন,t̪ɛmon
429,কথাও,kɔt̪ʰɐo̯
430,হয়নি,hɔʲnɪ
431,কারও,kɐɾo
432,সঙ্গে।,ʃɔŋge।
433,ঘটনায়,gʱɔtonɐe̯
434,মনুর,monuɾ
435,পক্ষ,pokkʰo
436,অভিযোগ,obʱɪɟog
437,যদি,ɟod̪ɪ
438,তা,t̪ɐ
439,না,nɐ
440,তাহলে,t̪ɐhole
441,বদলি,bod̪lɪ
442,"না,","nɐ,"
443,বিরুদ্ধে,bɪɾud̪d̪ʱe
444,কমিটি,kɔmɪtɪ
445,গঠন,gɔtʰon
446,স্থায়ী,st̪ʰɐʲɪ
447,তহবিল,t̪ɔhobɪl
448,সরকারের,ʃɔɾkɐɾeɾ
449,এককালীন,ɛkkɐlɪn
450,দেয়া,d̪eʲɐ
451,"অর্থ,","ɔɾt̪ʰo,"
452,থাকবে।,t̪ʰɐkbe।
453,কারণ,kɐɾon
454,উচ্চ,ucco
455,আদালতের,ɐd̪ɐlɔt̪eɾ
456,রায়,ɾɐe̯
457,ইরানের,ɪɾɐneɾ
458,কেউ,keu̯
459,হজে,hoɟe
460,অন্য,ɔnno
461,দেশ,d̪eʃ
462,ভিসা,bʱɪʃɐ
463,প্রক্রিয়া,pɾokɾɪʲɐ
464,সৌদি,sou̯d̪ɪ
465,আরব,ɐɾɔbo
466,পারবেন।,pɐɾben।
467,সংগ্রহশালায়,ʃɔŋgɾohoʃɐlɐe̯
468,প্রায়,pɾɐe̯
469,হাজার,hɐɟɐɾ
470,কর্মী,kɔɾmɪ
471,গবেষক,gɔbeʃok
472,নিয়োজিত,nɪʲoɟɪt̪o
473,আছেন।,ɐcʰen।
474,সন্ধ্যা,ʃond̪ʱɐ
475,ঘনিয়ে,gʱonɪʲe
476,যাওয়ার,ɟɐo̯ʷɐɾ
477,পরও,pɔɾo
478,ক্লিনিকের,klɪnɪkeɾ
479,দরজা,d̪ɔɾɟɐ
480,ছিল।,cʰɪlo।
481,আমরা,ɐmɾɐ
482,যুদ্ধ,ɟud̪d̪ʱo
483,শান্তিপূর্ণভাবে,ʃɐnt̪ɪpuɾnobʱɐbe
484,সংকটের,ʃɔŋkɔteɾ
485,সমাধান,ʃɔmɐd̪ʱɐn
486,চাই।,cɐɪ̯।
487,গৃহবধূর,gɾɪhobod̪ʱuɾ
488,মৃত্যুর,mɾɪt̪t̪uɾ
489,বাবা,bɐbɐ
490,এটিকে,etɪke
491,হত্যাকাণ্ড,hot̪t̪ɐkɐndo
492,দাবি,d̪ɐbɪ
493,করছেন।,koɾcʰen।
494,কর্মকাণ্ডে,kɔɾmokɐnde
495,সেটি,ʃetɪ
496,সমর্থন,ʃɔmɔɾt̪ʰon
497,করেন,kɔɾen
498,তিনি।,t̪ɪnɪ।
499,বেঁচে,bẽce
500,থাকার,t̪ʰɐkɐɾ
501,আশা,ɐʃɐ
502,খুবই,kʰubɪ
503,ক্ষীণ।,kʰɪno।
504,গতকাল,gɔt̪okɐl
505,সফল,ʃɔpʰol
506,অফিযানের,opʰɪɟɐneɾ
507,খবর,kʰɔboɾ
508,আসে।,ɐʃe।
509,আবারও,ɐbɐɾo
510,সবাইকে,ʃɔbɐɪ̯ke
511,মনে,mone
512,করিয়ে,koɾɪʲe
513,উইন,u͡ɪ̯n
514,সমীকরণ,ʃomɪkɔɾon
515,যেখানে,ɟekʰɐne
516,পোশাকশিল্পের,poʃɐkʃɪlpeɾ
517,নেপথ্যের,nepot̪t̪ʰkɾ
518,নারীশ্রমিকরা,nɐɾɪsɾomɪkɔɾɐ
519,যোগ্য,ɟoggo
520,অংশীদার।,oŋʃɪd̪ɐɾ।
521,রক্ত,ɾɔkt̪o
522,প্রসূতির,pɾoʃut̪ɪɾ
523,শ্বাসকষ্টে,ʃɐʃkɔʃte
524,মৃত্যু,mɾɪt̪t̪u
525,সৌজন্য,ʃou̯ɟonno
526,সাক্ষাৎ,ʃɐkkʰɐt̪
527,নিয়মিত,nɪʲomɪt̪o
528,বিচার,bɪcɐɾ
529,কার্যক্রম,kɐɾɟokɾom
530,আনন্দ,ɐnond̪o
531,র‌্যালি,ɾɛlɪ
532,বের,beɾ
533,চলতি,colt̪ɪ
534,মৌসুমে,mou̯ʃume
535,কোচের,koceɾ
536,দায়িত্ব,d̪ɐʲɪt̪t̪o
537,কন্তে,kɔnt̪e
538,লুইজকে,lu͡ɪ̯ɟɔke
539,স্ট্যামফোর্ড,stɐmpʰoɾd
540,ব্রিজে,bɾɪɟe
541,ফিরিয়ে,pʰɪɾɪʲe
542,আনেন।,ɐnen।
543,সরকার,ʃɔɾkɐɾ
544,তথ্যপ্রযুক্তি,t̪ot̪t̪opɾoɟukt̪ɪ
545,খাতের,kʰɐt̪eɾ
546,উদ্ভাবনীকে,ud̪bʱɐbonɪke
547,কাজে,kɐɟe
548,লাগিয়ে,lɐgɪʲe
549,দেশে,d̪eʃe
550,আইসিটি,ɐɪ̯sɪtɪ
551,ইনোভেশন,ɪnobʱeʃon
552,ইকোসিস্টেম,ɪkoʃɪstem
553,তুলতে,t̪ult̪e
554,চায়।,cɐe̯।
555,আসামে,ɐʃɐme
556,কত,kɔt̪o
557,লোক,lok
558,"যাচ্ছে,","ɟɐccʰe,"
559,জলের,ɟɔleɾ
560,তোড়ে,t̪oɽe
561,ভেসে,bʱeʃe
562,যাচ্ছে,ɟɐccʰe
563,হিসাব,hɪʃɐb
564,নেই।,neɪ̯।
565,হয়,hɔe̯
