,word,ipa
0,মালিকরাও,mɐlɪkɾɐo̯
1,সাহাবুদ্দিন,ʃɐhɐbud̪d̪ɪn
2,দিয়া,d̪ɪʲɐ
3,স্বপ্নিল,ʃɔpnɪl
4,নায়কদের,nɐʲokd̪eɾ
5,অস্ট্রিয়া,ɔstɾɪɐ
6,মরক্কোয়,mɔɾokkoe̯
7,তিতুমীর,t̪ɪt̪umɪɾ
8,হানার,hɐnɐɾ
9,গফরগাঁওয়ে,gɔpʰoɾgɐ̃oʷe
10,দাবিগফরগাঁও,d̪ɐbɪgɔpʰɔɾgɐ̃o
11,প্রতিনিধিগফরগাঁও,প্রতিনিধি
12,শনিরআখড়া,শনির
13,সমাবেশস্থল,t̪ʰeke
14,দীপেন্দ্রনাথ,d̪ɪpend̪ɾonɐt̪ʰ
15,সিংহ,ʃɪŋho
16,আসতেছে।,ɐʃt̪ecʰe।
17,ওর্তেগা,oɾt̪egɐ
18,প্রতিভার,pɾot̪ɪbʱɐɾ
19,আজমলকে,ɐɟmɔlke
20,রুবি,ɾubɪ
21,পৌঁছেন,poũ̯cʰen
22,ডিএসপি।,dɪe̯spɪ।
23,স্টেডিয়ামপাড়া,stedɪʲɐmpɐɽɐ
24,সেনামৈত্রী,ʃenɐmoɪ̯t̪ɾɪ
25,চক্ষুবিজ্ঞান,cokkʰubɪggɐn
26,কথা-সুর-সঙ্গীত,kɔt̪ʰɐ-ʃuɾ-ʃɔŋgɪt̪
27,টিআইবি,tɪɐ̯ɪ̯bɪ
28,করুক,koɾuk
29,মতই,mɔt̪oɪ̯
30,দুর্নীতিগ্রস্ত,d̪uɾnɪt̪ɪgɾost̪o
31,বিশ্বনাথ-জগন্নাথপুর,bɪʃʃonɐt̪ʰo-ɟgɔnnɐt̪ʰpuɾ
32,ভগিরচক,bʱogɪɾɔcɔk
33,গ্লসি,glɔsɪ
34,ডানবার,dɐnbɐɾ
35,ফরাশগঞ্জ।,pʰɔɾɐʃgɔnɟ।
36,বেদনারও।,bed̪onɐɾo।
37,নির্বাচনেও,nɪɾbɐkoneo̯
38,বাড়িই,bɐɽɪɪ̯
39,কুশিয়ারবাগে।,kuʃɪʲɐɾbɐge।
40,প্রকল্পটির,pɾokɔlpotɪɾ
41,"কেরানীগঞ্জ,","keɾɐnɪgɔnɟ,"
42,রিটেইলাররা,ɾɪteɪ̯lɐɾɾɐ
43,বিএফইউজে,bɪefɪu̯ɟe
44,পারভীন।,pɐɾbʱɪn।
45,হাটবাজার,hɐtbɐɟɐɾ
46,গ্রামগঞ্জের,gɾɐmgɔnɟeɾ
47,খোঁজখুঁজি,খোঁজা-খুঁজি
48,বিকুল,bɪkul
49,ফাটায়,pʰɐtɐe̯
50,কিস্তিতে,kɪst̪ɪt̪e
51,সংগঠনসহ,ʃɔŋgɔtʰonʃɔho
52,গায়েম,gɐʲem
53,এহসান,ehosɐn
54,মাগামির,mɐgɐmɪɾ
55,রিয়াজকে,ɾɪʲɐɟke
56,শিল্পায়নে,ʃɪlpɐʲɔne
57,"এসেছিলেন,","eʃecʰɪlen,"
58,মিইয়ে,mɪɪ̯ʲe
59,তনু।,t̪onu।
60,কতদিনের,kɔt̪od̪ɪneɾ
61,মোরাতাকে,moɾɐt̪ɐke
62,"আবারও,","ɐbɐɾo,"
63,‘নতুন,‘not̪un
64,উচ্ছ্বসিত।,uccʰoʃɪt̪o।
65,যন্ত্রগুলো,ɟɔnt̪ɾogulo
66,টেনিসকেই,tenɪʃkeɪ̯
67,পূর্বমুখে,puɾbomukʰe
68,দ্বার।,d̪ɐɾ।
69,অর্থায়ন,ɔɾt̪ʰɐʲon
70,শিবিরও,ʃɪbɪɾo
71,এশিয়া-প্যাসেফিক,eʃɪʲɐ-ppɐʃepʰɪk
72,"প্রবেশ,","pɾobeʃ,"
73,শেয়ারিং,ʃeʲɐɾɪŋ
74,ছাত্রীসংস্থার,cʰɐt̪ɾɪʃɔŋɔst̪ʰɐɾ
75,সভানেত্রী।,ʃɔbʱɐnet̪ɾɪ।
76,গ্যাম্বলিংয়ের,gɛmblɪŋʲeɾ
77,থার্ডম্যান,t̪ʰɐɾdomɛn
78,"ওপরে,","upoɾe,"
79,সেদিক,ʃed̪ɪk
80,স্কুপ,skup
81,অধিনায়কেরও,od̪ʱɪnɐʲokeɾo
82,"আন্তরিকতা,","ɐnt̪oɾɪkɔt̪ɐ,"
83,নৈতিকতাবোধ।,o
84,এওজবালিয়া,eo̯ɟbɐlɪʲɐ
85,সামা,ʃɐmɐ
86,বদল,bɔd̪ol
87,ঘটাব।,gʱɔtɐbo।
88,ভেতরেই,bʱet̪ɔɾeɪ̯
89,"ওরা,","oɾɐ,"
90,বাইরেও।,bɐɪ̯ɾeo̯।
91,সরবরাহে,ʃɔɾbɔɾɐhe
92,মেহেদীকে,mehed̪ɪke
93,খেলছেন,kʰelcʰen
94,ম্যাচও।,mɛcoː।
95,অভিনেতাকে,obʱɪnet̪ɐke
96,ভক্তই,bʱokt̪oɪ̯
97,শুভাকাক্সিক্ষদের,শুভাকাক্সক্ষীদের
98,সূচি।,ʃucɪ।
99,তাগিদের।,t̪ɐgɪd̪eɾ।
100,রিমাইন্ডারের,ɾɪmɐɪ̯ndɐɾeɾ
101,পৌঁছায়।,poũ̯cʰɐe̯।
102,"হার,","hɐɾ,"
103,চুড়ি,cuɽɪ
104,আংটিসহ,ɐŋtɪʃɔho
105,খোয়াচ্ছে,kʰoʷɐccʰe
106,অবমাননাকর,ɔbomɐnnɐkɔɾ
107,কটূক্তির,kɔtukt̪ɪɾ
108,জানিয়েছি,ɟɐnɪʲecʰɪ
109,বিনিময়ও,bɪnɪmɔʲo
110,মনঃসংযোগ,monʃɔŋɟog
111,ভেঙেছেন,bʱeŋecʰen
112,ক্রিকেটপ্রেমীর,kɾɪketpɾemɪɾ
113,সোলায়মান।,ʃolɐʲmɐn।
114,অতিভক্তি,ot̪ɪbʱokt̪ɪ
115,"ব্যঙ্গ,","bɛŋgo,"
116,নেতৃত্ব।,net̪ɾɪt̪t̪o।
117,সাঝী,ʃɐɟʱɪ
118,শাবল,ʃɐbol
119,"পাঠ,","pɐtʱ,"
120,মুক্তমঞ্চের,mukt̪omɔnceɾ
121,আনুশকার,ɐnuʃkɐɾ
122,অংক,ɔŋko
123,ইতি,ɪt̪ɪ
124,টানেন।,tɐnen।
125,মনোমালিন্য।,mɔnomɐlɪnno।
126,উপকারী,upokɐɾɪ
127,বোঝানো,boɟʱɐno
128,মানুষকে।,mɐnuʃke।
129,বিরোধই,bɪɾod̪ʱɪ
130,জামানকে,ɟɐmɐnke
131,রায়েরবাজার,ɾɐʲeɾbɐɟɐɾ
132,স্মার্টকার্ডে,sɐɾtkɐɾde
133,ডিভাইস।,dɪbʱɐɪ̯ʃ।
134,সঞ্চয়পত্র,ʃɔncɔʲe̯pɔt̪ɾo
135,বেনের,beneɾ
136,ঘণ্টাধ্বনি,gʱɔntɐd̪d̪ʱonɪ
137,মূলভবন,mulbʱɔbon
138,হাড়ের,hɐɽeɾ
139,সংযোগস্থল,ʃɔŋɟogst̪ʰɔl
140,হাঁটু।,hɐ̃tu।
141,"বাগগাঁও,","bɐggɐ̃o,"
142,"ঢালারপাড়,","dʱɐlɐɾpɐɽ,"
143,"নগর,","nɔgoɾ,"
144,"উমরপুর,","umoɾpuɾ,"
145,মোদেরগাঁও,mod̪eɾgɐ̃o
146,যাদুকাটা,ɟɐd̪ukɐtɐ
147,দলনেতা,d̪ɔlonet̪ɐ
148,তপন।,t̪ɔpon।
149,ডেভেলপারদের,debʱelpɐɾd̪eɾ
150,টাকাকে,tɐkɐke
151,ইউএসডিতে,ɪu̯esdɪt̪e
152,জাদিমোড়া,ɟɐd̪ɪmoɽɐ
153,পল্লীসহ,pollɪʃɔho
154,বস্তি,bost̪ɪ
155,ওসাসুনার,oʃɐʃunɐɾ
