word,ipa
এ,e
ও,o
করে,koɾe
করা,kɔɾɐ
তার,t̪ɐɾ
হয়।,hɔʲ।
থেকে,t̪ʰeke
তিনি,t̪ini
নিয়ে,niʲe
হয়েছে।,hoʲecʰe।
সময়,ʃɔmɔʲ
"বলেন,","bɔlen,"
তাদের,t̪ɐd̪eɾ
সঙ্গে,ʃɔŋge
জন্য,ɟonno
একটি,ekti
ওই,o͡i̯
করতে,koɾt̪e
কোনো,kono
না।,nɐ।
হবে।,hɔbe।
না,nɐ
হয়ে,hoʲe
এবং,eboŋ
করেন।,kɔɾen।
এক,ɛk
তাকে,t̪ɐke
তারা,t̪ɐɾɐ
তবে,t̪ɔbe
করে।,koɾe।
দিয়ে,d̪iʲe
এই,e͡i̯
পর,pɔɾ
পুলিশ,puliʃ
বলে,bole
কিন্তু,kint̪u
আর,ɐɾ
দেয়া,d̪eʲɐ
"জানান,","ɟɐnɐn,"
মধ্যে,mod̪d̪ʱe
এর,eɾ
পরে,pɔɾe
করেন,kɔɾen
কথা,kɔt̪ʰɐ
এতে,et̪e
উপজেলার,upoɟelɐɾ
প্রধান,pɾod̪ʱɐn
যায়।,ɟɐʲ।
বিভিন্ন,bibʱinno
গ্রামের,gɾɐmeɾ
দুই,d̪u͡i̯
তা,t̪ɐ
করার,kɔɾɐɾ
সে,ʃe
কাজ,kɐɟ
এসব,eʃɔb
সব,ʃɔb
রয়েছে।,ɾɔʲecʰe।
আরও,ɐɾɔ͡o̯
উপজেলা,upoɟelɐ
শুরু,ʃuɾu
আমরা,ɐmɾɐ
অভিযোগ,obʱiɟog
যে,ɟe
হিসেবে,hiʃebe
আগে,ɐge
বিরুদ্ধে,biɾud̪d̪ʱe
কাছে,kɐcʰe
উদ্ধার,ud̪d̪ʱɐɾ
অনেক,ɔnek
এখন,ɛkʰon
আমাদের,ɐmɐd̪eɾ
হয়,hɔʲ
ছিলেন,cʰilen
কারণে,kɐɾone
রাতে,ɾɐt̪e
জেলা,ɟelɐ
হলে,hole
লাশ,lɐʃ
জানা,ɟɐnɐ
এলাকায়,elɐkɐʲ
মো.,mo.
হবে,hɔbe
বিষয়টি,biʃɔʲti
নেই।,ne͡i̯।
আমি,ɐmi
হাসপাতালে,hɐʃpɐt̪ɐle
আমার,ɐmɐɾ
কিছু,kicʰu
এলাকার,elɐkɐɾ
তিনি।,t̪ini।
হচ্ছে।,hoccʰe।
ধরে,d̪ʱoɾe
সেই,ʃe͡i̯
বৃহস্পতিবার,bɾihospot̪ibɐɾ
বুধবার,bud̪ʱbɐɾ
বিষয়ে,biʃɔʲe
নতুন,not̪un
করেছেন।,koɾecʰen।
আওয়ামী,ɐ͡o̯ʷɐmi
গ্রেফতার,gɾepʰt̪ɐɾ
তাই,t̪ɐ͡i̯
খবর,kʰɔboɾ
হয়েছে,hoʲecʰe
মাধ্যমে,mɐd̪d̪ʱome
স্থানীয়,st̪ʰɐniʲo
