,number,cleaned_number
0,'ঝ-০১০৬৩২৮'।,০১০৬৩২৮
1,(অনূর্ধ্ব-১৬),১৬
2,(অনূর্ধ্ব-২০),২০
3,(অপারেশন-১),১
4,(আন্কাবুত-৪৫),৪৫
5,(এমএইচ-১০২),১০২
6,"(ক্যাটাগরি-০৬),",০৬
7,"(ক্যাটাগরি-০৭),",০৭
8,(ক্যাটাগরি-০৯),০৯
9,(ক্যাটাগরি-১৩)।,১৩
10,(পটুয়াখালী-৪),৪
11,(ভি২০),২০
12,(রেটিং-২৪০৬),২৪০৬
13,(রেটিং-২৫০৩),২৫০৩
14,(১,১
15,(১),১
16,"(১,৩,৪",১৩৪
17,(১-০),১০
18,(১-০)।,১০
19,(১-১)।,১১
20,(১/৩২),১৩২
21,(১ম)।,১
22,(১০,১০
23,(১০),১০
24,"(১০),",১০
25,(১০:২৮,১০২৮
26,(১০২*),১০২
27,(১১),১১
28,"(১১),",১১
29,(১১)।,১১
30,"(১১,১৫০",১১১৫০
31,(১১০)।,১১০
32,(১১৪),১১৪
33,(১১৪*),১১৪
34,(১১৫/৭),১১৫৭
35,(১১৯),১১৯
36,(১২),১২
37,(১২)।,১২
38,(১২০/১)।,১২০১
39,(১৩,১৩
40,(১৩),১৩
41,"(১৩),",১৩
42,(১৩.৬,১৩৬
43,(১৩৫/৩)।,১৩৫৩
44,(১৪,১৪
45,(১৪),১৪
46,"(১৪),",১৪
47,(১৫),১৫
48,(১৫)।,১৫
49,(১৫.৯,১৫৯
50,(১৬,১৬
51,(১৬),১৬
52,(১৬)।,১৬
53,(১৬৩/৬),১৬৩৬
54,(১৬৪/৪)।,১৬৪৪
55,(১৭),১৭
56,"(১৭),",১৭
57,(১৭)।,১৭
58,(১৮),১৮
59,"(১৮),",১৮
60,(১৮)।,১৮
61,(১৮১.১),১৮১১
62,(১৮৯/৮),১৮৯৮
63,(১৯,১৯
64,(১৯),১৯
65,"(১৯),",১৯
66,(১৯০/৭)।,১৯০৭
67,(১৯৮৭),১৯৮৭
68,(১৯৯৬-৯৭),১৯৯৬৯৭
69,(২),২
70,(২)।,২
71,(২-০)।,২০
72,(২-১),২১
73,(২-১)।,২১
74,(২-২)।,২২
75,(২টা,২
76,(২য়,২
77,(২০,২০
78,(২০),২০
79,"(২০),",২০
80,(২০০),২০০
81,(২০১৬-১৭),২০১৬১৭
82,(২০১৬-১৯),২০১৬১৯
83,(২০১৬/১৭),২০১৬১৭
84,(২০১৮-২০),২০১৮২০
85,(২১),২১
86,"(২১),",২১
87,(২১)।,২১
88,(২২,২২
89,(২২),২২
90,"(২২),",২২
91,(২২)।,২২
92,(২৩),২৩
93,(২৩)।,২৩
94,(২৪),২৪
95,(২৪)।,২৪
96,(২৫),২৫
97,"(২৫),",২৫
98,(২৫)।,২৫
99,(২৬,২৬
100,(২৬),২৬
101,"(২৬),",২৬
102,(২৬)।,২৬
103,(২৬৩/৬),২৬৩৬
104,(২৭),২৭
105,"(২৭),",২৭
106,(২৭)।,২৭
107,(২৮),২৮
108,"(২৮),",২৮
109,(২৮)।,২৮
110,(২৯,২৯
111,(২৯),২৯
112,(২৯)।,২৯
113,(২৯১)।,২৯১
114,(২৯৯/১৭),২৯৯১৭
115,(৩),৩
116,(৩-০)।,৩০
117,(৩-১)।,৩১
118,(৩০),৩০
119,"(৩০),",৩০
120,(৩০)।,৩০
121,(৩০০,৩০০
122,(৩১),৩১
123,(৩২),৩২
124,(৩২)।,৩২
125,(৩৩),৩৩
126,(৩৪),৩৪
127,"(৩৪),",৩৪
128,(৩৪)।,৩৪
129,(৩৫),৩৫
130,"(৩৫),",৩৫
131,(৩৫)।,৩৫
132,(৩৬,৩৬
133,(৩৬),৩৬
134,(৩৬)।,৩৬
135,"(৩৭),",৩৭
136,(৩৮,৩৮
137,(৩৮),৩৮
138,(৩৮)।,৩৮
139,(৩৯*)।,৩৯
140,(৪),৪
141,(৪+৬)।,৪৬
142,(৪-০)।,৪০
143,(৪০),৪০
144,(৪০)।,৪০
145,(৪১)।,৪১
146,(৪২),৪২
147,(৪২)-র,৪২
148,(৪২)।,৪২
149,(৪৩),৪৩
150,(৪৪,৪৪
151,(৪৪),৪৪
152,(৪৫),৪৫
153,"(৪৫),",৪৫
154,(৪৫)।,৪৫
155,(৪৬),৪৬
156,(৪৭),৪৭
157,(৪৭)।,৪৭
158,(৪৮),৪৮
159,(৫,৫
160,(৫),৫
161,(৫০,৫০
162,(৫০),৫০
163,(৫০)।,৫০
164,(৫২),৫২
165,(৫২)।,৫২
166,(৫৩),৫৩
167,"(৫৩),",৫৩
168,"(৫৪),",৫৪
169,(৫৫),৫৫
170,"(৫৫),",৫৫
171,(৫৫)।,৫৫
172,(৫৬),৫৬
173,"(৫৬),",৫৬
174,(৫৭),৫৭
175,(৫৮),৫৮
176,"(৫৯),",৫৯
177,(৬,৬
178,(৬),৬
179,(৬+২৫৬,৬২৫৬
180,(৬০),৬০
181,(৬০)।,৬০
182,(৬২),৬২
183,(৬৩,৬৩
184,(৬৩),৬৩
185,"(৬৪),",৬৪
186,(৬৫),৬৫
187,(৭,৭
188,(৭),৭
189,(৭-৪),৭৪
190,(৭০),৭০
191,(৭০)।,৭০
192,(৭১)।,৭১
193,(৭৫),৭৫
194,(৭৭)।,৭৭
195,(৭৯,৭৯
196,(৭৯/১০),৭৯১০
197,(৮),৮
198,(৮)।,৮
199,(৮০),৮০
200,(৮০০,৮০০
201,(৮৪),৮৪
202,(৯,৯
203,(৯),৯
204,(৯)।,৯
205,(৯-০)।,৯০
206,(৯০),৯০
207,(৯০)।,৯০
208,+৭৮,৭৮
209,-৫৭টি।,৫৭
210,.৯২,৯২
211,0.5M৩।,৩
212,Ctrl+x৩৮।,৩৮
213,Disorder১১।,১১
214,center৮।,৮
215,vtbc১১।,১১
216,অ-১৪,১৪
217,অ-১৫,১৫
218,অ-১৬,১৬
219,অ-১৮,১৮
220,অ-১৯,১৯
221,অনূর্ধ্ব-১১,১১
222,অনূর্ধ্ব-১২,১২
223,অনূর্ধ্ব-১৩,১৩
224,অনূর্ধ্ব-১৪,১৪
225,অনূর্ধ্ব-১৪-১৬,১৪১৬
226,অনূর্ধ্ব-১৫,১৫
227,অনূর্ধ্ব-১৬,১৬
228,"অনূর্ধ্ব-১৬,",১৬
229,অনূর্ধ্ব-১৮,১৮
230,অনূর্ধ্ব-১৯,১৯
231,অনূর্ধ্ব-২১,২১
232,অনূর্ধ্ব-২৩,২৩
233,অনূর্ধ্ব-৮,৮
234,অরকেষ্টা১১।,১১
235,অর্ডিন্যান্স-১৯৮২’,১৯৮২
236,আইএল-৬,৬
237,আইন-২০০০,২০০০
238,আইন-২০০৯,২০০৯
239,আইন-২০১৩-এ,২০১৩
240,আইন-২০১৬’।,২০১৬
241,আইফোন৮,৮
242,আইসিইউ-১,১
243,আই৩,৩
244,"আই৯-৭৯২০এক্স,",৯৭৯২০
245,"আই৯-৭৯৪০এক্স,",৯৭৯৪০
246,"আই৯-৭৯৬০এক্স,",৯৭৯৬০
247,আই৯-৭৯৮০এক্সই।,৯৭৯৮০
248,আদালত-১,১
249,আদালত-৩,৩
250,আরটিআর-১৫০,১৫০
251,আর্সেনিকোসিস১১.,১১
252,আর৯এস,৯
253,ই-২,২
254,ই-৯,৯
255,ইউনিট-২,২
256,ইনিংস৪২৭,৪২৭
257,ইন্ডিজ)৪।,৪
258,ইব্রাহীম-২২,২২
259,ই২৪০।,২৪০
260,উইক-২০১৭,২০১৭
261,উত্থান৫০।,৫০
262,ঊঘ-০২০১১৬,০২০১১৬
263,এআর-১৫,১৫
264,এইচটিএমএল৫-এর,৫
265,একে-৪৭,৪৭
266,এক্স-৫,৫
267,এক্সজেড২।,২
268,এনইসি-২,২
269,এপ্রিল-২০১৬,২০১৬
270,এফ-১৭,১৭
271,এফ-২২,২২
272,এফ-৩৫বি,৩৫
273,এফ২,২
274,"এভারগ্রীন-৯২,",৯২
275,এমআই-১৭১,১৭১
276,এম৯,৯
277,এলজিএসপি-১,১
278,এলজিএসপি-২,২
279,এস৮-এর,৮
280,"এ৫,",৫
281,এ৭,৭
282,ওয়াচ-২০১৭,২০১৭
283,ক-০৩-৮৫৭৬,০৩৮৫৭৬
284,ক-২৪৪,২৪৪
285,ক/৭৪,৭৪
286,কক্সবাজার-৩,৩
287,কণিকা১১।,১১
288,কবিতা১০।,১০
289,কমেডি-৪২০,৪২০
290,কর্মপরিকল্পনা-২০১৭’,২০১৭
291,"কা-২৪৪,",২৪৪
292,কারাগার-২,২
293,কার্যালয়-১,১
294,কার্যালয়-২,২
