,word,ipa
0,এরপরও,eɾpɔɾo
1,তারা,t̪ɐɾɐ
2,বকেয়া,bɔkeʲɐ
3,পরিশোধ,poɾiʃod̪ʱ
4,করেনি।,kɔɾeni।
5,আগে,ɐge
6,সুইস,ʃu͡i̯ʃ
7,ব্যাংকে,bɛŋke
8,জমা,ɟɔmɐ
9,টাকার,tɐkɐɾ
10,কোনো,kono
11,প্রতিবেদন,pɾot̪ibed̪ɔn
12,প্রকাশ,pɾokɐʃ
13,করা,kɔɾɐ
14,হতো,hot̪o
15,না।,nɐ।
16,আদালত,ɐd̪ɐlɔt̪o
17,প্রতিষ্ঠানটি,pɾot̪iʃtʰɐnti
18,সিলগালা,silgɐlɐ
19,করে,koɾe
20,দেয়।,d̪eʲ।
21,রায়ে,ɾɐʲe
22,তাদের,t̪ɐd̪eɾ
23,দোষী,d̪oʃi
24,সাব্যস্ত,sɐbbost̪o
25,হলেও,hole͡o̯
26,সাজা,ʃɐɟɐ
27,আগামী,ɐgɐmi
28,সোমবার,ʃombɐɾ
29,ঘোষণা,gʱoʃonɐ
30,হবে,hɔbe
31,বলে,bole
32,এক,ɛk
33,প্রতিবেদনে,pɾot̪ibed̪ɔne
34,জানিয়েছে,ɟɐniʲecʰe
35,এনডিটিভি।,enditibʱi।
36,গ্রেফতারের,gɾepʰt̪ɐɾeɾ
37,পর,pɔɾ
38,থেকে,t̪ʰeke
39,বাঁচাতে,bɐ̃cɐt̪e
40,এলাকার,elɐkɐɾ
41,প্রভাবশালীরা,pɾobʱɐbʃɐliɾɐ
42,থানায়,t̪ʰɐnɐʲ
43,তদবির,t̪od̪biɾ
44,শুরু,ʃuɾu
45,করে।,koɾe।
46,দাম্পত্য,d̪ɐmpot̪t̪o
47,জীবনে,ɟibone
48,দুটি,d̪uti
49,কন্যাসন্তান,konnɐʃɔnt̪ɐn
50,হয়।,hɔʲ।
51,তিনি,t̪ini
52,এ,e
53,ধরনের,d̪ʱɔɾoneɾ
54,উদ্যোগ,ud̪d̪og
55,গ্রহণের,gɾohoneɾ
56,জন্য,ɟonno
57,আয়োজকদের,ɐʲoɟkd̪eɾ
58,ধন্যবাদ,d̪ʱonnobɐd̪
59,জানান,ɟɐnɐn
60,এবং,eboŋ
61,মেলার,mɛlɐɾ
62,সাফল্য,ʃɐpʰollo
63,কামনা,kɐmonɐ
64,করেন।,kɔɾen।
65,এলাকাবাসী,elɐkɐbɐʃi
66,"জানান,","ɟɐnɐn,"
67,যমুনা,ɟomunɐ
68,নদীতে,nod̪it̪e
69,ড্রেজার,dɾeɟɐɾ
70,মেশিন,meʃin
71,দিয়ে,d̪iʲe
72,তোলা,t̪olɐ
73,বালু,bɐlu
74,বহনকারী,bɔhonkɐɾi
75,নৌকার,no͡u̯kɐɾ
76,মাঝি,mɐɟʱi
77,ছিলেন,cʰilen
78,সন্টু।,ʃɔntu।
79,চেক,cek
80,পোস্টে,poste
81,পৌঁছতেই,pẽcʰt̪e͡i̯
82,ইস্রাফিলকে,isɾɐpʰilke
83,আটক,ɐtok
84,তার,t̪ɐɾ
85,কাগজপত্র,kɐgoɟpot̪ɾo
86,চাওয়া,cɐ͡o̯ʷɐ
87,চিৎকারে,cit̪kɐɾe
88,বাড়ির,bɐɽiɾ
89,অন্যরা,ɔnnoɾɐ
90,ছুটে,cʰute
91,এসে,eʃe
92,একটি,ekti
93,জানালা,ɟɐnɐlɐ
94,ভাঙা,bʱɐŋɐ
95,ও,o
96,গ্রিল,gɾil
97,খোলা,kʰolɐ
98,অবস্থায়,ɔbost̪ʰɐʲ
99,পড়ে,pɔɽe
100,থাকতে,t̪ʰɐkt̪e
101,দেখেন।,d̪ɛkʰen।
102,মামলাটি,mɐmlɐti
103,সিআইডিকে,ʃi͡ɐ̯͡i̯dike
104,তদন্তের,t̪ɔd̪ont̪eɾ
105,নির্দেশ,niɾd̪eʃ
106,দিলেও,d̪ile͡o̯
107,বছরেরও,bɔcʰoɾeɾo
108,বেশি,beʃi
109,সময়,ʃɔmɔʲ
110,ধরে,d̪ʱoɾe
111,সম্পৃক্ততার,ʃɔmpɾikt̪ot̪ɐɾ
112,তথ্য,t̪ot̪t̪ʰo
113,খুঁজে,kʰũɟe
114,পায়নি।,pɐʲni।
115,বিদেশে,bid̪eʃe
