,word,ipa
0,'edit',''
1,'আমার,'ɐmɐɾ
2,'ওয়ার্ল্ড,'oʷɐɾldo
3,'কষ্টদায়ক','koʃtd̪ɐʲok'
4,'কোয়ান্টিকো'র,'koʷɐntiko'ɾo
5,'খুন,'kʰun
6,'খেলা,'kʰelɐ
7,'গুণ্ডা','gundɐ'
8,'ঝ-০১০৬৩২৮'।,'ɟʱʱ-০১০৬৩২৮'।
9,'টাইগার,'tɐ͡i̯gɐɾ
10,'দি,'d̪i
11,'দ্য,'d̪ɛ
12,'না','nɐ'
13,'নিরাপত্তা,'niɾɐpɔt̪t̪ɐ
14,'পবিত্র','pobit̪ɾo'
15,'প্রোফাইল,'pɾopʰɐ͡i̯lo
16,'ফেরিঘাট','pʰeɾigʱɐt'
17,'বঙ্গ,'boŋgo
18,'বাংলাদেশ,'bɐŋlɐd̪eʃ
19,'বাংলার,'bɐŋlɐɾ
20,'বিদ্যুৎ,'bid̪d̪ut̪
21,'ভাইজান'র,'bʱɐ͡i̯ɟɐn'ɾo
22,'ভুল,'bʱul
23,'শত্রুভাবাপন্ন,'ʃot̪ɾubʱɐɟɐnnno
24,'শশী,'ʃoʃi
25,'সতীকুণ্ড','ʃot̪ikundo'
26,'হিরোপান্তি','hiɾopɐnt̪i'
27,'হীরক,'hiɾok
28,(,(
29,(.বিডি)।,(.bidi)।
30,(A8A01),()
31,(ACTH),()
32,(BANBEIS),()
33,(CIN),()
34,(Electoral,(
35,(Stunted),()
36,(admission.eis.du.ac.bd),(....)
37,(buy),()
38,(http://admission.bau.edu.bd),(://...)
39,(www.,(.
40,(www.nu.edu.bd),(...)
41,(www.nu.edu.bd/admissions,(.../
42,(www.nubd.info),(..)
43,(www.psc.gov.bd),(...)
44,(www.xiclassadmission.gov.bd),(...)
45,(অজয়,(ɔɟɔʲ
46,(অটোমোবাইলস),(ɔtomobɐ͡i̯lʃ)
47,(অতিরিক্ত,(ot̪iɾikt̪o
48,"(অনলাইন),","(ɔnɔlɐ͡i̯n),"
49,(অনূর্ধ্ব-১৬),(onuɾbʱo-১৬)
50,(অনূর্ধ্ব-২০),(onuɾbʱo-২০)
51,(অন্যপক্ষ),(ɔnnopokkʰo)
52,(অপ.)।,(ɔp.)।
53,(অপারেশন),(ɔpɐɾeʃon)
54,(অপারেশন-১),(ɔpɐɾeʃon-১)
55,(অপারেশনাল,(ɔpɐɾeʃonɐl
56,(অব),(ɔbo)
57,(অব.),(ɔbo.)
58,(অব.)।,(ɔbo.)।
59,(অভিযোগ),(obʱiɟog)
60,(অর্থমন্ত্রী),(ɔɾt̪ʰomɔnt̪ɾi)
61,(অ্যাকটিভ,(ɛktibʱ
62,(অ্যানালেন,(ɛnɐnt̪eɾ
63,"(অ্যাপার্টমেন্ট,","(ɛpɐɾtomentɾɐ,"
64,(আ.),(ɐ.)
65,(আইআইটিজিএন),(ɐ͡i̯ɐ͡i̯tiɟin)
66,(আইইডি),(ɐ͡i̯idi)
67,(আইএডিএমকে),(ɐ͡i̯edi͡e̯mke)
68,(আইএম,(ɐ͡i̯͡e̯m
69,(আইএমইডি),(ɐ͡i̯͡e̯midi)
70,(আইএমও),(ɐ͡i̯emo)
71,(আইএলসি),(ɐ͡i̯͡e̯sli)
72,(আইএস),(ɐ͡i̯es)
73,(আইএস)।,(ɐ͡i̯es)।
74,(আইএসএল),(ɐ͡i̯esel)
75,(আইএসপিআর),(ɐ͡i̯espi͡ɐ̯ɾ)
76,(আইএসবি)।,(ɐ͡i̯esbi)।
77,(আইওএম),(ɐ͡i̯͡o̯em)
78,(আইওজে),(ɐ͡i̯oɟe)
79,(আইওসি),(ɐ͡i̯͡o̯si)
80,(আইক্যাব),(ɐ͡i̯kkɐbo)
81,(আইজিপি),(ɐ͡i̯ɟipi)
82,(আইডিএ),(ɐ͡i̯di͡e̯)
83,(আইডিবি),(ɐ͡i̯dibi)
84,(আইডিসি),(ɐ͡i̯diʃi)
85,(আইনমন্ত্রী),(ɐ͡i̯nmɔnt̪ɾi)
86,(আইপিএইচ)।,(ɐ͡i̯pi͡e̯͡i̯c)।
87,(আইপিএল),(ɐ͡i̯pi͡e̯l)
88,(আইসিআইজে),(ɐ͡i̯ʃiɐ͡i̯ɟe)
89,(আইসিইউ),(ɐ͡i̯ʃi͡i̯͡u̯)
90,(আইসিজে),(ɐ͡i̯ʃiɟe)
91,(আইসিবি),(ɐ͡i̯ʃibi)
92,(আইসিসিবি),(ɐ͡i̯ʃiʃibi)
93,(আওয়ামী,(ɐ͡o̯ʷɐmi
94,(আকা,(ɐkɐ
95,(আগামীকাল),(ɐgɐmikɔl)
96,(আগ্রাবাদ,(ɐgɾɐbɐd̪
97,(আজ),(ɐɟ)
98,(আদালতের,(ɐd̪ɐlɔt̪eɾ
99,(আদিল,(ɐd̪il
100,(আনিসুল,(ɐnisul
101,(আনু,(ɐnu
102,(আন্কাবুত-৪৫),(ɐntɐkbut̪o-৪৫)
103,(আভাস),(ɐbʱɐʃ)
104,(আমি,(ɐmi
105,(আরআরএফ),(ɐɾɔ͡ɐ̯ɐ͡e̯pʰ)
106,(আরএফআইডি),(ɐɾo͡e̯pʰɐ͡i̯di)
107,(আরএফআইসি),(ɐɾo͡e̯pʰɐ͡i̯si)
108,(আরএমপি),(ɐɾo͡e̯mopi)
109,(আরপিও),(ɐɾpi͡o̯)
110,(আরসা),(ɐɾʃɐ)
