,uncommon
0,'edit'
1,'আমার
2,'ওয়ার্ল্ড
3,'কষ্টদায়ক'
4,'কোয়ান্টিকো'র
5,'খুন
6,'খেলা
7,'গুণ্ডা'
8,'ঝ-০১০৬৩২৮'।
9,'টাইগার
10,'দি
11,'দ্য
12,'না'
13,'নিরাপত্তা
14,'পবিত্র'
15,'প্রোফাইল
16,'ফেরিঘাট'
17,'বঙ্গ
18,'বাংলাদেশ
19,'বাংলার
20,'বিদ্যুৎ
21,'ভাইজান'র
22,'ভুল
23,'শত্রুভাবাপন্ন
24,'শশী
25,'সতীকুণ্ড'
26,'হিরোপান্তি'
27,'হীরক
28,(
29,(.বিডি)।
30,(A8A01)
31,(ACTH)
32,(BANBEIS)
33,(CIN)
34,(Electoral
35,(Stunted)
36,(admission.eis.du.ac.bd)
37,(buy)
38,(http://admission.bau.edu.bd)
39,(www.
40,(www.nu.edu.bd)
41,(www.nu.edu.bd/admissions
42,(www.nubd.info)
43,(www.psc.gov.bd)
44,(www.xiclassadmission.gov.bd)
45,(অজয়
46,(অটোমোবাইলস)
47,(অতিরিক্ত
48,"(অনলাইন),"
49,(অনূর্ধ্ব-১৬)
50,(অনূর্ধ্ব-২০)
51,(অন্যপক্ষ)
52,(অপ.)।
53,(অপারেশন)
54,(অপারেশন-১)
55,(অপারেশনাল
56,(অব)
57,(অব.)
58,(অব.)।
59,(অভিযোগ)
60,(অর্থমন্ত্রী)
61,(অ্যাকটিভ
62,(অ্যানালেন
63,"(অ্যাপার্টমেন্ট,"
64,(আ.)
65,(আইআইটিজিএন)
66,(আইইডি)
67,(আইএডিএমকে)
68,(আইএম
69,(আইএমইডি)
70,(আইএমও)
71,(আইএলসি)
72,(আইএস)
73,(আইএস)।
74,(আইএসএল)
75,(আইএসপিআর)
76,(আইএসবি)।
77,(আইওএম)
78,(আইওজে)
79,(আইওসি)
80,(আইক্যাব)
81,(আইজিপি)
82,(আইডিএ)
83,(আইডিবি)
84,(আইডিসি)
85,(আইনমন্ত্রী)
86,(আইপিএইচ)।
87,(আইপিএল)
88,(আইসিআইজে)
89,(আইসিইউ)
90,(আইসিজে)
91,(আইসিবি)
92,(আইসিসিবি)
93,(আওয়ামী
94,(আকা
95,(আগামীকাল)
