,word,ipa,cnt
0,এ,e,3019
1,ও,o,2910
2,করে,koɾe,1851
3,করা,kɔɾɐ,1714
4,তার,t̪ɐɾ,1552
5,হয়।,hɔe̯।,1427
6,থেকে,t̪ʰeke,1411
7,তিনি,t̪ɪnɪ,1138
8,হয়েছে।,hoʲecʰe।,1032
9,নিয়ে,nɪʲe,1016
10,সময়,ʃɔmɔe̯,951
11,"বলেন,","bɔlen,",905
12,সঙ্গে,ʃɔŋge,897
13,তাদের,t̪ɐd̪eɾ,897
14,জন্য,ɟonno,825
15,একটি,ektɪ,809
16,ওই,oɪ̯,780
17,করতে,koɾt̪e,761
18,কোনো,kono,747
19,না।,nɐ।,735
20,না,nɐ,704
21,হবে।,hɔbe।,699
22,হয়ে,hoʲe,692
23,করেন।,kɔɾen।,687
24,এক,ɛk,686
25,এবং,eboŋ,682
26,তাকে,t̪ɐke,669
27,এই,eɪ̯,604
28,তারা,t̪ɐɾɐ,599
29,তবে,t̪ɔbe,598
30,করে।,koɾe।,597
31,দিয়ে,d̪ɪʲe,593
32,পর,pɔɾ,572
33,পুলিশ,pulɪʃ,566
34,বলে,bole,562
35,কিন্তু,kɪnt̪u,519
36,আর,ɐɾ,508
37,দেয়া,d̪eʲɐ,500
38,"জানান,","ɟɐnɐn,",487
39,মধ্যে,mod̪d̪ʱe,484
40,এর,eɾ,483
41,পরে,pɔɾe,477
42,করেন,kɔɾen,446
43,কথা,kɔt̪ʰɐ,436
44,এতে,et̪e,424
45,প্রধান,pɾod̪ʱɐn,420
46,যায়।,ɟɐe̯।,417
47,উপজেলার,upoɟelɐɾ,411
48,বিভিন্ন,bɪbʱɪnno,410
49,গ্রামের,gɾɐmeɾ,398
50,তা,t̪ɐ,389
51,দুই,d̪uɪ̯,385
52,করার,kɔɾɐɾ,369
53,কাজ,kɐɟ,360
54,এসব,eʃɔb,360
55,সে,ʃe,354
56,সব,ʃɔb,340
57,উপজেলা,upoɟelɐ,336
58,আমরা,ɐmɾɐ,335
59,রয়েছে।,ɾoʲecʰe।,334
60,আরও,ɐɾɔo̯,333
61,শুরু,ʃuɾu,327
62,কাছে,kɐcʰe,323
63,অভিযোগ,obʱɪɟog,323
64,হিসেবে,hɪʃebe,310
65,বিরুদ্ধে,bɪɾud̪d̪ʱe,308
66,আগে,ɐge,308
67,যে,ɟe,305
68,উদ্ধার,ud̪d̪ʱɐɾ,302
69,এখন,ɛkʰon,292
70,জেলা,ɟelɐ,290
71,অনেক,ɔnek,289
72,আমাদের,ɐmɐd̪eɾ,287
73,কারণে,kɐɾone,283
74,ছিলেন,cʰɪlen,277
75,হয়,hɔe̯,275
76,রাতে,ɾɐt̪e,275
77,মো.,mohɐmmɔd̪,274
78,লাশ,lɐʃ,273
79,নেই।,neɪ̯।,271
80,হলে,hole,270
81,হবে,hɔbe,267
82,এলাকায়,elɐkɐe̯,267
83,বিষয়টি,bɪʃɔʲtɪ,266
84,জানা,ɟɐnɐ,265
85,আমি,ɐmɪ,263
86,কিছু,kɪcʰu,262
87,হাসপাতালে,hɐʃpɐt̪ɐle,259
88,আমার,ɐmɐɾ,258
89,তিনি।,t̪ɪnɪ।,254
90,হচ্ছে।,hoccʰe।,253
91,বিষয়ে,bɪʃɔʲe,253
92,নতুন,not̪un,251
93,সেই,ʃeɪ̯,249
94,বৃহস্পতিবার,bɾɪhoʃpot̪ɪbɐɾ,248
95,ধরে,d̪ʱoɾe,248
96,এলাকার,elɐkɐɾ,248
97,তাই,t̪ɐɪ̯,244
98,আওয়ামী,ɐo̯ʷɐmɪ,244
99,হয়েছে,hoʲecʰe,242
100,বুধবার,bud̪ʱbɐɾ,241
101,মাধ্যমে,mɐd̪d̪ʱome,240
102,খবর,kʰɔboɾ,239
103,গ্রেফতার,gɾepʰt̪ɐɾ,238
104,স্থানীয়,st̪ʰɐnɪʲo,237
105,করেছেন।,koɾecʰen।,235
106,ওপর,upoɾ,233
107,ফলে,pʰɔle,232
108,আটক,ɐtok,232
109,দেশের,d̪eʃeɾ,231
110,হোসেন,hosen,229
111,দিতে,d̪ɪt̪e,229
112,হতে,hot̪e,227
113,থানায়,t̪ʰɐnɐe̯,226
114,শেষ,ʃeʃ,225
115,ঘটনা,gʱɔtonɐ,225
116,মামলা,mɐmlɐ,223
117,করেছে।,koɾecʰe।,223
118,সেখানে,ʃekʰɐne,222
119,শেষে,ʃeʃe,219
120,থানার,t̪ʰɐnɐɾ,219
121,বড়,bɔɽo,217
122,ছিল,cʰɪlo,214
123,তথ্য,t̪ot̪t̪ʰo,212
124,রোববার,ɾobbɐɾ,211
125,ঘটনায়,gʱɔtonɐe̯,211
126,হচ্ছে,hoccʰe,210
127,বাংলাদেশ,bɐŋlɐd̪eʃ,210
128,নেয়া,neʲɐ,209
129,সভাপতি,ʃɔbʱɐpot̪ɪ,208
130,শনিবার,ʃonɪbɐɾ,208
131,আহত,ɐht̪o,208
132,সকালে,ʃɔkɐle,207
133,দলের,d̪ɔleɾ,207
134,জাতীয়,ɟɐt̪ɪʲo,207
135,ইউনিয়নের,ɪu̯nɪʲoneɾ,207
136,সোমবার,ʃombɐɾ,205
137,সাধারণ,ʃɐd̪ʱɐɾon,205
138,বা,bɐ,205
139,উপস্থিত,upost̪ʰɪt̪,205
140,ধরনের,d̪ʱɔɾoneɾ,204
141,দেন।,d̪ɛn।,204
142,দেখা,d̪ɛkʰɐ,203
143,ঢাকা,dʱɐkɐ,202
144,টাকা,tɐkɐ,202
145,চেয়ারম্যান,ceʲɐɾmɛn,202
146,ইসলাম,ɪslɐm,202
147,ছেলে।,cʰele।,200
148,করেছে,koɾecʰe,200
149,পেয়ে,peʲe,199
150,নিহত,nɪhɔt̪o,199
151,শুক্রবার,ʃukɾobɐɾ,197
152,দাবি,d̪ɐbɪ,196
153,চেষ্টা,ceʃtɐ,196
154,বাড়ি,bɐɽɪ,193
155,মঙ্গলবার,moŋgolbɐɾ,192
156,করেছেন,koɾecʰen,189
157,এরপর,eɾpɔɾ,189
158,এছাড়া,ecʰɐɽɐ,189
159,একই,ɛkoɪ̯,189
160,হয়নি।,hɔʲnɪ।,187
161,গিয়ে,gɪʲe,187
162,ভর্তি,bʱɔɾt̪ɪ,184
163,অনুষ্ঠানে,ɔnuʃtʰɐne,184
164,প্রথম,pɾot̪ʰom,183
165,মতো,mɔt̪o,182
166,পুলিশের,pulɪʃeɾ,181
167,পাওয়া,pɐo̯ʷɐ,181
168,পর্যন্ত,poɾɟont̪o,181
169,দুটি,d̪utɪ,181
170,দিন,d̪ɪn,181
171,গেছে।,gɛcʰe।,181
172,বলা,bɔlɐ,180
173,রহমান,ɾɔhomɐn,178
174,বেশি,beʃɪ,178
175,তিন,t̪ɪn,178
176,আবদুল,ɐbd̪ul,178
177,দেয়ার,d̪eʲɐɾ,176
178,বিশেষ,bɪʃeʃ,175
179,ছিল।,cʰɪlo।,175
180,বন্ধ,bond̪ʱo,173
181,নিশ্চিত,nɪʃcɪt̪o,173
182,অতিথি,ot̪ɪt̪ʰɪ,173
183,লীগের,lɪgeɾ,172
184,নাম,nɐm,172
185,ব্যবস্থা,bɛbost̪ʰɐ,170
186,নামে,nɐme,170
187,ছেলে,cʰele,168
188,একজন,ɛkɟon,168
189,ব্যাপারে,bɛpɐɾe,167
190,এমন,ɛmon,167
191,সদস্য,ʃɔd̪oʃʃo,166
192,ভালো,bʱɐlo,165
193,ঘোষণা,gʱoʃonɐ,165
194,বাংলাদেশের,bɐŋlɐd̪eʃeɾ,163
195,ছিলেন।,cʰɪlen।,163
196,অনুষ্ঠিত,onuʃtʰɪt̪o,163
197,মনে,mone,162
198,কলেজ,kɔleɟ,162
199,:,:,162
200,হওয়ার,hoʷɐɾ,161
201,বাড়িতে,bɐɽɪt̪e,161
202,সম্পাদক,ʃɔmpɐd̪ok,160
203,নয়।,nɔe̯।,160
204,এসে,eʃe,160
205,বক্তব্য,bokt̪obbo,159
206,দেয়।,d̪ee̯।,159
207,অংশ,ɔŋʃo,159
208,দেন,d̪ɛn,158
209,তুলে,t̪ule,157
210,নিতে,nɪt̪e,155
211,করছে।,koɾcʰe।,155
212,কেউ,keu̯,152
213,আলী,ɐlɪ,151
214,নির্বাচন,nɪɾbɐcɔn,148
215,চলে,cɔle,148
216,লোকজন,lokɟɔn,147
217,বছর,bɔcʰoɾ,147
218,পাশাপাশি,pɐʃɐpɐʃɪ,147
219,পরিবারের,poɾɪbɐɾeɾ,147
220,দুপুরে,d̪upuɾe,147
221,ঘটনার,gʱɔtonɐɾ,147
222,অবস্থায়,ɔbost̪ʰɐe̯,147
223,সরকারি,ʃɔɾkɐɾɪ,146
224,ঘটে।,gʱɔte।,145
225,সদর,ʃɔd̪oɾ,143
226,যায়,ɟɐe̯,143
227,প্রকাশ,pɾokɐʃ,143
228,এটি,etɪ,143
229,কর্মকর্তা,kɔɾmokɔɾt̪ɐ,142
230,কমিটির,kɔmɪtɪɾ,142
231,এদিকে,ed̪ɪke,142
232,আদালতে,ɐd̪ɐlɔt̪e,142
