,char
0,	
1, 
2,!
3,!!
4,""""
5,#
6,$
7,%
8,&
9,'
10,(
11,((
12,(.)
13,(..)
14,(...)
15,)
16,))
17,*
18,+
19,","
20,-
21,.
22,/
23,0
24,1
25,2
26,3
27,4
28,5
29,6
30,7
31,8
32,9
33,:
34,;
35,<
36,=
37,>
38,?
39,@
40,A
41,B
42,C
43,D
44,E
45,F
46,G
47,H
48,I
49,J
50,K
51,L
52,M
53,N
54,O
55,P
56,Q
57,R
58,S
59,T
60,U
61,V
62,W
63,X
64,Y
65,Z
66,[
67,\
68,]
69,^
70,_
71,`
72,a
73,b
74,c
75,d
76,e
77,f
78,g
79,h
80,i
81,j
82,k
83,l
84,m
85,n
86,o
87,p
88,q
89,r
90,s
91,t
92,u
93,v
94,w
95,x
96,y
97,z
98,{
99,|
100,}
101,~
102, 
103,¡
104,¢
105,£
106,¤
107,¥
108,¦
109,§
110,¨
111,­
112,¯
113,°
114,±
115,µ
116,¶
117,·
118,¹
119,º
120,¼
121,½
122,¿
123,Æ
124,Í
125,Ñ
126,×
127,ß
128,æ
129,ç
130,è
131,ð
132,÷
133,ø
134,þ
135,ć
136,Č
137,č
138,ħ
139,ı
140,ŋ
141,Œ
142,œ
143,ş
144,š
145,ž
146,ƈ
147,Ə
148,ƒ
149,Ɣ
150,ƙ
151,ƛ
152,ƞ
153,ƥ
154,ƫ
155,ƭ
156,ƻ
157,ǀ
158,ǁ
159,ǂ
160,ǃ
161,ǰ
162,ȡ
163,ȵ
164,ȶ
165,ɐ
166,ɑ
167,ɒ
168,ɓ
169,ɔ
170,ɕ
171,ɖ
172,ɗ
173,ɘ
174,ə
175,ɚ
176,ɛ
177,ɜ
178,ɞ
179,ɟ
180,ɠ
181,ɡ
182,ɢ
183,ɣ
184,ɤ
185,ɥ
186,ɦ
187,ɧ
188,ɨ
189,ɩ
190,ɪ
191,ɫ
192,ɬ
193,ɭ
194,ɮ
195,ɯ
196,ɰ
197,ɱ
198,ɲ
199,ɳ
200,ɴ
201,ɵ
202,ɶ
203,ɷ
204,ɸ
205,ɹ
206,ɺ
207,ɻ
208,ɼ
209,ɽ
210,ɾ
211,ʀ
212,ʁ
213,ʂ
214,ʃ
215,ʄ
216,ʆ
217,ʇ
218,ʈ
219,ʉ
220,ʊ
221,ʋ
222,ʌ
223,ʍ
224,ʎ
225,ʏ
226,ʐ
227,ʑ
228,ʒ
229,ʓ
230,ʔ
231,ʕ
232,ʖ
233,ʗ
234,ʘ
235,ʙ
236,ʚ
237,ʛ
238,ʜ
239,ʝ
240,ʞ
241,ʟ
242,ʠ
243,ʡ
244,ʢ
245,ʣ
246,ʤ
247,ʥ
248,ʦ
249,ʧ
250,ʨ
251,ʩ
252,ʪ
253,ʫ
254,ʭ
255,ʰ
256,ʱ
257,ʲ
258,ʶ
259,ʷ
260,ʸ
