,Inflected_Word,Lemma,POS
0,পুরসভার,পুরসভা,POSবি
1,সার্জেন্ট,সার্জেন্ট,UNK
2,হিসেবে,হিসাব,POSবি
3,দীর্ঘ,দীর্ঘ,POSবিণ
4,দিন,দিন,POSবি
5,নিরাপত্তার,নিরাপত্তা,POSবি
6,দায়িত্ব,দায়িত্ব,POSবি
7,পালন,পালন,POSবি
8,করেছেন,করা,POSক্রি
9,তৃণমূল,তৃণমূল,NNP
10,নেতা,নেতা,POSবি
11,শোভনদেব,শোভনদেব,NNP
12,চট্টোপাধ্যায়,চট্টোপাধ্যায়,NNP
13,বোধ,বোধ,POSবি
14,করি,করা,POSক্রি
15,এই,এই,POSসর্ব
16,সকল,সকল,POSবিণ
17,কারণেই,কারণ,POSবি
18,পরেশ,পরেশ,POSবি
19,সুন্দরী,সুন্দরী,POSবিণ
20,যুবতী,যুবক,POSবিণ
21,স্ত্রীকে,স্ত্রী,POSবি
22,সম্পূর্ণ,সম্পূর্ণ,POSবিণ
23,নিজের,নিজ,POSসর্ব
24,আয়ত্তগম্য,আয়ত্ত,POSবি
25,বলিয়া,বলা,POSক্রি
26,বোধ,বোধ,POSবি
27,করিতেন,করা,POSক্রি
28,না,না,POSঅব্য
29,এবং,এবং,POSঅব্য
30,বোধ,বোধ,POSবি
31,করি,করা,POSক্রি
32,সন্দিগ্ধ,সন্দিগ্ধ,POSবিণ
33,স্বভাব,স্বভাব,POSবি
34,তাঁহার,তিনি,POSসর্ব
35,একটা,এক,POSবিণ
36,ব্যাধির,ব্যাধি,POSবি
37,মধ্যে,মধ্যে,POSক্রিবিণ
38,পারলৌকিক,পারলৌকিক,POSবিণ
39,পিণ্ডের,পিণ্ড,POSবি
40,ক্ষুধাটা,ক্ষুধা,POSবি
41,সে,তিনি,POSসর্ব
42,ইহলৌকিক,ইহলোক,POSবি
43,চিত্তক্ষুধাদাহে,চিত্তক্ষুধাদাহ,POSক্রি
44,একেবারেই,একবার,POSক্রিবিণ
45,ভুলিয়া,ভুল,POSক্রি
46,বসিয়াছিল,বসা,POSক্রি
47,মনুর,মনু,NNP
48,পবিত্র,পবিত্র,POSবিণ
49,বিধান,বিধান,POSবি
50,এবং,এবং,POSঅব্য
51,বৈদ্যনাথের,বৈদ্যনাথ,NNP
52,আধ্যাত্মিক,আধ্যাত্মিক,POSবিণ
53,ব্যাখ্যায়,ব্যাখ্যা,POSবি
54,তাহার,তিনি,POSসর্ব
55,বুভুক্ষিত,বুভুক্ষা,POSবি
56,হৃদয়ের,হৃদয়,POSবি
57,তিলমাত্র,তিলমাত্র,POSক্রিবিণ
58,তৃপ্তি,তৃপ্ত,POSবিণ
59,হইল,হয়,POSক্রি
60,না,না,POSঅব্য
61,একদিন,একদিন,POSবি
62,প্রাতে,প্রাতঃ,POSবি
63,বৈদ্যনাথের,বৈদ্যনাথ,NNP
64,মার্বলমণ্ডিত,মার্বলমণ্ডিত,POSবিণ
65,দালানে,দালান,POSবি
66,একটি,এক,POSবিণ
67,স্থূলোদর,স্থূলউদর,POSবি
68,সন্ন্যাসী,সন্ন্যাসী,POSবি
69,দুইসের,দুইসের,POSবি
70,মোহনভোগ,মোহনভোগ,POSবি
71,এবং,এবং,POSঅব্য
72,দেড়সের,দেড়সের,POSবিণ
73,দুগ্ধ,দুগ্ধ,POSবি
74,সেবায়,সেবা,POSবি
75,নিযুক্ত,নিযুক্ত,POSবিণ
76,আছে,আছে,POSক্রি
77,বৈদ্যনাথ,বৈদ্যনাথ,NNP
78,গায়ে,গা,POSবি
79,একখানি,একখান,POSবিণ
80,চাদর,চাদর,POSবি
81,দিয়া,দেওয়া,POSঅব্য
82,জোড়করে,জোড়কর,POSক্রি
83,একান্ত,একান্ত,POSবিণ
84,বিনীতভাবে,বিনীতভাব,POSক্রিবিণ
85,ভূতলে,ভূতল,POSবি
86,বসিয়া,বসা,POSক্রি
87,ভক্তিভরে,ভক্তিভরা,POSবি
88,পবিত্র,পবিত্র,POSবিণ
89,ভোজনব্যাপার,ভোজনব্যাপার,POSবি
90,নিরীক্ষণ,নিরীক্ষণ,POSবি
91,করিতেছিলেন,করা,POSক্রি
92,এমন,এমন,POSক্রিবিণ
93,সময়,সময়,POSবি
94,কোনোমতে,কোনোমত,POSক্রি
95,দ্বারীদের,দ্বারী,POSবি
96,দৃষ্টি,দৃষ্টি,POSবি
97,এড়াইয়া,এড়ানো,POSক্রি
98,জীর্ণদেহ,জীর্ণদেহ,POSবি
99,বালক,বালক,POSবি
100,সহিত,সহিত,POSবিণ
101,একটি,এক,POSবিণ
102,অতি,অতি,POSঅব্য
103,শীর্ণকায়া,শীর্ণকায়া,POSবিণ
104,রমণী,রমণী,POSবি
105,গৃহে,গৃহ,POSবি
106,প্রবেশ,প্রবেশ,POSবি
107,করিয়া,করা,POSঅব্য
108,ক্ষীণস্বরে,ক্ষীণস্বর,POSঅব্য
109,কহিল,কহা,POSক্রি
110,বাবু,বাবু,POSবি
111,দুটি,দুই,POSবিণ
112,খেতে,খাওয়া,POSক্রি
113,দাও,দাওয়া,POSক্রি
114,গ্রামের,গ্রাম,POSবি
115,এক,এক,POSবিণ
116,পুরোহিত,পুরোহিত,POSবি
117,মুলে,মুল,NNP
118,বলেছেন,বলা,POSক্রি
119,এই,এই,POSসর্ব
120,গ্রাম,গ্রাম,POSবি
121,কয়েক,কিছু,POSবিণ
122,হাজার,হাজার,POSবিণ
123,বছরের,বছর,POSবি
124,পুরানো,পুরানো,POSবিণ
125,তাঁর,তিনি,POSসর্ব
126,সেই,সেই,POSসর্ব
127,মিষ্টি,মিষ্টি,POSবি
128,খেয়ে,খাওয়া,POSক্রি
129,এতটাই,এত,POSবিণ
130,ভাল,ভাল,POSবি
131,লাগল,লাগা,POSক্রি
132,যে,যে,POSসর্ব
133,ফিরে,ফিরে,POSবিণ
134,এসে,আসা,POSক্রি
135,আরও,আর,POSবিণবিণ
136,বানানোর,বানানো,POSক্রি
137,অর্ডার,অর্ডার,UNK
138,দিলেন,দেওয়া,POSক্রি
139,রুটিন,রুটিন,POSবি
140,টিকাকরণ,টিকাকরণ,POSবি
141,প্রক্রিয়া,প্রক্রিয়া,POSবি
142,শক্তিশালী,শক্তি,POSবি
143,না,না,POSঅব্য
144,হলে,হওয়া,POSক্রি
145,পোলিয়ো,পোলিয়ো,POSবি
146,ফিরে,ফিরে,POSবিণ
147,আসতে,আসা,POSক্রি
148,পারে,পারা,POSক্রি
149,তা,তা,POSঅব্য
150,নিয়ে,নেওয়া,POSক্রি
151,যুবকরা,যুবক,POSবি
152,আশপাশের,আশপাশ,POSবি
153,পাহাড়,পাহাড়,POSবি
154,জঙ্গলে,জঙ্গল,POSবি
155,ছড়িয়ে,ছড়ানো,POSক্রি
156,পড়েন,পড়া,POSক্রি
157,প্রদেশগুলি,প্রদেশ,POSবি
158,সে,তিনি,POSসর্ব
159,কাজে,কাজ,POSবি
160,যদি,যদি,POSঅব্য
161,ব্যর্থ,ব্যর্থ,POSবিণ
162,হয়েও,হওয়া,POSক্রি
163,থাকে,থাকা,POSক্রি
164,এত,এত,POSবি
165,দিন,দিন,POSবি
166,সেই,সেই,POSসর্ব
167,ব্যর্থতা,ব্যর্থ,POSবিণ
168,নিরাময়ের,নিরাময়,POSবি
169,চেষ্টা,চেষ্টা,POSবি
170,করা,করা,POSক্রি
171,সম্ভব,সম্ভব,POSবিণ
172,নতুন,নতুন,POSবিণ
173,ওঠা,ওঠা,POSক্রি
174,গোঁফদাড়ির,গোঁফদাড়ি,POSবি
175,এই,এই,POSসর্ব
176,সুকুমার,সুকুমার,POSবিণ
177,মুখটা,মুখ,POSবি
178,দেখেছিলাম,দেখা,POSক্রি
179,ঠিক,ঠিক,POSক্রিবিণ
180,এক,এ,POSসর্ব
181,বছর,বছর,POSবি
182,আগে,আগে,POSবি
183,মার্চে,মার্চ,POSবি
184,কাশ্মীরে,কাশ্মীর,NNP
185,ছুটি,ছুটি,POSবি
186,এলেই,আসা,POSক্রি
187,তাকে,তার,POSসর্ব
188,সর্বকালের,সর্বকাল,POSবি
189,সেরা,সেরা,POSবিণ
190,বানানোর,বানানো,POSক্রি
191,প্রবণতা,প্রবণতা,POSবি
192,থাকে,থাকা,POSক্রি
193,অনেকের,অনেক,POSসর্ব
194,প্রাণকে,প্রাণ,POSবি
195,টিঁকে,টেকা,POSক্রি
196,থাকতে,থাকা,POSক্রি
197,সাহায্য,সাহায্য,POSবি
198,করেছে,করা,POSক্রি
199,ডিমাপুরের,ডিমাপুর,NNP
200,অদূরে,দূর,POSবি
201,মেদজিফেমা,মেদজিফেমা,NNP
202,এলাকায়,এলাকা,POSবি
203,গ্রামবাসীদের,গ্রামবাসা,POSবি
204,গবাদি,গবাদি,POSবিণ
205,পশু,পশু,POSবি
206,খেয়ে,খাওয়া,POSক্রি
207,যাচ্ছিল,যাওয়া,POSক্রি
208,বাঘ,বাঘ,POSবি
209,সদৃশ,সদৃশ,POSবিণ
210,প্রাণী,প্রাণ,POSবি
211,তাতে,তা,POSবি
212,বলা,বলা,POSক্রি
213,হচ্ছে,হওয়া,POSক্রি
214,পোলিয়ো,পোলিয়ো,POSবি
215,খাওয়া,খাওয়া,POSক্রি
216,মানে,মানে,POSবি
217,সন্তানধারণ,সন্তানধারণ,POSবি
218,ক্ষমতা,ক্ষমতা,POSবি
219,নষ্ট,নষ্ট,POSবিণ
220,হয়ে,হয়ে,POSক্রিবিণ
221,যাওয়া,যাওয়া,POSক্রি
222,এক্ষণে,ক্ষণ,POSবি
223,পুলিস,পুলিস,POSবি
224,তাহার,তিনি,POSসর্ব
225,মৃতদেহ,মৃতদেহ,POSবি
226,লইয়া,নেওয়া,POSক্রি
227,টানাটানি,টান,POSবি
228,করিতে,করা,POSক্রি
229,উদ্যত,উদ্যত,POSবিণ
230,কাজটি,কাজ,POSবি
231,শুনিতে,শোনা,POSক্রি
232,সহজ,সহজ,POSবি
233,অথচ,অথচ,POSঅব্য
234,করিতে,করা,POSক্রি
235,কেন,কেন,POSঅব্য
236,সহজ,সহজ,POSবি
237,নহে,না,POSঅব্য
238,তাহার,তিনি,POSসর্ব
239,বৃত্তান্ত,বৃত্তান্ত,POSবি
240,আর-একটু,আরএক,POSঅব্য
241,বিস্তারিত,বিস্তার,POSবি
242,করিয়া,করা,POSঅব্য
243,বলা,বলা,POSক্রি
244,আবশ্যক,অবশ্য,POSবিণ
245,আজ,আজ,POSবি
246,তোমার,তুমি,POSসর্ব
247,আজই,আজ,POSবি
248,পদের,পদ,POSবি
249,সম্মান,সম্মান,POSবি
250,করা,করা,POSক্রি
251,হল,হওয়া,POSক্রি
252,সেই,সেই,POSঅব্য
253,রাজতন্ত্র,রাজতন্ত্র,POSবি
254,কবে,কবে,POSক্রি
255,বিদায়,বিদায়,POSবি
256,নিয়েছে,নেওয়া,POSক্রি
257,পোস্ত,পোস্ত,POSবি
258,আর,আর,POSঅব্য
259,আফিমের,আফিম,POSবি
260,সম্পর্কটা,সম্পর্ক,POSবি
261,অবিচ্ছেদ্য,বিচ্ছেদ,POSবি
262,বলেই,বলা,POSক্রি
263,আমাদের,আমি,POSসর্ব
264,দেশে,দেশ,POSবি
265,বাণিজ্যিক,বাণিজ্য,POSবি
266,ভাবে,ভাব,POSবি
267,পোস্ত,পোস্ত,POSবি
268,চাষ,চাষ,POSবি
269,নিষিদ্ধ,নিষিদ্ধ,POSবিণ
270,কিন্তু,কিন্তু,POSঅব্য
271,এমন,এমন,POSক্রিবিণ
272,ভাবে,ভাব,POSবি
273,প্রকাশ্যে,প্রকাশ্য,POSবিণ
274,বাঘ,বাঘ,POSবি
275,মারার,মারা,POSক্রি
276,পরেও,পর,POSবি
277,কেন,কেন,POSঅব্য
278,গ্রামবাসীদের,গ্রামবাসা,POSবি
279,বিরুদ্ধে,বিরুদ্ধ,POSবিণ
280,ব্যবস্থা,ব্যবস্থা,POSবি
281,নেওয়া,নেওয়া,POSক্রি
282,হবে,হওয়া,POSক্রি
283,না,না,POSঅব্য
284,এ,এ,POSসর্ব
285,পাড়ায়,পাড়া,POSবি
286,চার,চার,POSবিণ
287,পুরুয,পুরুষ,POSবি
288,আমাদের,আমি,POSসর্ব
289,বসবাস,বাস,POSবি
290,ক্ষমতায়,ক্ষমতা,POSবি
291,থাকলে,থাকা,POSক্রি
292,উপাচার্যকেও,উপাচার্য,POSবি
293,কলার,কলার,UNK
294,ধরে,ধরা,POSক্রি
295,বার,বার,POSবি
296,করে,করা,POSক্রি
297,দিতাম,দেওয়া,POSক্রি
298,ভট্টাচার্যমহাশয়,ভট্টাচার্যমহাশয়,NNP
299,দেশবিখ্যাত,দেশবিখ্যাত,POSবিণ
300,প্রতিপত্তির,প্রতিপত্তি,POSবি
301,জোরে,জোর,POSবিণ
302,চোরাই,চোর,POSবি
303,মাল,মাল,POSবি
304,রক্ষার,রক্ষা,POSবি
305,অভিযোগ,অভিযোগ,POSবি
306,হইতে,হওয়া,POSক্রি
307,নিষ্কৃতি,নিষ্কৃত,POSবিণ
308,পাইলেন,পাওয়া,POSক্রি
309,এই,এই,POSসর্ব
310,আড্ডাটাই,আড্ডা,POSবি
311,মানুষে,মানুষ,POSবি
312,মানুষে,মানুষ,POSবি
313,যোগাযোগটা,যোগাযোগ,POSবি
314,ধরে,ধরা,POSক্রি
315,রেখেছে,রাখা,POSক্রি
316,হঠাৎই,হঠাৎ,POSক্রিবিণ
317,চোখে,চোখ,POSবি
318,পড়ে,পড়া,POSক্রিবিণ
319,কিছু,কিছু,POSবিণবিণ
320,দূরে,দূর,POSবিণ
321,আপনাআপনি,আপনআপন,POSসর্ব
322,ভেসে,ভাসা,POSক্রি
323,চলেছে,চলা,POSক্রি
324,একটি,এক,POSবিণ
325,ভুতুড়ে,ভুত,POSক্রি
326,নৌকো,নৌকো,POSবি
327,হঠাৎ,হঠাৎ,POSক্রিবিণ
328,পাশ,পাশ,POSবি
329,দিয়ে,দেওয়া,POSঅব্য
330,চলে,চলা,POSক্রি
331,যাওয়া,যাওয়া,POSক্রি
332,শিকারার,শিকারা,POSবি
333,চালকের,চালক,POSবি
334,সঙ্গে,সঙ্গ,POSবি
