,Unnamed: 0.1,Unnamed: 0,Inflected_Word,POS
0,0,0,তাঁকে,PRP
1,1,1,বাংলা,NNP
2,2,2,ভাষার,NN
3,3,3,সর্বশ্রেষ্ঠ,JJ
4,4,4,সাহিত্যিক,NN
5,5,5,মনে,VB
6,6,6,করা,VB
7,7,7,হয়,VB
8,8,8,রবীন্দ্রনাথকে,NNP
9,9,9,গুরুদেব,NNP
10,10,10,কবিগুরু,NNP
11,11,11,ও,CC
12,12,12,বিশ্বকবি,NN
13,13,13,অভিধায়,NN
14,14,14,ভূষিত,VB
15,15,15,করা,VB
16,16,16,হয়,VB
17,17,17,এছাড়া,RB
18,18,18,তিনি,PRP
19,19,19,প্রায়,IN
20,20,20,দুই,CD
21,21,21,হাজার,CD
22,22,22,ছবি,NNS
23,23,23,এঁকেছিলেন,VB
24,24,24,রবীন্দ্রনাথের,NNP
25,25,25,রচনা,NNS
26,26,26,বিশ্বের,NN
27,27,27,বিভিন্ন,JJ
28,28,28,ভাষায়,NNS
29,29,29,অনূদিত,VB
30,30,30,হয়েছে,VB
31,31,31,আট,CD
32,32,32,বছর,NN
33,33,33,বয়সে,NN
34,34,34,তিনি,PRP
35,35,35,কবিতা,NN
36,36,36,লেখা,VB
37,37,37,শুরু,VB
38,38,38,করেন,VB
39,39,39,১৮৭৪,NUM
40,40,40,সালে,NN
41,41,41,তত্ত্ববোধিনী,NNP
42,42,42,পত্রিকা,NN
43,43,43,এ,JJ
44,44,44,তাঁর,PRP
45,45,45,কবিতাটি,NN
46,46,46,প্রকাশিত,VBN
47,47,47,হয়,VB
48,48,48,এটিই,DT
49,49,49,ছিল,VBD
50,50,50,তাঁর,PRP
51,51,51,প্রথম,JJ
52,52,52,প্রকাশিত,VBN
53,53,53,রচনা,NN
54,54,54,১৮৭৮,NUM
55,55,55,সালে,NN
56,56,56,মাত্র,JJ
57,57,57,সতেরো,NN
58,58,58,বছর,NN
59,59,59,বয়সে,NN
60,60,60,রবীন্দ্রনাথ,NNP
61,61,61,প্রথমবার,JJ
62,62,62,ইংল্যান্ডে,NNP
63,63,63,যান,VB
64,64,64,১৮৮৩,NUM
65,65,65,সালে,NN
66,66,66,মৃণালিনী,NN
67,67,67,দেবীর,NNP
68,68,68,সঙ্গে,JJ
69,69,69,তাঁর,PRP
70,70,70,বিবাহ,VB
71,71,71,হয়,VB
72,72,72,১৯০২,NUM
73,73,73,সালে,NN
74,74,74,তাঁর,PRP
75,75,75,পত্নীবিয়োগ,VBD
76,76,76,হয়,VB
77,77,77,বাঙালি,NN
78,78,78,মনীষার,NNP
79,79,79,এক,CD
80,80,80,তুঙ্গীয়,VBG
81,81,81,নিদর্শন,NNS
82,82,82,নজরুল,NNP
83,83,83,তিনি,PRP
84,84,84,বাংলা,NNP
85,85,85,ভাষার,unk
86,86,86,অন্যতম,RB
87,87,87,সাহিত্যিক,NN
88,88,88,এবং,CC
89,89,89,বাংলাদেশের,NNP
90,90,90,জাতীয়,JJ
91,91,91,কবি,NNS
92,92,92,পশ্চিমবঙ্গ,NNP
93,93,93,ও,CC
94,94,94,বাংলাদেশ,NNP
95,95,95,দুই,VB
96,96,96,বাংলাতেই,NNP
97,97,97,তাঁর,PRP
98,98,98,কবিতা,NN
99,99,99,ও,CC
100,100,100,গান,NNS
101,101,101,সমানভাবে,RB
102,102,102,সমাদৃত,VBN
103,103,103,বিংশ,RB
104,104,104,শতাব্দীর,NN
105,105,105,বাংলা,NNP
106,106,106,মননে,NN
107,107,107,কাজী,NN
108,108,108,নজরুল,unk
109,109,109,ইসলামের,unk
110,110,110,মর্যাদা,NN
111,111,111,ও,CC
112,112,112,গুরুত্ব,NN
113,113,113,অপরিসীম,JJ
114,114,114,তাঁর,PRP
115,115,115,কবিতা,NN
116,116,116,ও,CC
117,117,117,গানে,NNS
118,118,118,এই,DT
119,119,119,মনোভাবই,NN
120,120,120,প্রতিফলিত,VBN
121,121,121,হয়েছে,VB
122,122,122,অগ্নিবীণা,NNP
123,123,123,হাতে,NNS
124,124,124,তাঁর,PRP
