,sentence
0,তাঁকে বাংলা ভাষার সর্বশ্রেষ্ঠ সাহিত্যিক মনে করা হয়
1,রবীন্দ্রনাথকে গুরুদেব  কবিগুরু ও বিশ্বকবি অভিধায় ভূষিত করা হয়
2,এছাড়া তিনি প্রায় দুই হাজার ছবি এঁকেছিলেন
3,রবীন্দ্রনাথের রচনা বিশ্বের বিভিন্ন ভাষায় অনূদিত হয়েছে
4,আট বছর বয়সে তিনি কবিতা লেখা শুরু করেন
5,১৮৭৪ সালে  তত্ত্ববোধিনী পত্রিকা  এ তাঁর   কবিতাটি প্রকাশিত হয়
6,এটিই ছিল তাঁর প্রথম প্রকাশিত রচনা
7,১৮৭৮ সালে মাত্র সতেরো বছর বয়সে রবীন্দ্রনাথ প্রথমবার ইংল্যান্ডে যান
8,১৮৮৩ সালে মৃণালিনী দেবীর সঙ্গে তাঁর বিবাহ হয়
9,১৯০২ সালে তাঁর পত্নীবিয়োগ হয়
10,বাঙালি মনীষার এক তুঙ্গীয় নিদর্শন নজরুল
11,তিনি বাংলা ভাষার অন্যতম সাহিত্যিক এবং বাংলাদেশের জাতীয় কবি
12,পশ্চিমবঙ্গ ও বাংলাদেশ – দুই বাংলাতেই তাঁর কবিতা ও গান সমানভাবে সমাদৃত
13,বিংশ শতাব্দীর বাংলা মননে কাজী নজরুল ইসলামের মর্যাদা ও গুরুত্ব অপরিসীম
14,তাঁর কবিতা ও গানে এই মনোভাবই প্রতিফলিত হয়েছে
15,অগ্নিবীণা  হাতে তাঁর প্রবেশ   ধূমকেতু র মতো তাঁর প্রকাশ
16,নজরুল এক দরিদ্র মুসলিম পরিবারে জন্মগ্রহণ করেন
17,তার প্রাথমিক শিক্ষা ছিল ধর্মীয়
18,স্থানীয় এক মসজিদে সম্মানিত মুয়াযযিন হিসেবেও কাজ করেছিলেন
19,এসময় তিনি কলকাতাতেই থাকতেন
20,কানুথকে বলা হয় অ্যালগরিদমিক বিশ্লেষণের জনক
21,জন্ম ও শৈশব  উইসকনসিন মিলাউকিতে কানুথ জন্মগ্রহন করেন
22,সেই স্কুলেই কানুথ পরে ভর্তি হন এবং পরবর্তীতে বিভিন্ন সন্মাননা লাভ করেন
23,অপ্রচলিত পথে বুদ্ধি কাজে লাগানর ব্যপারে শৈশবেই কানুথ পারদর্শী ছিলেন
24,প্রাথমিক জীবন  শ্যাননের জন্ম মিশিগানের পেটস্কি শহরে
25,জীবনের প্রথম ১৬ বছর কাটিয়েছেন মিশিগানের গেলর্ড শহরে
26,তিনি সেখানকার গেলর্ড হাই স্কুল হতে ১৯৩২ খ্রীস্টাব্দে পাস করেন
27,কিশোর বয়সে তিনি ওয়েস্টার্ন ইউনিয়ন এর বার্তাবাহক হিসাবে কাজ করেছেন
28,তিনি টমাস আলভা এডিসন এর দূর সম্পর্কের আত্মীয়
29,সেখানে তিনি জর্জ বূল এর তত্ত্ব সম্পর্কে জানতে পারেন
30,রাজ্যের উত্তরে হিমালয় পর্বতমালা ও দক্ষিণে বঙ্গোপসাগর অবস্থিত
31,পশ্চিমবঙ্গ একাধিক ভৌগোলিক অঞ্চলে বিভক্ত
32,বর্তমানে পশ্চিমবঙ্গ ৫টি বিভাগ ও ২৩টি জেলায় বিভক্ত
33,বিভাগগুলি বিভাগীয় কমিশনার ও জেলাগুলি জেলাশাসকের দ্বারা শাসিত হয়
34,রাজ্যের রাজধানী কলকাতা কলকাতা জেলায় অবস্থিত
35,অন্যান্য জেলাগুলি মহকুমা ও ব্লকে বিভক্ত
36,এগুলি যথাক্রমে মহকুমা শাসক ও ব্লক উন্নয়ন আধিকারিকের দ্বারা শাসিত হয়
37,এই রাজ্যের পঞ্চায়েত ব্যবস্থা ত্রিস্তরীয়
38,এই সালেই ঘোষিত আরো দুটি জেলা হল ঝাড়গ্রাম জেলা ও কালিম্পং জেলা
39,উত্তরবঙ্গ তিনটি প্রধান ভৌগোলিক অঞ্চলে বিভক্ত
40,১৮৫১ খ্রিস্টাব্দে ড্যানিয়েল উইলসন এটি ইংরেজি ভাষায় উপস্থাপন করেন
41,প্রাক ইতিহাস মহাবিশ্বের জন্মাবধি বিস্তৃত বলে কল্পনা করে নেওয়া যায়
42,এই যন্ত্রাংশগুলি অর্ধপরিবাহী পদার্থ দিয়ে প্রস্তুত করা হয়
43,ডিজিটাল সমন্বিত বর্তনীসমূহ  আইসি  মূলত ট্রানজিস্টর দিয়ে তৈরি
44,অ্যানালগ বর্তনীতে সাধারণত রোধ এবং ধারক থাকে
45,কিছু উচ্চ কম্পাঙ্কের অ্যানালগ বর্তনীতে আবেশক ব্যবহার করা হয়ে থাকে
46,এগুলি  পরজীবী প্রভাব   parasitic effects  হিসেবে পরিচিত
47,ইন্টেল আধুনিক প্রযুক্তি চিপ নকশা এবং উৎপাদন করায় সমর্থ
48,ইন্টেল ইলেক্ট্রিকাল ট্রান্সমিশন এবং প্রজন্মে গবেষনা শুরু করেছে
49,এটি এসেছে ইন্টিগ্রেটেড ইলেক্ট্রনিকস থেকে সংক্ষেপে  ইন্টেল
50,এদের প্রাথমিক পণ্য ছিল স্ট্যাটিক র‍্যানডম একসেস মেমোরি চিপ
51,তাদের ব্যবসায়িক মৌলিক দিকও পরিবর্তন করেন
52,১৯৮০ দশকের শেষের দিকে তার এই সিদ্ধান্ত সফল প্রমানিত হয়
53,প্রতিযোগিরা  বিশেষ করে এএমডি শেয়ার বাজারের বড় অংশ অধিগ্রহণ করে
54,কিন্তু এইসব প্রচেষ্টার কিছু মাত্র সাফল্য এনেছিল
55,তার আগ পযর্ন্ত ইন্টেল কিছু বছর মামলায় জড়িত ছিল
56,যার প্রধান কার্যালয় সান্তা ক্লারা ক্যালিফোর্নিয়াতে অবস্থিত
57,এটি ২৪শে ফেব্রুয়ারি ১৯৮২ সালে প্রতিষ্ঠিত
58,বিনোদ খোসলা এর অন্যতম প্রতিষ্ঠাতা
59,খ্ৰী পূ  ৪৪ তে তাকে কয়েকজন ষড়যন্ত্রকারীরা হত্যা করে
60,ফলস্বরূপ গৃহযুদ্ধ এবং হত্যালীলা অব্যাহত থাকে
61,রোমান প্রজাতন্ত্র প্রায় ১৪০০ বছর ধরে প্রচলিত ছিল
62,অক্টেভিয়ানের পর এটাই ছিল সর্ববৃহৎ রাজ্য বিস্তারের ঘটনা
63,তার পুত্র পরবর্তী সম্রাট টাইটাসে রোমের বিখ্যাত কলোসিয়াম নির্মাণ করে
64,এরপর সিনেট পাঁচজন সম্রাটকে বাছাই করে
65,এরপর সেপ্টিমাস সেভেরাস সম্রাট হয়
