,Inflected_Word,POS
0,তাঁকে,PRP
1,বাংলা,NNP
2,ভাষার,NN
3,সর্বশ্রেষ্ঠ,JJ
4,সাহিত্যিক,NN
5,মনে,VB
6,করা,VB
7,হয়,VB
8,রবীন্দ্রনাথকে,NNP
9,গুরুদেব,NNP
10,কবিগুরু,NNP
11,ও,CC
12,বিশ্বকবি,NN
13,অভিধায়,NN
14,ভূষিত,VB
15,করা,VB
16,হয়,VB
17,এছাড়া,RB
18,তিনি,PRP
19,প্রায়,IN
20,দুই,CD
21,হাজার,CD
22,ছবি,NNS
23,এঁকেছিলেন,VB
24,রবীন্দ্রনাথের,NNP
25,রচনা,NNS
26,বিশ্বের,NN
27,বিভিন্ন,JJ
28,ভাষায়,NNS
29,অনূদিত,VB
30,হয়েছে,VB
31,আট,CD
32,বছর,NN
33,বয়সে,NN
34,তিনি,PRP
35,কবিতা,NN
36,লেখা,VB
37,শুরু,VB
38,করেন,VB
39,১৮৭৪,NUM
40,সালে,NN
41,তত্ত্ববোধিনী,NNP
42,পত্রিকা,NN
43,এ,JJ
44,তাঁর,PRP
45,কবিতাটি,NN
46,প্রকাশিত,VBN
47,হয়,VB
48,এটিই,DT
49,ছিল,VBD
50,তাঁর,PRP
51,প্রথম,JJ
52,প্রকাশিত,VBN
53,রচনা,NN
54,১৮৭৮,NUM
55,সালে,NN
56,মাত্র,JJ
57,সতেরো,NN
58,বছর,NN
59,বয়সে,NN
60,রবীন্দ্রনাথ,NNP
61,প্রথমবার,JJ
62,ইংল্যান্ডে,NNP
63,যান,VB
64,১৮৮৩,NUM
65,সালে,NN
66,মৃণালিনী,NN
67,দেবীর,NNP
68,সঙ্গে,JJ
69,তাঁর,PRP
70,বিবাহ,VB
71,হয়,VB
72,১৯০২,NUM
73,সালে,NN
74,তাঁর,PRP
75,পত্নীবিয়োগ,VBD
76,হয়,VB
77,বাঙালি,NN
78,মনীষার,NNP
79,এক,CD
80,তুঙ্গীয়,VBG
81,নিদর্শন,NNS
82,নজরুল,NNP
83,তিনি,PRP
84,বাংলা,NNP
85,ভাষার,unk
86,অন্যতম,RB
87,সাহিত্যিক,NN
88,এবং,CC
89,বাংলাদেশের,NNP
90,জাতীয়,JJ
91,কবি,NNS
92,পশ্চিমবঙ্গ,NNP
93,ও,CC
94,বাংলাদেশ,NNP
95,দুই,VB
96,বাংলাতেই,NNP
97,তাঁর,PRP
98,কবিতা,NN
99,ও,CC
100,গান,NNS
101,সমানভাবে,RB
102,সমাদৃত,VBN
103,বিংশ,RB
104,শতাব্দীর,NN
105,বাংলা,NNP
106,মননে,NN
107,কাজী,NN
108,নজরুল,unk
109,ইসলামের,unk
110,মর্যাদা,NN
111,ও,CC
112,গুরুত্ব,NN
113,অপরিসীম,JJ
114,তাঁর,PRP
115,কবিতা,NN
116,ও,CC
117,গানে,NNS
118,এই,DT
119,মনোভাবই,NN
120,প্রতিফলিত,VBN
121,হয়েছে,VB
122,অগ্নিবীণা,NNP
123,হাতে,NNS
124,তাঁর,PRP
125,প্রবেশ,NN
126,ধূমকেতু,NN
127,র,VB
128,মতো,VB
129,তাঁর,PRP
130,প্রকাশ,VB
131,নজরুল,NNP
132,এক,DT
133,দরিদ্র,JJ
134,মুসলিম,NNP
135,পরিবারে,NN
136,জন্মগ্রহণ,VBN
137,করেন,VB
138,তার,PRP
139,প্রাথমিক,RB
140,শিক্ষা,NN
141,ছিল,VB
142,ধর্মীয়,JJ
143,স্থানীয়,JJ
144,এক,NN
145,মসজিদে,NN
146,সম্মানিত,JJ
147,মুয়াযযিন,NN
148,হিসেবেও,IN
149,কাজ,VB
150,করেছিলেন,VB
151,এসময়,DT
152,তিনি,PRP
153,কলকাতাতেই,NNP
154,থাকতেন,VB
155,কানুথকে,NNP
156,বলা,VB
157,হয়,VB
158,অ্যালগরিদমিক,JJ
159,বিশ্লেষণের,NN
160,জনক,NN
161,জন্ম,NNP
162,ও,CC
163,শৈশব,VBD
164,উইসকনসিন,NNP
165,মিলাউকিতে,NNP
166,কানুথ,NNP
167,জন্মগ্রহন,VBN
168,করেন,VB
169,সেই,JJ
170,স্কুলেই,NN
171,কানুথ,NNP
172,পরে,VB
173,ভর্তি,RB
174,হন,VB
175,এবং,CC
176,পরবর্তীতে,RB
177,বিভিন্ন,JJ
178,সন্মাননা,NNS
179,লাভ,VB
180,করেন,VB
181,অপ্রচলিত,JJ
182,পথে,NNS
183,বুদ্ধি,NN
184,কাজে,unk
185,লাগানর,VB
186,ব্যপারে,VB
187,শৈশবেই,NN
188,কানুথ,NNP
189,পারদর্শী,VB
190,ছিলেন,VB
191,প্রাথমিক,RB
192,জীবন,NN
