,Inflected_Word,POS,Lemma
0,তাঁকে,PRP,তিনি
1,বাংলা,NNP,বাংলা
2,ভাষার,NN,ভাষা
3,সর্বশ্রেষ্ঠ,JJ,সর্বশ্র
4,সাহিত্যিক,NN,সাহিত্য
5,মনে,VB,মন
6,করা,VB,ক
7,হয়,VB,হয়
8,রবীন্দ্রনাথকে,NNP,রবীন্দ্রনাথ
9,গুরুদেব,NNP,গুরুদেব
10,কবিগুরু,NNP,কবিগুরুু
11,ও,CC,ও
12,বিশ্বকবি,NN,বিশ্বকবি
13,অভিধায়,NN,অভিধায়
14,ভূষিত,VB,ভূষন
15,করা,VB,ক
16,হয়,VB,হয়
17,এছাড়া,RB,এছাড
18,তিনি,PRP,তিনি
19,প্রায়,IN,প্রায়
20,দুই,CD,দুই
21,হাজার,CD,হাজার
22,ছবি,NNS,ছবি
23,এঁকেছিলেন,VB,আঁকানো
24,রবীন্দ্রনাথের,NNP,রবীন্দ্রনাথ
25,রচনা,NNS,রচনা
26,বিশ্বের,NN,বিশ্ব
27,বিভিন্ন,JJ,বিভিন্ন
28,ভাষায়,NNS,ভাষা
29,অনূদিত,VB,অনূদিত
30,হয়েছে,VB,হওয়া
31,আট,CD,আট
32,বছর,NN,বছর
33,বয়সে,NN,বয়স
34,তিনি,PRP,তিনি
35,কবিতা,NN,কবিতা
36,লেখা,VB,লেখা
37,শুরু,VB,শুরু
38,করেন,VB,করা
39,১৮৭৪,NUM,তিন
40,সালে,NN,সাল
41,তত্ত্ববোধিনী,NNP,তত্ত্ববোধিনী
42,পত্রিকা,NN,পত্রিকা
43,এ,JJ,এ
44,তাঁর,PRP,তি
45,কবিতাটি,NN,কবিতা
46,প্রকাশিত,VBN,প্রকাশ
47,হয়,VB,হয়
48,এটিই,DT,এ
49,ছিল,VBD,ছিল
50,তাঁর,PRP,তি
51,প্রথম,JJ,প্রথম
52,প্রকাশিত,VBN,প্রকাশ
53,রচনা,NN,রচনা
54,১৮৭৮,NUM,তিত
55,সালে,NN,সাল
56,মাত্র,JJ,মাত্র
57,সতেরো,NN,সতেরো
58,বছর,NN,বছর
59,বয়সে,NN,বয়স
60,রবীন্দ্রনাথ,NNP,রবীন্দ্রনাথ
61,প্রথমবার,JJ,প্রথমবা
62,ইংল্যান্ডে,NNP,ইংল্যান্ড
63,যান,VB,যাওয়া
64,১৮৮৩,NUM,তিত
65,সালে,NN,সাল
66,মৃণালিনী,NN,মৃণালিনী
67,দেবীর,NNP,দেবী
68,সঙ্গে,JJ,সঙ্গ
69,তাঁর,PRP,তি
70,বিবাহ,VB,বিবাহ
71,হয়,VB,হয়
72,১৯০২,NUM,তিন
73,সালে,NN,সাল
74,তাঁর,PRP,তি
75,পত্নীবিয়োগ,VBD,পত্নীবিয়োগ
76,হয়,VB,হয়
77,বাঙালি,NN,বাঙালি
78,মনীষার,NNP,মনীষা
79,এক,CD,এক
80,তুঙ্গীয়,VBG,তুঙ্গী
81,নিদর্শন,NNS,নিদর্শন
82,নজরুল,NNP,নজরুল
83,তিনি,PRP,তিনি
84,বাংলা,NNP,বাংলা
85,ভাষার,unk,ভাষা
86,অন্যতম,RB,অন্যত
87,সাহিত্যিক,NN,সাহিত্য
88,এবং,CC,এবং
89,বাংলাদেশের,NNP,বাংলাদেশ
90,জাতীয়,JJ,জাতীয়
91,কবি,NNS,কবি
92,পশ্চিমবঙ্গ,NNP,পশ্চিম
93,ও,CC,ও
94,বাংলাদেশ,NNP,বাংলাদেশ
95,দুই,VB,দুই
96,বাংলাতেই,NNP,বাংলা
97,তাঁর,PRP,তি
98,কবিতা,NN,কবিতা
99,ও,CC,ও
100,গান,NNS,গান
101,সমানভাবে,RB,সমানভাব
102,সমাদৃত,VBN,সমারৃত
103,বিংশ,RB,বিংশ
104,শতাব্দীর,NN,শতাব্দী
105,বাংলা,NNP,বাংলা
106,মননে,NN,মনন
107,কাজী,NN,কাজী
108,নজরুল,unk,নজরুল
109,ইসলামের,unk,ইসলাম
110,মর্যাদা,NN,মর্যাদা
111,ও,CC,ও
112,গুরুত্ব,NN,গুরুত্ব
113,অপরিসীম,JJ,অপরিসীম
114,তাঁর,PRP,তি
115,কবিতা,NN,কবিতা
116,ও,CC,ও
117,গানে,NNS,গান
118,এই,DT,এ
119,মনোভাবই,NN,মনোভাব
120,প্রতিফলিত,VBN,প্রতিফলিত
121,হয়েছে,VB,হওয়া
122,অগ্নিবীণা,NNP,অগ্নিবী
123,হাতে,NNS,হাত
124,তাঁর,PRP,তি
125,প্রবেশ,NN,প্রবেশ
126,ধূমকেতু,NN,ধূমকেতু
127,র,VB,রে
128,মতো,VB,মতো
129,তাঁর,PRP,তি
130,প্রকাশ,VB,প্রকাশ
131,নজরুল,NNP,নজরুল
132,এক,DT,এক
133,দরিদ্র,JJ,দরিদ্র
134,মুসলিম,NNP,মুসলিম
135,পরিবারে,NN,পরিবার
136,জন্মগ্রহণ,VBN,জন্মগ্রহণ
137,করেন,VB,করা
138,তার,PRP,তার
139,প্রাথমিক,RB,প্রাথমিক
140,শিক্ষা,NN,শিক্ষা
141,ছিল,VB,ছিল
142,ধর্মীয়,JJ,ধর্মীয়
143,স্থানীয়,JJ,স্থান
144,এক,NN,এক
145,মসজিদে,NN,মসজিদ
146,সম্মানিত,JJ,সম্মানিত
147,মুয়াযযিন,NN,মুয়ায
148,হিসেবেও,IN,হিসেবে
149,কাজ,VB,কাজ
150,করেছিলেন,VB,করা
151,এসময়,DT,এসময়
152,তিনি,PRP,তিনি
153,কলকাতাতেই,NNP,কলকাতা
154,থাকতেন,VB,থাকা
155,কানুথকে,NNP,কানুথ
156,বলা,VB,বলা
157,হয়,VB,হয়
158,অ্যালগরিদমিক,JJ,অ্যাল
159,বিশ্লেষণের,NN,বিশ্লেষণ
160,জনক,NN,জনক
161,জন্ম,NNP,জন্ম
162,ও,CC,ও
163,শৈশব,VBD,শিশু
164,উইসকনসিন,NNP,উইসকন
165,মিলাউকিতে,NNP,মিলাউ
166,কানুথ,NNP,কানুথ
167,জন্মগ্রহন,VBN,জন্মগ্র
168,করেন,VB,করা
169,সেই,JJ,সেই
170,স্কুলেই,NN,স্কুল
171,কানুথ,NNP,কানুথ
172,পরে,VB,পর
173,ভর্তি,RB,ভর্তি
174,হন,VB,হয়
175,এবং,CC,এবং
176,পরবর্তীতে,RB,পরবর্তী
177,বিভিন্ন,JJ,বিভিন্ন
178,সন্মাননা,NNS,সন্মান
179,লাভ,VB,লাভ
180,করেন,VB,করা
181,অপ্রচলিত,JJ,অপ্রচলিত
182,পথে,NNS,পথ
183,বুদ্ধি,NN,বুদ্ধি
184,কাজে,unk,কাজ
185,লাগানর,VB,লাগান
186,ব্যপারে,VB,ব্যপার
187,শৈশবেই,NN,শৈশবে
188,কানুথ,NNP,কানুথ
189,পারদর্শী,VB,পারদর্শী
190,ছিলেন,VB,ছিলেন
191,প্রাথমিক,RB,প্রাথমিক
192,জীবন,NN,জীবন
193,শ্যাননের,NNP,শ্যানন
194,জন্ম,NN,জন্ম
195,মিশিগানের,NNP,মিশিগান
196,পেটস্কি,NNP,পেটস্কি
197,শহরে,NNP,শহর
198,জীবনের,NN,জীবন
199,প্রথম,JJ,প্রথম
200,১৬,NUM,ত
201,বছর,NN,বছর
202,কাটিয়েছেন,VB,কাটানো
203,মিশিগানের,NNP,মিশিগান
204,গেলর্ড,NNP,গেলর্ড
205,শহরে,NNP,শহর
206,তিনি,PRP,তিনি
207,সেখানকার,JJ,সেখান
208,গেলর্ড,NNP,গেলর্ড
209,হাই,NN,হাই
210,স্কুল,NN,স্কুল
211,হতে,VB,হতে
212,১৯৩২,NUM,তিন
213,খ্রীস্টাব্দে,CD,খ্রীস্টাব্দ
214,পাস,VB,পাস
215,করেন,VB,করা
216,কিশোর,RB,কিশোর
217,বয়সে,NN,বয়স
218,তিনি,PRP,তিনি
219,ওয়েস্টার্ন,NNP,ওয়েস্টা
220,ইউনিয়ন,NN,ইউনিয়ন
221,এর,PRP,এ
222,বার্তাবাহক,NN,বার্তাবাহক
223,হিসাবে,RB,হিসাব
224,কাজ,NN,কাজ
225,করেছেন,VB,করা
226,তিনি,PRP,তিনি
227,টমাস,NNP,টমাস
228,আলভা,NNP,আলভা
229,এডিসন,NNP,এডিসন
230,এর,PRP,এ
231,দূর,JJ,দূর
232,সম্পর্কের,NN,সম্পর্ক
233,আত্মীয়,NN,আত্মীয়
234,সেখানে,RB,সেখান
235,তিনি,PRP,তিনি
236,জর্জ,NNP,জ
237,বূল,NNP,বূল
238,এর,PRP,এ
239,তত্ত্ব,NN,তত্ত্ব
240,সম্পর্কে,IN,সম্পর্ক
241,জানতে,VB,জানা
242,পারেন,VB,পারা
243,রাজ্যের,NN,রাজ্য
244,উত্তরে,NN,উত্তর
245,হিমালয়,NN,হিমালয়
246,পর্বতমালা,NN,পর্বতমালা
247,ও,CC,ও
248,দক্ষিণে,NN,দক্ষিণ
249,বঙ্গোপসাগর,NNP,বঙ্গোপসাগর
250,অবস্থিত,JJ,অবস্থিত
251,পশ্চিমবঙ্গ,NNP,পশ্চিম
252,একাধিক,JJ,একাধিক
253,ভৌগোলিক,JJ,ভৌগোলিক
254,অঞ্চলে,NNS,অঞ্চল
255,বিভক্ত,VBN,বিভক্ত
256,বর্তমানে,JJ,বর্তমান
257,পশ্চিমবঙ্গ,NNP,পশ্চিম
258,৫টি,NUM,তি
259,বিভাগ,NNS,বিভাগ
260,ও,CC,ও
261,২৩টি,NUM,তি
262,জেলায়,NNS,জেলা
263,বিভক্ত,VBN,বিভক্ত
264,বিভাগগুলি,NNS,বিভাগ
265,বিভাগীয়,JJ,বিভাগীয়
266,কমিশনার,NN,কমিশনা
267,ও,CC,ও
268,জেলাগুলি,unk,জেলাগুলি
269,জেলাশাসকের,NNP,জেলাশাসক
270,দ্বারা,JJ,দ্বারা
271,শাসিত,VB,শাসন
272,হয়,VB,হয়
273,রাজ্যের,NN,রাজ্য
274,রাজধানী,NN,রাজধানী
275,কলকাতা,NN,কলকাতা
276,কলকাতা,NN,কলকাতা
277,জেলায়,NN,জেলা
278,অবস্থিত,JJ,অবস্থিত
279,অন্যান্য,JJ,অন্যান্য
280,জেলাগুলি,NNS,জেলাগুলি
281,মহকুমা,NNS,মহকুমা
282,ও,CC,ও
283,ব্লকে,unk,ব্লক
284,বিভক্ত,VBN,বিভক্ত
285,এগুলি,DT,এগুলি
286,যথাক্রমে,RB,যথা
287,মহকুমা,JJ,মহকুমা
288,শাসক,NNP,শাসক
289,ও,CC,ও
290,ব্লক,NN,ব্লক
291,উন্নয়ন,NNP,উন্নয়ন
292,আধিকারিকের,unk,আধিকারি
293,দ্বারা,IN,দ্বারা
294,শাসিত,VB,শাসন
295,হয়,VB,হয়
296,এই,DT,এ
297,রাজ্যের,NN,রাজ্য
298,পঞ্চায়েত,NN,পঞ্চায়েত
299,ব্যবস্থা,NN,ব্যবস্থা
300,ত্রিস্তরীয়,NN,ত্রিস্তরী
301,এই,DT,এ
302,সালেই,NN,সাল
303,ঘোষিত,VB,ঘোষণা
304,আরো,JJ,আর
305,দুটি,CD,দুই
306,জেলা,NNS,জেলা
307,হল,VB,হয়
308,ঝাড়গ্রাম,NNP,ঝাড়গ্রাম
309,জেলা,NN,জেলা
310,ও,CC,ও
311,কালিম্পং,NNP,কালিম্পং
312,জেলা,NN,জেলা
313,উত্তরবঙ্গ,NNP,উত্তরবঙ্গ
314,তিনটি,CD,তিন
315,প্রধান,JJ,প্রধান
316,ভৌগোলিক,JJ,ভৌগোলিক
317,অঞ্চলে,NNS,অঞ্চল
318,বিভক্ত,VBN,বিভক্ত
319,১৮৫১,NUM,তিত
320,খ্রিস্টাব্দে,CD,খ্রিস্টাব্দ
321,ড্যানিয়েল,NNP,ড্যানিয়
322,উইলসন,NNP,উইলসন
323,এটি,PRP,এ
324,ইংরেজি,NN,ইংরেজি
325,ভাষায়,NNP,ভাষা
326,উপস্থাপন,NN,উপস্থাপন
327,করেন,VB,করা
328,প্রাক,JJ,প্রাক
