,Inflected_sentences
0,বিমানবন্দরে যুক্তরাজ্যে নিযুক্ত বাংলাদেশ হাইকমিশনার সাঈদা মুনা তাসনীম ও লন্ডনে বাংলাদেশ মিশনের জ্যেষ্ঠ কর্মকর্তারা তাকে বিদায় জানান।
1,"সন্ত্রাসীদের কোনো বর্ণ, ধর্ম ও দেশ নেই।"
2,"কর্নেল বিশ্ববিদ্যালয়ের অধ্যাপক ডেরেক কাবেরা ""শ্রেণিবদ্ধ চিন্তার অন্ধকার দিক"" নামের একটি প্রবন্ধ রচনা করেছেন।"
3,"জনসাধারণ প্রতি কেজি পেঁয়াজ ৪৫ টাকায়, চিনি ৫০ টাকায়, মশুর ডাল ৫০ টাকায় ও প্রতি লিটার সয়াবিন তেল ৮৫ টাকায় কিনতে পারবে বলে জানান তিনি।"
4,শ্রীপুর ফায়ার স্টেশনের দুই ইউনিটের কর্মীরা প্রায় দুঘণ্টা চেষ্টা করে আগুন নেভায়।
5,প্রধানমন্ত্রী শেখ হাসিনা ইতালি এবং ভ্যাটিকান সিটিতে ৪ দিনের সরকারি সফর শেষে বৃহস্পতিবার সকালে রোম থেকে আবুধাবিতে পৌঁছেছেন।
6,"ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি আশ্বস্ত করে বলেছেন, বাংলাদেশের রোহিঙ্গা সমস্যা নিরসনে নয়া দিল্লীর সহযোগিতা অব্যাহত থাকবে।"
7,রোহিঙ্গা প্রত্যাবাসন ইস্যুতে বাংলাদেশকে জাপানের পূর্ণসমর্থন
8,২০১২ সালের ১১ ফেব্রুয়ারি রাতে রাজধানীর পশ্চিম রাজাবাজারে মাছরাঙা টেলিভিশনের বার্তা সম্পাদক সাগর সারওয়ার এবং এটিএন বাংলার জ্যেষ্ঠ প্রতিবেদক রুনি নিজ ভাড়া বাসায় নির্মমভাবে খুন হন।
9,"তিনি বলেছেন, 'বাংলাদেশ হলো আন্ত ধর্ম ও ঐকতানের প্রকৃষ্ট উদাহরণ।'"
10,আগারগাঁওয়ে নির্বাচন ভবনে প্রধান নির্বাচন কমিশনারের কার্যালয়ে এ বৈঠক শুরু হয়।
11,জাপানের পররাষ্ট্র প্রতিমন্ত্রী তোশিকো আবে এবং টোকিওতে বাংলাদেশের রাষ্ট্রদূত রাবাব ফাতিমা বিমান বন্দরে প্রধানমন্ত্রীকে অভ্যর্থনা জানান।
12,"শেখ হাসিনা এডিবির আবাসিক পরিচালককে বলেন, তার সরকার একটি সুপরিকল্পিত উপায়ে দেশের অর্থনীতিকে ধাপে ধাপে এগিয়ে নিয়ে যাচ্ছে।"
13,বিশ্বব্যাংক বলেছে আমাদের ৭ ভাগের বেশি প্রবৃদ্ধি হবে।
14,আইনশৃঙ্খলা পরিস্থিতি নিয়ন্ত্রণের মাধ্যমে জনগণের মৌলিক ও সাংবিধানিক অধিকার নিশ্চিত করতে না পারলে দেশের সার্বিক মানবাধিকার পরিস্থিতি আরো অবনতির দিকে যাবে।
15,"পাশাপাশি প্রধানমন্ত্রী মূল বক্তা হিসেবে 'দ্য ফিউচার অব এশিয়া' শীর্ষক নিক্কেই আন্তর্জাতিক সম্মেলনে অংশগ্রহণ করেন, তার সম্মানে আয়োজিত একটি অভ্যর্থনা অনুষ্ঠানে যোগ দেন এবং জাপানের ব্যবসায়ী নেতৃবৃন্দের সঙ্গে একটি ভোজসভায় অংশ নেন।"
16,বলা যায় এতে দেশের ১৬ কোটি মানুষের প্রত্যাশার প্রতিফলন ঘটেছে।
