,Inflected_Word,Valid,Lemma_Correct,Lemma_Predict
0,অঁঃযবহঃরপ,N,অঁঃযবহঃর,অঁঃযবহঃর
1,অংকত্রয়ের,Y,অংকত্রয়,অংকত্রয়
2,অংশতে,Y,অংশ,অংশ
3,অংশভাগের,Y,অংশভাগ,অংশ
4,অইন,Y,অইন,অতন
5,অকটেনের,Y,অকটেন,অকটেন
6,অকালি,Y,অকালি,অকাল
7,অকুগাওয়াকে,Y,অকুগাওয়া,অকুগা
8,অকৃতশোক,Y,অকৃতশোক,অকৃতশ
9,অক্টবরের,Y,অক্টবর,অক্টবর
10,অক্ষরস্থাপকগুলোর,Y,অক্ষরস্থাপক,অক্ষর
11,অখাস্টাইন,Y,অখাস্টাইন,অখাস্টা
12,অখৃষ্টান,Y,অখৃষ্টান,অখৃষ্ট
13,অগস্টের,Y,অগস্ট,অগস্ট
14,অগাস্টে,Y,অগাস্ট,অগাস্ট
15,অগুনতি,Y,অগুনতি,অগুন
16,অগ্নিকান্ডগুলোর,Y,অগ্নিকান্ড,অগ্নি
17,অগ্নিবোমা,Y,অগ্নিবোমা,অগ্নি
18,অগ্নিৃষ্ণ,N,অগ্নিৃষ্ণ্,অগ্নিৃষ্ণ্
19,অগ্রগতিবিরোধী,Y,অগ্রগতিবিরোধী,অগ্রগতি
20,অগ্রদূতস্বরূপ,Y,অগ্রদূত,অগ্রদূত
21,অগ্রনায়ক,Y,অগ্রনায়ক,অগ্রন
22,অগ্রসামান্যবন্ধনী,Y,অগ্রসামান্যবন্ধনী,অগ্রসানান্য
23,অগ্রাধিতার,Y,অগ্রাধিতা,অগ্রাধিতা
24,অঘটনের,Y,অঘটন,অঘটন
25,অঙ্কণকৃত,Y,অঙ্কণ,অঙ্কণ
26,অঙ্গপ্রত্যঙ্গসহ,Y,অঙ্গপ্রত্যঙ্গ,অঙ্গপ্রত্য
27,অঙ্গরক্ষ,Y,অঙ্গরক্ষ,অঙ্গর
28,অঙ্গরূপেই,Y,অঙ্গরূপ,অঙ্গরূপ
29,অঙ্গারজলবণবিশেষ,Y,অঙ্গারজলবণবিশেষ,অঙ্গার
30,অঙ্গারময়,Y,অঙ্গার,অঙ্গার
31,অচমকপ্রদ,Y,অচমকপ্রদ,অচমক
32,অজানতে,Y,অজানা,অজান
33,অজানিতভাবে,Y,অজানিত,অজানিত
34,অজিতের,Y,অজিত,অজিতি
35,অজেনহা,Y,অজেনহা,অজেন
36,অজ্ঞানতাই,Y,অজ্ঞানতা,অজ্ঞান
37,অজ্ঞানতিমিরান্ধ,N,অজ্ঞান,অজ্ঞান
38,অটোপাইলট,Y,অটোপাইলট,অটোপাইল
39,অডিনারী,Y,অডিনারী,অডিনা
40,অণুজীবও,Y,অণুজীব,অণুজীব
41,অণ্ণা,Y,অণ্ণা,উণ্ণা
42,অতিক্রামত্ম,Y,অতিক্রম,অতিক্রাম
43,অতিথিরাই,Y,অতিথি,অতিথিরা
44,অতিনিয়ন্ত্রণ,Y,অতিনিয়ন্ত্রণ,অতিনিয়্ত্র
